Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective April 1, 2023 through June 30, 2023",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 4Q22 ASP data.,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,31.046,0.000,95,31.046,,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,70.378,0.000,95,70.378,,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,144.058,0.000,95,144.058,,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,30.581,0.000,95,30.581,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90759,Hep b vac 3ag 10mcg 3 dos im,10 MCG,73.815,0.000,95,73.815,,,,,
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.169,20.000,,,,,,,
A9576,Inj prohance multipack,1 ML,1.433,20.000,,,,,,,
A9577,Inj multihance,1 ML,1.834,20.000,,,,,,,
A9578,Inj multihance multipack,1 ML,1.840,20.000,,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.603,20.000,,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.712,20.000,,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.340,20.000,,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1244.440,20.000,,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,20.000,,,,,,"microCurie 100% AWP = $180.17
microCurie 100% WAC = $150.140",
J0121,"Inj., omadacycline, 1 mg",1 MG,3.624,20.000,,,,,,,
J0122,"Inj., eravacycline, 1 mg",1 MG,1.063,20.000,,,,,,,
J0129,Abatacept injection,10 MG,42.761,20.000,,,,,,"""lesser of"" methodology applied",
J0131,"Inj, acetaminophen (nos)",10 MG,0.099,20.000,,,,,,,
J0132,Acetylcysteine injection,100 MG,0.762,20.000,,,,,,,
J0133,Acyclovir injection,5 MG,0.040,20.000,,,,,,AMP-based payment limit,
J0134,Inj acetaminophen -fresenius,10 MG,0.109,20.000,,,,,,,
J0136,"Inj, acetaminophen (b braun)",10 MG,0.052,20.000,,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.497,20.000,,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.741,20.000,,,,,,,
J0172,"Inj, aducanumab-avwa, 2 mg",2 MG,5.978,20.000,,,,,,,
J0178,Aflibercept injection,1 MG,893.551,20.000,,,,,,,
J0179,"Inj, brolucizumab-dbll, 1 mg",1 MG,314.855,20.000,,,,,,,
J0180,Agalsidase beta injection,1 MG,208.166,20.000,,,,,,,
J0185,"Inj., aprepitant, 1 mg",1 MG,1.805,20.000,,,,,,,
J0202,"Injection, alemtuzumab",1 MG,2235.380,20.000,,,,,,,
J0218,Inj olipudase alfa-rpcp 1mg,1 MG,378.526,20.000,,,,,,Added April 2023,
J0219,Inj aval alfa-nqpt 4mg,4 MG,72.452,20.000,,,,,,,
J0221,Lumizyme injection,10 MG,188.250,20.000,,,,,,,
J0222,"Inj., patisiran, 0.1 mg",0.1 MG,100.745,20.000,,,,,,,
J0223,Inj givosiran 0.5 mg,0.5 MG,109.731,20.000,,,,,,,
J0224,"Inj. lumasiran, 0.5 mg",0.5 MG,310.767,20.000,,,,,,,
J0225,"Inj, vutrisiran, 1 mg",1 MG,4875.854,20.000,,,,,,Added April 2023,
J0248,"Inj, remdesivir, 1 mg",1 MG,5.512,20.000,,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.776,20.000,,,,,,,
J0257,Glassia injection,10 MG,5.152,20.000,,,,,,,
J0278,Amikacin sulfate injection,100 MG,0.955,20.000,,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,8.937,20.000,,,,,,,
J0285,Amphotericin b,50 MG,46.322,20.000,,,,,,,
J0287,Amphotericin b lipid complex,10 MG,11.130,19.293,,,,,,Inflation-adjusted coinsurance,
J0289,Amphotericin b liposome inj,10 MG,26.851,20.000,,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,0.920,20.000,,,,,,,
J0291,"Inj., plazomicin, 5 mg",5 MG,3.384,20.000,,,,,,,
J0295,Ampicillin sulbactam 1.5 gm,1.5 GM,2.168,20.000,,,,,,,
J0348,Anidulafungin injection,1 MG,0.407,20.000,,,,,,,
J0360,Hydralazine hcl injection,20 MG,5.496,20.000,,,,,,AMP-based payment limit,
J0401,Inj aripiprazole ext rel 1mg,1 MG,6.417,20.000,,,,,,,
J0456,Azithromycin,500 MG,2.592,20.000,,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.099,20.000,,,,,,,
J0475,Baclofen 10 mg injection,10 MG,178.448,20.000,,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,61.493,20.000,,,,,,,
J0480,Basiliximab,20 MG,4310.967,20.000,,,,,,,
J0485,Belatacept injection,1 MG,3.794,20.000,,,,,,,
J0490,Belimumab injection,10 MG,50.207,20.000,,,,,,,
J0491,Inj anifrolumab-fnia 1mg,1 MG,16.225,20.000,,,,,,,
J0500,Dicyclomine injection,20 MG,22.771,20.000,,,,,,,
J0515,Inj benztropine mesylate,1 MG,15.870,20.000,,,,,,,
J0517,"Inj., benralizumab, 1 mg",1 MG,167.115,20.000,,,,,,,
J0558,Peng benzathine/procaine inj,"100,000 UNITS",14.416,19.032,,,,,,Inflation-adjusted coinsurance,
J0561,Penicillin g benzathine inj,"100,000 UNITS",18.590,18.623,,,,,,Inflation-adjusted coinsurance,
J0565,"Inj, bezlotoxumab, 10 mg",10 MG,39.861,20.000,,,,,,,
J0583,Bivalirudin,1 MG,0.187,20.000,,,,,,,
J0584,"Injection, burosumab-twza 1m",1 MG,414.713,20.000,,,,,,,
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.318,20.000,,,,,,,
J0586,Abobotulinumtoxina,5 Unit,8.702,20.000,,,,,,,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,12.700,20.000,,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.201,20.000,,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,4.016,20.000,,,,,,,
J0594,Busulfan injection,1 MG,1.872,20.000,,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,3.388,20.000,,,,,,,
J0596,"Injection, ruconest",10 UNITS,31.607,20.000,,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,60.731,20.000,,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,60.736,20.000,,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,5708.594,20.000,,,,,,,
J0612,Calcium glucon (fresenius),10 MG,0.047,20.000,,,,,,,
J0613,Calcium glucon (wg critical),10 MG,0.084,20.000,,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,1327.995,20.000,,,,,,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.761,20.000,,,,,,,
J0637,Caspofungin acetate,5 MG,4.887,20.000,,,,,,,
J0638,Canakinumab injection,1 MG,119.821,20.000,,,,,,,
J0640,Leucovorin calcium injection,50 MG,3.406,20.000,,,,,,,
J0642,"Injection, khapzory, 0.5 mg",0.5 MG,1.559,20.000,,,,,,,
J0670,Inj mepivacaine hcl/10 ml,10 ML,3.474,20.000,,,,,,,
J0689,"Inj cefazolin sodium, baxter",500 MG,1.186,20.000,,,,,,,
J0690,Cefazolin sodium injection,500 MG,0.767,20.000,,,,,,,
J0691,Inj lefamulin 1 mg,1 MG,0.724,20.000,,,,,,,
J0692,Cefepime hcl for injection,500 MG,1.238,20.000,,,,,,,
J0694,Cefoxitin sodium injection,1 GM,5.157,20.000,,,,,,,
J0695,Inj ceftolozane tazobactam,75mg (50mg cft/25mg taz),6.714,20.000,,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.513,20.000,,,,,,,
J0697,Sterile cefuroxime injection,750 MG,2.241,20.000,,,,,,,
J0701,Inj. cefepime hcl (baxter),500 MG,5.359,20.000,,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,6.402,20.000,,,,,,AMP-based payment limit,
J0703,"Inj, cefepime hcl (b braun)",500 MG,5.223,20.000,,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,3.765,20.000,,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,1.855,20.000,,,,,,,
J0714,Ceftazidime and avibactam,.625 GM,90.838,20.000,,,,,,,
J0717,Certolizumab pegol inj 1mg,1 MG,4.971,20.000,,,,,,"""lesser of"" methodology applied",
J0720,Chloramphenicol sodium injec,1 GM,40.274,20.000,,,,,,,
J0725,Chorionic gonadotropin/1000u,1000 UNITS,22.306,20.000,,,,,,,
J0735,Clonidine hydrochloride,1 MG,22.891,20.000,,,,,,,
J0740,Cidofovir injection,375 MG,608.327,20.000,,,,,,,
J0741,"Inj, cabote rilpivir 2mg 3mg",2MG/3MG,21.555,20.000,,,,,,,
J0742,Inj imip 4 cilas 4 releb 2mg,4 MG-4 MG-2 MG,2.382,20.000,,,,,,,
J0743,Cilastatin sodium injection,250 MG,7.120,20.000,,,,,,AMP-based payment limit,
J0744,Ciprofloxacin iv,200 MG,1.338,20.000,,,,,,,
J0770,Colistimethate sodium inj,150 MG,15.602,20.000,,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,64.997,19.071,,,,,,Inflation-adjusted coinsurance,
J0780,Prochlorperazine injection,10 MG,2.978,20.000,,,,,,,
J0791,Inj crizanlizumab-tmca 5mg,5 MG,125.281,20.000,,,,,,,
J0800,Corticotropin injection,40 UNITS,3894.404,20.000,,,,,,,
J0834,"Inj., cosyntropin, 0.25 mg",0.25 MG,24.779,20.000,,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,2077.793,20.000,,,,,,,
J0841,Inj crotalidae im f(ab')2 eq,120 MG,433.190,20.000,,,,,,,
J0850,Cytomegalovirus imm iv /vial,PER VIAL,1814.619,19.094,,,,,,Inflation-adjusted coinsurance,
J0875,"Injection, dalbavancin",5 MG,15.315,20.000,,,,,,,
J0877,"Inj, daptomycin (hospira)",1 MG,0.075,20.000,,,,,,,
J0878,Daptomycin injection,1 MG,0.041,20.000,,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,3.089,20.000,,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,3.089,20.000,,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,7.928,20.000,,,,,,,
J0887,Epoetin beta esrd use,1 MCG,1.969,20.000,,,,,,,
J0888,Epoetin beta non esrd,1 MCG,1.969,17.717,,,,,,Inflation-adjusted coinsurance,
J0891,Argatroban nonesrd (accord),1 MG,0.415,20.000,,,,,,,
J0892,Argatroban dialysis (accord),1 MG,0.415,20.000,,,,,,,
J0893,"Inj, decitabine (sun pharma)",1 MG,1.881,20.000,,,,,,,
J0894,Decitabine injection,1 MG,2.425,20.000,,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,8.215,20.000,,,,,,,
J0896,Inj luspatercept-aamt 0.25mg,0.25 MG,38.460,20.000,,,,,,,
J0897,Denosumab injection,1 MG,23.018,20.000,,,,,,,
J0898,Argatroban nonesrd (auromed),1 MG,2.029,20.000,,,,,,,
J0899,"Argatroban dialysis, auromed",1 MG,2.029,20.000,,,,,,,
J1000,Depo-estradiol cypionate inj,5 MG,29.249,20.000,,,,,,,
J1020,Methylprednisolone 20 mg inj,20 MG,4.611,20.000,,,,,,,
J1030,Methylprednisolone 40 mg inj,40 MG,8.084,20.000,,,,,,,
J1040,Methylprednisolone 80 mg inj,80 MG,12.747,20.000,,,,,,,
J1071,Inj testosterone cypionate,1 MG,0.029,20.000,,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.126,20.000,,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,57.803,20.000,,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,29.010,20.000,,,,,,,
J1160,Digoxin injection,0.5 MG,7.360,20.000,,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,4593.574,20.000,,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.419,20.000,,,,,,,
J1170,Hydromorphone injection,4 MG,3.846,20.000,,,,,,,
J1190,Dexrazoxane hcl injection,250 MG,166.916,20.000,,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,1.129,20.000,,,,,,,
J1201,Inj. cetirizine hcl 0.5mg,0.5 MG,15.097,20.000,,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,76.872,20.000,,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ml,50 ML,638.697,20.000,,,,,,,
J1230,Methadone injection,10 MG,16.687,20.000,,,,,,,
J1240,Dimenhydrinate injection,50 MG,7.240,20.000,,,,,,,
J1245,Dipyridamole injection,10 MG,3.796,20.000,,,,,,,
J1250,Inj dobutamine hcl/250 mg,250 MG,6.528,20.000,,,,,,,
J1265,Dopamine injection,40 MG,0.669,20.000,,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,0.698,20.000,,,,,,,
J1290,Ecallantide injection,1 MG,520.497,20.000,,,,,,,
J1300,Eculizumab injection,10 MG,226.209,20.000,,,,,,,
J1301,"Injection, edaravone, 1 mg",1 MG,21.405,20.000,,,,,,,
J1302,"Inj, sutimlimab-jome, 10 mg",10 MG,17.005,20.000,,,,,,Added April 2023,
J1303,"Inj., ravulizumab-cwvz 10 mg",10 MG,222.323,20.000,,,,,,,
J1305,"Inj, evinacumab-dgnb, 5mg",5 MG,172.250,20.000,,,,,,,
J1306,"Injection, inclisiran, 1 mg",1 MG,11.944,20.000,,,,,,,
J1322,"Elosulfase alfa, injection",1 MG,262.709,20.000,,,,,,,
J1325,Epoprostenol injection,0.5 MG,15.773,20.000,,,,,,,
J1335,Ertapenem injection,500 MG,12.825,20.000,,,,,,,
J1364,Erythro lactobionate /500 mg,500 MG,85.538,20.000,,,,,,,
J1380,Estradiol valerate 10 mg inj,10 MG,10.049,20.000,,,,,,,
J1410,Inj estrogen conjugate 25 mg,25 MG,355.781,20.000,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,458.974,20.000,,,,,,,
J1437,Inj. fe derisomaltose 10 mg,10 MG,21.698,20.000,,,,,,,
J1439,Inj ferric carboxymaltos 1mg,1 MG,1.134,20.000,,,,,,,
J1442,Inj filgrastim excl biosimil,1 MCG,0.980,20.000,,,,,,,
J1447,Inj tbo filgrastim 1 microg,1 MCG,0.387,20.000,,,,,,,
J1448,"Injection, trilaciclib, 1mg",1 MG,5.111,20.000,,,,,,,
J1450,Fluconazole,200 MG,2.452,20.000,,,,,,,
J1453,Fosaprepitant injection,1 MG,0.189,20.000,,,,,,,
J1454,"Inj fosnetupitant, palonoset",0.25 MG,392.664,20.000,,,,,,,
J1456,"Inj, fosaprepitant (teva)",1 MG,0.422,20.000,,,,,,Added April 2023,
J1458,Galsulfase injection,1 MG,432.900,20.000,,,,,,,
J1459,Inj ivig privigen 500 mg,500 MG,47.191,20.000,,,,,,,
J1460,Gamma globulin 1 cc inj,1 CC,48.319,20.000,,,,,,,
J1551,Inj cutaquig 100 mg,100 MG,14.146,20.000,,,,,,,
J1554,Inj. asceniv,500 MG,482.272,20.000,,,,,,,
J1555,"Inj cuvitru, 100 mg",100 MG,14.910,20.000,,,,,,,
J1556,"Inj, imm glob bivigam, 500mg",500 MG,70.948,20.000,,,,,,,
J1557,Gammaplex injection,500 MG,54.008,20.000,,,,,,,
J1558,"Inj. xembify, 100 mg",100 MG,13.623,20.000,,,,,,,
J1559,Hizentra injection,100 MG,12.618,20.000,,,,,,,
J1560,Gamma globulin > 10 cc inj,10 CC,483.195,20.000,,,,,,,
J1561,Gamunex-c/gammaked,500 MG,47.703,20.000,,,,,,,
J1566,"Immune globulin, powder",500 MG,73.171,20.000,,,,,,,
J1568,Octagam injection,500 MG,41.821,20.000,,,,,,,
J1569,Gammagard liquid injection,500 MG,46.502,20.000,,,,,,,
J1570,Ganciclovir sodium injection,500 MG,47.326,20.000,,,,,,,
J1571,Hepagam b im injection,0.5 ML,67.341,20.000,,,,,,,
J1572,Flebogamma injection,500 MG,44.540,20.000,,,,,,Updated October 2023,
J1575,Hyqvia 100mg immuneglobulin,100 MG,15.871,20.000,,,,,,,
J1580,Garamycin gentamicin inj,80 MG,2.537,20.000,,,,,,,
J1602,Golimumab for iv use 1mg,1 MG,13.849,20.000,,,,,,,
J1610,Glucagon hydrochloride/1 mg,1 MG,190.259,20.000,,,,,,,
J1611,"Inj glucagon hcl, fresenius",1 MG,149.041,20.000,,,,,,,
J1626,Granisetron hcl injection,100 MCG,0.396,20.000,,,,,,,
J1627,"Inj, granisetron, xr, 0.1 mg",0.1 MG,5.898,20.000,,,,,,,
J1630,Haloperidol injection,5 MG,1.154,20.000,,,,,,,
J1631,Haloperidol decanoate inj,50 MG,7.650,20.000,,,,,,,
J1640,"Hemin, 1 mg",1 MG,29.026,20.000,,,,,,,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.016,20.000,,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.256,20.000,,,,,,,
J1645,Dalteparin sodium,2500 IU,13.970,14.077,,,,,,Inflation-adjusted coinsurance,
J1650,Inj enoxaparin sodium,10 MG,0.763,20.000,,,,,,,
J1652,Fondaparinux sodium,0.5 MG,1.070,20.000,,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,545.618,20.000,,,,,,,
J1720,Hydrocortisone sodium succ i,100 MG,17.911,20.000,,,,,,,
J1738,Inj. meloxicam 1 mg,1 MG,3.127,20.000,,,,,,,
J1740,Ibandronate sodium injection,1 MG,30.846,20.000,,,,,,,
J1743,Idursulfase injection,1 MG,542.948,20.000,,,,,,,
J1745,Infliximab not biosimil 10mg,10 MG,34.043,20.000,,,,,,,
J1746,"Inj., ibalizumab-uiyk, 10 mg",10 MG,69.611,20.000,,,,,,,
J1747,"Inj, spesolimab-sbzo, 1 mg",1 MG,60.223,20.000,,,,,,Added April 2023,
J1750,Inj iron dextran,50 MG,16.573,20.000,,,,,,,
J1756,Iron sucrose injection,1 MG,0.205,20.000,,,,,,AMP-based payment limit,
J1786,Imuglucerase injection,10 UNITS,44.326,20.000,,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,8.737,20.000,,,,,,,
J1823,"Inj. inebilizumab-cdon, 1 mg",1 MG,462.867,20.000,,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.487,20.000,,,,,,,
J1930,Lanreotide injection,1 MG,57.418,20.000,,,,,,,
J1931,Laronidase injection,0.1 MG,36.048,20.000,,,,,,,
J1932,"Inj, lanreotide, (cipla) 1mg",1 MG,60.491,20.000,,,,,,,
J1940,Furosemide injection,20 MG,0.575,20.000,,,,,,,
J1943,"Inj., aristada initio, 1 mg",1 MG,2.954,20.000,,,,,,,
J1944,Aripiprazole lauroxil 1 mg,1 MG,2.975,20.000,,,,,,,
J1950,Leuprolide acetate /3.75 mg,3.75 MG,1480.885,20.000,,,,,,,
J1951,Inj fensolvi 0.25 mg,0.25 MG,132.002,20.000,,,,,,,
J1952,"Leuprolide inj, camcevi, 1mg",1 mg,98.429,20.000,,,,,,,
J1953,Levetiracetam injection,10 MG,0.085,20.000,,,,,,,
J1955,Inj levocarnitine per 1 gm,1 GM,34.166,20.000,,,,,,Updated October 2023,
J1956,Levofloxacin injection,250 MG,0.837,20.000,,,,,,,
J1980,Hyoscyamine sulfate inj,0.25 MG,31.641,20.000,,,,,,,
J2001,Lidocaine injection,10 MG,0.029,20.000,,,,,,,
J2010,Lincomycin injection,300 MG,9.815,20.000,,,,,,,
J2020,Linezolid injection,200 MG,3.425,20.000,,,,,,,
J2021,"Inj, linezolid (hospira)",200 MG,15.257,20.000,,,,,,,
J2060,Lorazepam injection,2 MG,1.179,20.000,,,,,,,
J2150,Mannitol injection,50 ML,3.030,20.000,,,,,,,
J2175,Meperidine hydrochl /100 mg,100 MG,7.022,20.000,,,,,,,
J2182,"Injection, mepolizumab, 1mg",1 MG,29.374,20.000,,,,,,,
J2184,"Inj, meropenem (b. braun)",100 MG,2.145,20.000,,,,,,,
J2185,Meropenem,100 MG,0.495,20.000,,,,,,AMP-based payment limit,
J2210,Methylergonovin maleate inj,0.2 MG,20.858,20.000,,,,,,,
J2247,"Inj, micafungin (par pharm)",1 MG,0.366,20.000,,,,,,,
J2248,Micafungin sodium injection,1 MG,0.832,20.000,,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.166,20.000,,,,,,,
J2251,Inj midazolam (wg crit care),1 MG,0.307,20.000,,,,,,,
J2260,Inj milrinone lactate / 5 mg,5 MG,2.124,20.000,,,,,,,
J2270,Morphine sulfate injection,10 MG,3.336,20.000,,,,,,,
J2272,"Inj, morphine (fresenius)",10 MG,6.724,20.000,,,,,,,
J2274,Inj morphine pf epid ithc,10 MG,16.705,20.000,,,,,,,
J2278,Ziconotide injection,1 MCG,9.070,20.000,,,,,,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,10.394,20.000,,,,,,,
J2281,Inj moxifloxacin (fres kabi),100 MG,8.769,20.000,,,,,,,
J2300,Inj nalbuphine hydrochloride,10 MG,2.858,20.000,,,,,,,
J2310,Inj naloxone hydrochloride,1 MG,8.071,20.000,,,,,,,
J2311,"Inj, naloxone hcl (zimhi)",1 MG,8.786,20.000,,,,,,Added April 2023,
J2315,"Naltrexone, depot form",1 MG,3.727,20.000,,,,,,,
J2323,Natalizumab injection,1 MG,23.987,20.000,,,,,,,
J2327,Inj risankizumab-rzaa 1 mg,1 MG,15.732,20.000,,,,,,,
J2350,"Injection, ocrelizumab, 1 mg",1 MG,58.967,20.000,,,,,,,
J2353,"Octreotide injection, depot",1 MG,204.537,20.000,,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,1.159,20.000,,,,,,AMP-based payment limit,
J2356,"Inj tezepelumab-ekko, 1mg",1 MG,17.803,20.000,,,,,,,
J2357,Omalizumab injection,5 MG,37.916,20.000,,,,,,,
J2358,Olanzapine long-acting inj,1 MG,2.917,20.000,,,,,,,
J2360,Orphenadrine injection,60 MG,5.378,20.000,,,,,,,
J2401,Chloroprocaine hcl injection,1 MG,0.041,20.000,,,,,,,
J2405,Ondansetron hcl injection,1 MG,0.093,20.000,,,,,,,
J2406,"Injection, oritavancin 10 mg",10 MG,42.130,20.000,,,,,,,
J2407,"Injection, oritavancin",10 MG,26.666,20.000,,,,,,,
J2425,Palifermin injection,50 MCG,25.125,20.000,,,,,,,
J2426,Paliperidone palmitate inj,1 MG,13.650,20.000,,,,,,,
J2430,Pamidronate disodium /30 mg,30 MG,10.570,20.000,,,,,,,
J2469,Palonosetron hcl,25 MCG,1.297,20.000,,,,,,,
J2501,Paricalcitol,1 MCG,0.686,20.000,,,,,,AMP-based payment limit,
J2506,Inj pegfilgrast ex bio 0.5mg,0.5 MG,109.685,20.000,,,,,,,
J2507,Pegloticase injection,1 MG,3201.861,20.000,,,,,,,
J2510,Penicillin g procaine inj,600000 UNITS,39.335,20.000,,,,,,,
J2540,Penicillin g potassium inj,600000 UNITS,0.756,20.000,,,,,,,
J2543,Piperacillin/tazobactam,1.125 GM,1.336,20.000,,,,,,,
J2545,Pentamidine non-comp unit,300 MG,88.364,20.000,,,,,,,
J2550,Promethazine hcl injection,50 MG,3.112,20.000,,,,,,,
J2560,Phenobarbital sodium inj,120 MG,39.033,20.000,,,,,,,
J2562,Plerixafor injection,1 MG,401.575,20.000,,,,,,,
J2597,Inj desmopressin acetate,1 MCG,7.076,20.000,,,,,,,
J2675,Inj progesterone per 50 mg,50 MG,0.955,20.000,,,,,,,
J2680,Fluphenazine decanoate 25 mg,25 MG,9.599,20.000,,,,,,,
J2690,Procainamide hcl injection,1 GM,164.374,20.000,,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,1.073,20.000,,,,,,,
J2704,"Inj, propofol, 10 mg",10 MG,0.128,20.000,,,,,,,
J2720,Inj protamine sulfate/10 mg,10 MG,0.865,20.000,,,,,,AMP-based payment limit,
J2724,Protein c concentrate,10 UNITS,15.088,20.000,,,,,,,
J2760,Phentolaine mesylate inj,5 MG,452.417,20.000,,,,,,,
