Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective July 1, 2023 through September 30, 2023",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q23 ASP data.,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
90686,Iiv4 vacc no prsv 0.5 ml im,0.5 ml,21.518,0.000,95,21.518,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90687,Iiv4 vaccine splt 0.25 ml im,0.25 ML,10.241,0.000,95,10.241,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,
90688,Iiv4 vaccine splt 0.5 ml im,0.5 ML,20.482,0.000,95,20.482,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,
90694,Vacc AIIV4 no prsrv 0.5ML IM,0.5 ML,71.682,0.000,95,71.682,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates ,
90714,Td vacc no presv 7 yrs+ im,0.5 ML,31.045,20.000,,,,,,,
90715,Tdap vaccine 7 yrs/> im,0.5 ML,38.745,20.000,,,,,,,
90732,Ppsv23 vacc 2 yrs+ subq/im,0.5 ML,133.472,0.000,95,133.472,,,,,
90739,Hepb vacc 2 dose adult im,1 DOSE,160.284,0.000,95,160.284,,,,,
90740,Hepb vacc 3 dose immunsup im,40 MCG,152.124,0.000,95,152.124,,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,73.847,0.000,95,73.847,,,,,
90744,Hepb vacc 3 dose ped/adol im,1 DOSE,29.895,0.000,95,29.895,,,,,
90746,Hepb vaccine 3 dose adult im,20 MCG,70.376,0.000,95,70.376,,,,,
90747,Hepb vacc 4 dose immunsup im,40 MCG,140.752,0.000,95,140.752,,,,,
90756,Cciiv4 vacc abx free im,0.5 ML,30.581,0.000,95,30.581,,,,see the Seasonal Influenza Vaccines Pricing webpage for current payment limits and effective dates,
90759,Hep b vac 3ag 10mcg 3 dos im,10 MCG,73.815,0.000,95,73.815,,,,,
A9575,Inj gadoterate meglumi 0.1ml,0.1 ML,0.135,20.000,,,,,,,
A9576,Inj prohance multipack,1 ML,1.451,20.000,,,,,,,
A9577,Inj multihance,1 ML,1.813,20.000,,,,,,,
A9578,Inj multihance multipack,1 ML,1.833,20.000,,,,,,,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.547,20.000,,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.730,20.000,,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.345,20.000,,,,,,,
A9589,Insti hexaminolevulinate hcl,100 MG,1244.440,20.000,,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,20.000,,,,,,"microCurie 100% AWP = $180.17
microCurie 100% WAC = $150.140",
J0121,"Inj., omadacycline, 1 mg",1 MG,3.683,20.000,,,,,,,
J0122,"Inj., eravacycline, 1 mg",1 MG,1.133,20.000,,,,,,,
J0129,Abatacept injection,10 MG,43.271,20.000,,,,,,"""lesser of"" methodology applied",
J0131,"Inj, acetaminophen (nos)",10 MG,0.086,20.000,,,,,,,
J0132,Acetylcysteine injection,100 MG,0.779,20.000,,,,,,,
J0133,Acyclovir injection,5 MG,0.047,20.000,,,,,,AMP-based payment limit,
J0134,Inj acetaminophen -fresenius,10 MG,0.069,20.000,,,,,,,
J0136,"Inj, acetaminophen (b braun)",10 MG,0.054,20.000,,,,,,,
J0137,"Inj, acetaminophen (hikma)",10 MG,0.075,20.000,,,,,,Added July 2023,
J0153,Adenosine inj 1mg,1 MG,0.540,20.000,,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.733,20.000,,,,,,,
J0172,"Inj, aducanumab-avwa, 2 mg",2 MG,5.978,20.000,,,,,,,
J0173,"Inj, epinephrine (belcher)",0.1 MG,1.614,20.000,,,,,,Added July 2023,
J0178,Aflibercept injection,1 MG,875.670,20.000,,,,,,,
J0179,"Inj, brolucizumab-dbll, 1 mg",1 MG,319.946,20.000,,,,,,,
J0180,Agalsidase beta injection,1 MG,215.378,20.000,,,,,,,
J0185,"Inj., aprepitant, 1 mg",1 MG,1.731,20.000,,,,,,,
J0202,"Injection, alemtuzumab",1 MG,2283.728,20.000,,,,,,,
J0206,Inj allopurinol sodium 1 mg,1 MG,5.805,20.000,,,,,,Added July 2023,
J0216,"Inj, alfentanil hcl, 500mcg",500 MCG,2.565,20.000,,,,,,Added July 2023,
J0218,Inj olipudase alfa-rpcp 1mg,1 MG,377.508,20.000,,,,,,,
J0219,Inj aval alfa-nqpt 4mg,4 MG,75.038,20.000,,,,,,,
J0221,Lumizyme injection,10 MG,194.915,20.000,,,,,,,
J0222,"Inj., patisiran, 0.1 mg",0.1 MG,100.472,20.000,,,,,,,
J0223,Inj givosiran 0.5 mg,0.5 MG,112.486,20.000,,,,,,,
J0224,"Inj. lumasiran, 0.5 mg",0.5 MG,318.998,20.000,,,,,,,
J0225,"Inj, vutrisiran, 1 mg",1 MG,4940.950,20.000,,,,,,,
J0248,"Inj, remdesivir, 1 mg",1 MG,6.058,20.000,,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.878,20.000,,,,,,,
J0257,Glassia injection,10 MG,5.311,20.000,,,,,,,
J0278,Amikacin sulfate injection,100 MG,0.936,20.000,,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,4.508,20.000,,,,,,,
J0285,Amphotericin b,50 MG,41.673,20.000,,,,,,,
J0287,Amphotericin b lipid complex,10 MG,11.130,19.368,,,,,,Inflation-adjusted coinsurance,
J0289,Amphotericin b liposome inj,10 MG,27.871,20.000,,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,0.782,20.000,,,,,,,
J0291,"Inj., plazomicin, 5 mg",5 MG,3.356,20.000,,,,,,,
J0295,Ampicillin sulbactam 1.5 gm,1.5 GM,1.890,20.000,,,,,,,
J0348,Anidulafungin injection,1 MG,0.479,20.000,,,,,,,
J0360,Hydralazine hcl injection,20 MG,5.714,20.000,,,,,,,
J0401,Inj aripiprazole ext rel 1mg,1 MG,6.723,20.000,,,,,,,
J0456,Azithromycin,500 MG,2.778,20.000,,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.089,20.000,,,,,,,
J0475,Baclofen 10 mg injection,10 MG,182.487,20.000,,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,44.966,20.000,,,,,,,
J0480,Basiliximab,20 MG,4389.082,20.000,,,,,,,
J0485,Belatacept injection,1 MG,3.781,20.000,,,,,,,
J0490,Belimumab injection,10 MG,50.927,20.000,,,,,,,
J0491,Inj anifrolumab-fnia 1mg,1 MG,16.656,20.000,,,,,,,
J0500,Dicyclomine injection,20 MG,25.436,20.000,,,,,,,
J0515,Inj benztropine mesylate,1 MG,16.211,20.000,,,,,,,
J0517,"Inj., benralizumab, 1 mg",1 MG,170.925,20.000,,,,,,,
J0558,Peng benzathine/procaine inj,"100,000 UNITS",15.673,17.573,,,,,,Inflation-adjusted coinsurance,
J0561,Penicillin g benzathine inj,"100,000 UNITS",20.168,17.233,,,,,,Inflation-adjusted coinsurance,
J0565,"Inj, bezlotoxumab, 10 mg",10 MG,39.853,20.000,,,,,,,
J0583,Bivalirudin,1 MG,0.238,20.000,,,,,,,
J0584,"Injection, burosumab-twza 1m",1 MG,426.072,19.812,,,,,,Inflation-adjusted coinsurance,
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.352,20.000,,,,,,Updated October 2023,
J0586,Abobotulinumtoxina,5 Unit,8.601,20.000,,,,,,Updated October 2023,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,12.721,20.000,,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.196,20.000,,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,4.063,20.000,,,,,,,
J0594,Busulfan injection,1 MG,1.383,20.000,,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,5.049,20.000,,,,,,,
J0596,"Injection, ruconest",10 UNITS,33.020,20.000,,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,64.445,20.000,,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,60.727,20.000,,,,,,,
J0612,Calcium glucon (fresenius),10 MG,0.055,20.000,,,,,,,
J0613,Calcium glucon (wg critical),10 MG,0.083,20.000,,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,1366.440,20.000,,,,,,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.795,20.000,,,,,,,
J0637,Caspofungin acetate,5 MG,8.621,20.000,,,,,,,
J0638,Canakinumab injection,1 MG,121.513,20.000,,,,,,,
J0640,Leucovorin calcium injection,50 MG,4.698,20.000,,,,,,,
J0642,"Injection, khapzory, 0.5 mg",0.5 MG,1.483,20.000,,,,,,,
J0665,"Inj, bupivacaine, nos, 0.5mg",0.5 MG,0.021,20.000,,,,,,Added July 2023,
J0670,Inj mepivacaine hcl/10 ml,10 ML,3.077,20.000,,,,,,,
J0689,"Inj cefazolin sodium, baxter",500 MG,1.224,20.000,,,,,,,
J0690,Cefazolin sodium injection,500 MG,0.869,20.000,,,,,,,
J0691,Inj lefamulin 1 mg,1 MG,0.724,20.000,,,,,,,
J0692,Cefepime hcl for injection,500 MG,1.226,20.000,,,,,,,
J0694,Cefoxitin sodium injection,1 GM,5.001,20.000,,,,,,,
J0695,Inj ceftolozane tazobactam,75mg (50mg cft/25mg taz),7.540,20.000,,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.569,20.000,,,,,,,
J0697,Sterile cefuroxime injection,750 MG,2.236,20.000,,,,,,,
J0699,"Inj, cefiderocol, 10 mg",10 mg,2.163,20.000,,,,,,Added July 2023,
J0701,Inj. cefepime hcl (baxter),500 MG,5.718,20.000,,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,6.956,20.000,,,,,,,
J0703,"Inj, cefepime hcl (b braun)",500 MG,5.103,20.000,,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,3.887,20.000,,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,1.836,20.000,,,,,,,
J0714,Ceftazidime and avibactam,.625 GM,92.479,20.000,,,,,,,
J0717,Certolizumab pegol inj 1mg,1 MG,5.073,20.000,,,,,,"""lesser of"" methodology applied",
J0720,Chloramphenicol sodium injec,1 GM,50.261,20.000,,,,,,,
J0725,Chorionic gonadotropin/1000u,1000 UNITS,23.077,20.000,,,,,,,
J0735,Clonidine hydrochloride,1 MG,21.036,20.000,,,,,,,
J0736,"Inj, clindamycin phosp 300mg",300 MG,1.606,20.000,,,,,,Added July 2023,
J0740,Cidofovir injection,375 MG,577.031,20.000,,,,,,,
J0741,"Inj, cabote rilpivir 2mg 3mg",2MG/3MG,21.842,20.000,,,,,,,
J0742,Inj imip 4 cilas 4 releb 2mg,4 MG-4 MG-2 MG,2.488,20.000,,,,,,,
J0743,Cilastatin sodium injection,250 MG,7.145,20.000,,,,,,AMP-based payment limit,
J0744,Ciprofloxacin iv,200 MG,1.955,20.000,,,,,,,
J0770,Colistimethate sodium inj,150 MG,12.282,20.000,,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,64.037,19.432,,,,,,Inflation-adjusted coinsurance - Updated July 2024,
J0780,Prochlorperazine injection,10 MG,3.014,20.000,,,,,,,
J0791,Inj crizanlizumab-tmca 5mg,5 MG,126.606,20.000,,,,,,,
J0800,Corticotropin injection,40 UNITS,3819.780,20.000,,,,,,,
J0834,"Inj., cosyntropin, 0.25 mg",0.25 MG,27.881,20.000,,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,2056.352,20.000,,,,,,,
J0841,Inj crotalidae im f(ab')2 eq,120 MG,1019.456,20.000,,,,,,,
J0850,Cytomegalovirus imm iv /vial,PER VIAL,1814.195,19.173,,,,,,Inflation-adjusted coinsurance,
J0875,"Injection, dalbavancin",5 MG,14.703,20.000,,,,,,,
J0877,"Inj, daptomycin (hospira)",1 MG,0.071,20.000,,,,,,,
J0878,Daptomycin injection,1 MG,0.078,20.000,,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,2.936,20.000,,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,2.936,20.000,,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,6.876,20.000,,,,,,,
J0887,Epoetin beta esrd use,1 MCG,1.647,20.000,,,,,,,
J0888,Epoetin beta non esrd,1 MCG,1.647,20.000,,,,,,,
J0891,Argatroban nonesrd (accord),1 MG,0.460,20.000,,,,,,,
J0892,Argatroban dialysis (accord),1 MG,0.460,20.000,,,,,,,
J0893,"Inj, decitabine (sun pharma)",1 MG,2.240,20.000,,,,,,,
J0894,Decitabine injection,1 MG,2.000,20.000,,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,8.592,20.000,,,,,,,
J0896,Inj luspatercept-aamt 0.25mg,0.25 MG,39.181,20.000,,,,,,,
J0897,Denosumab injection,1 MG,24.192,19.829,,,,,,Inflation-adjusted coinsurance,
J0898,Argatroban nonesrd (auromed),1 MG,1.642,20.000,,,,,,,
J0899,"Argatroban dialysis, auromed",1 MG,1.642,20.000,,,,,,,
J1000,Depo-estradiol cypionate inj,5 MG,30.682,20.000,,,,,,,
J1020,Methylprednisolone 20 mg inj,20 MG,7.167,20.000,,,,,,,
J1030,Methylprednisolone 40 mg inj,40 MG,7.613,20.000,,,,,,,
J1040,Methylprednisolone 80 mg inj,80 MG,11.910,20.000,,,,,,,
J1071,Inj testosterone cypionate,1 MG,0.029,20.000,,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.122,20.000,,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,50.588,20.000,,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,29.702,20.000,,,,,,,
J1160,Digoxin injection,0.5 MG,10.814,20.000,,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,4593.574,20.000,,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.630,20.000,,,,,,,
J1170,Hydromorphone injection,4 MG,4.347,20.000,,,,,,,
J1190,Dexrazoxane hcl injection,250 MG,113.897,20.000,,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,1.062,20.000,,,,,,,
J1201,Inj. cetirizine hcl 0.5mg,0.5 MG,15.065,20.000,,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,61.567,20.000,,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ml,50 ML,682.516,20.000,,,,,,,
J1230,Methadone injection,10 MG,17.143,20.000,,,,,,,
J1240,Dimenhydrinate injection,50 MG,8.977,20.000,,,,,,,
J1245,Dipyridamole injection,10 MG,3.777,20.000,,,,,,,
J1250,Inj dobutamine hcl/250 mg,250 MG,8.825,20.000,,,,,,,
J1265,Dopamine injection,40 MG,0.699,20.000,,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,0.443,20.000,,,,,,,
J1290,Ecallantide injection,1 MG,530.720,20.000,,,,,,,
J1300,Eculizumab injection,10 MG,225.791,20.000,,,,,,,
J1301,"Injection, edaravone, 1 mg",1 MG,21.402,20.000,,,,,,,
J1302,"Inj, sutimlimab-jome, 10 mg",10 MG,17.754,19.825,,,,,,Inflation-adjusted coinsurance,
J1303,"Inj., ravulizumab-cwvz 10 mg",10 MG,221.875,20.000,,,,,,,
J1305,"Inj, evinacumab-dgnb, 5mg",5 MG,175.777,20.000,,,,,,,
J1306,"Injection, inclisiran, 1 mg",1 MG,12.059,20.000,,,,,,,
J1322,"Elosulfase alfa, injection",1 MG,280.126,20.000,,,,,,,
J1325,Epoprostenol injection,0.5 MG,15.999,20.000,,,,,,,
J1335,Ertapenem injection,500 MG,13.322,20.000,,,,,,,
J1364,Erythro lactobionate /500 mg,500 MG,87.328,20.000,,,,,,,
J1380,Estradiol valerate 10 mg inj,10 MG,10.782,20.000,,,,,,,
J1410,Inj estrogen conjugate 25 mg,25 MG,371.893,20.000,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,481.062,20.000,,,,,,,
J1437,Inj. fe derisomaltose 10 mg,10 MG,20.613,20.000,,,,,,,
J1439,Inj ferric carboxymaltos 1mg,1 MG,1.125,20.000,,,,,,,
J1442,Inj filgrastim excl biosimil,1 MCG,0.985,20.000,,,,,,,
J1447,Inj tbo filgrastim 1 microg,1 MCG,0.426,20.000,,,,,,,
J1448,"Injection, trilaciclib, 1mg",1 MG,5.102,20.000,,,,,,,
J1449,Inj eflapegrastim-xnst 0.1mg,0.1 MG,31.771,20.000,,,,,,Added July 2023,
J1450,Fluconazole,200 MG,2.680,20.000,,,,,,,
J1453,Fosaprepitant injection,1 MG,0.142,20.000,,,,,,,
J1454,"Inj fosnetupitant, palonoset",0.25 MG,371.999,20.000,,,,,,,
J1456,"Inj, fosaprepitant (teva)",1 MG,0.098,20.000,,,,,,,
J1458,Galsulfase injection,1 MG,461.919,20.000,,,,,,,
J1459,Inj ivig privigen 500 mg,500 MG,47.992,20.000,,,,,,,
J1460,Gamma globulin 1 cc inj,1 CC,48.465,20.000,,,,,,,
J1551,Inj cutaquig 100 mg,100 MG,14.386,20.000,,,,,,,
J1554,Inj. asceniv,500 MG,491.405,20.000,,,,,,,
J1555,"Inj cuvitru, 100 mg",100 MG,16.275,19.970,,,,,,Inflation-adjusted coinsurance,
J1556,"Inj, imm glob bivigam, 500mg",500 MG,72.963,20.000,,,,,,,
J1557,Gammaplex injection,500 MG,59.483,20.000,,,,,,Updated October 2023,
J1558,"Inj. xembify, 100 mg",100 MG,13.999,20.000,,,,,,,
J1559,Hizentra injection,100 MG,12.803,20.000,,,,,,,
J1560,Gamma globulin > 10 cc inj,10 CC,484.648,20.000,,,,,,,
J1561,Gamunex-c/gammaked,500 MG,50.640,20.000,,,,,,,
J1566,"Immune globulin, powder",500 MG,77.766,20.000,,,,,,Updated October 2023,
J1568,Octagam injection,500 MG,44.118,20.000,,,,,,,
J1569,Gammagard liquid injection,500 MG,46.031,20.000,,,,,,,
J1570,Ganciclovir sodium injection,500 MG,39.494,20.000,,,,,,,
J1571,Hepagam b im injection,0.5 ML,66.257,20.000,,,,,,,
J1572,Flebogamma injection,500 MG,56.116,20.000,,,,,,Updated October 2023,
J1575,Hyqvia 100mg immuneglobulin,100 MG,16.655,20.000,,,,,,,
J1576,"Inj, panzyga, 500 mg",500 MG,65.741,20.000,,,,,,Added July 2023,
J1580,Garamycin gentamicin inj,80 MG,2.992,20.000,,,,,,,
J1602,Golimumab for iv use 1mg,1 MG,13.287,20.000,,,,,,,
J1610,Glucagon hydrochloride/1 mg,1 MG,195.175,20.000,,,,,,,
J1611,"Inj glucagon hcl, fresenius",1 MG,101.412,20.000,,,,,,AMP-based payment limit,
J1626,Granisetron hcl injection,100 MCG,0.389,20.000,,,,,,,
J1627,"Inj, granisetron, xr, 0.1 mg",0.1 MG,5.877,20.000,,,,,,,
J1630,Haloperidol injection,5 MG,1.383,20.000,,,,,,,
J1631,Haloperidol decanoate inj,50 MG,8.325,20.000,,,,,,,
J1640,"Hemin, 1 mg",1 MG,31.081,19.461,,,,,,Inflation-adjusted coinsurance,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.069,20.000,,,,,,,
J1643,"Inj heparin, pfizer, 1000u",1000 UNITS,6.094,20.000,,,,,,Added July 2023,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.263,20.000,,,,,,,
J1645,Dalteparin sodium,2500 IU,16.601,11.892,,,,,,Inflation-adjusted coinsurance,
J1650,Inj enoxaparin sodium,10 MG,0.677,20.000,,,,,,,
J1652,Fondaparinux sodium,0.5 MG,1.071,20.000,,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,540.989,20.000,,,,,,,
J1720,Hydrocortisone sodium succ i,100 MG,17.514,20.000,,,,,,,
J1738,Inj. meloxicam 1 mg,1 MG,3.321,20.000,,,,,,,
J1740,Ibandronate sodium injection,1 MG,29.314,20.000,,,,,,,
J1743,Idursulfase injection,1 MG,542.918,20.000,,,,,,,
J1745,Infliximab not biosimil 10mg,10 MG,32.907,20.000,,,,,,,
J1746,"Inj., ibalizumab-uiyk, 10 mg",10 MG,74.292,19.820,,,,,,Inflation-adjusted coinsurance,
J1747,"Inj, spesolimab-sbzo, 1 mg",1 MG,60.223,20.000,,,,,,,
J1750,Inj iron dextran,50 MG,17.176,20.000,,,,,,,
J1756,Iron sucrose injection,1 MG,0.206,20.000,,,,,,AMP-based payment limit,
J1786,Imuglucerase injection,10 UNITS,44.250,20.000,,,,,,,
J1805,"Inj, esmolol hcl, 10mg",10 MG,0.250,20.000,,,,,,Added July 2023,
J1806,Inj esmolol hcl wg crit care,10 MG,0.486,20.000,,,,,,Added July 2023,
J1811,Fiasp for insulin pump use,50 UNITS,7.001,20.000,,,,,,Updated July 2024,
J1813,Lyumjev for insulin pump use,50 UNITS,15.730,20.000,,,,,,Added July 2023,
J1817,Insulin for insulin pump use,50 UNITS,8.442,20.000,,,,,,Updated July 2024,
J1823,"Inj. inebilizumab-cdon, 1 mg",1 MG,472.303,20.000,,,,,,,
J1836,"Inj, metronidazole, 10 mg",10 MG,0.024,20.000,,,,,,Added July 2023,
J1885,Ketorolac tromethamine inj,15 MG,0.546,20.000,,,,,,,
J1920,"Inj, labetalol hcl, 5mg",5 MG,0.244,20.000,,,,,,Added July 2023,
J1921,"Inj labetalol hcl hikma, 5mg",5 MG,1.237,20.000,,,,,,Added July 2023,
J1930,Lanreotide injection,1 MG,54.182,20.000,,,,,,,
J1931,Laronidase injection,0.1 MG,37.043,20.000,,,,,,,
J1932,"Inj, lanreotide, (cipla) 1mg",1 MG,51.378,20.000,,,,,,,
J1940,Furosemide injection,20 MG,0.495,20.000,,,,,,,
J1943,"Inj., aristada initio, 1 mg",1 MG,3.060,20.000,,,,,,,
J1944,Aripiprazole lauroxil 1 mg,1 MG,3.067,20.000,,,,,,,
J1950,Leuprolide acetate /3.75 mg,3.75 MG,1543.516,19.376,,,,,,Inflation-adjusted coinsurance,
J1951,Inj fensolvi 0.25 mg,0.25 MG,138.807,20.000,,,,,,,
J1952,"Leuprolide inj, camcevi, 1mg",1 mg,78.308,20.000,,,,,,,
J1953,Levetiracetam injection,10 MG,0.073,20.000,,,,,,,
J1954,Leuprolide depot cipla 7.5mg,7.5 MG,425.478,20.000,,,,,,Added July 2023,
J1955,Inj levocarnitine per 1 gm,1 GM,35.415,20.000,,,,,,Updated October 2023,
J1956,Levofloxacin injection,250 MG,0.917,20.000,,,,,,,
J1980,Hyoscyamine sulfate inj,0.25 MG,33.233,20.000,,,,,,,
J2001,Lidocaine injection,10 MG,0.030,20.000,,,,,,,
J2010,Lincomycin injection,300 MG,9.991,20.000,,,,,,,
J2020,Linezolid injection,200 MG,3.471,20.000,,,,,,,
J2021,"Inj, linezolid (hospira)",200 MG,16.046,20.000,,,,,,Updated January 2024,
J2060,Lorazepam injection,2 MG,0.852,20.000,,,,,,,
J2150,Mannitol injection,50 ML,4.930,20.000,,,,,,,
J2175,Meperidine hydrochl /100 mg,100 MG,7.309,20.000,,,,,,,
J2182,"Injection, mepolizumab, 1mg",1 MG,29.747,20.000,,,,,,,
J2184,"Inj, meropenem (b. braun)",100 MG,2.101,20.000,,,,,,,
J2185,Meropenem,100 MG,0.518,20.000,,,,,,AMP-based payment limit,
J2210,Methylergonovin maleate inj,0.2 MG,20.893,20.000,,,,,,,
J2247,"Inj, micafungin (par pharm)",1 MG,0.291,20.000,,,,,,,
J2248,Micafungin sodium injection,1 MG,0.830,20.000,,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.140,20.000,,,,,,,
J2251,Inj midazolam (wg crit care),1 MG,0.288,20.000,,,,,,,
J2260,Inj milrinone lactate / 5 mg,5 MG,1.874,20.000,,,,,,,
J2270,Morphine sulfate injection,10 MG,4.600,20.000,,,,,,,
J2272,"Inj, morphine (fresenius)",10 MG,6.929,20.000,,,,,,,
J2274,Inj morphine pf epid ithc,10 MG,15.701,20.000,,,,,,,
J2278,Ziconotide injection,1 MCG,9.078,20.000,,,,,,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,9.845,20.000,,,,,,,
J2281,Inj moxifloxacin (fres kabi),100 MG,4.495,20.000,,,,,,AMP-based payment limit,
J2300,Inj nalbuphine hydrochloride,10 MG,2.716,20.000,,,,,,,
J2305,"Inj, nitroglycerin, 5 mg",5 MG,1.296,20.000,,,,,,Added July 2023,
J2310,Inj naloxone hydrochloride,1 MG,9.450,20.000,,,,,,,
J2311,"Inj, naloxone hcl (zimhi)",1 MG,8.508,20.000,,,,,,,
J2315,"Naltrexone, depot form",1 MG,3.940,19.948,,,,,,Inflation-adjusted coinsurance,
J2323,Natalizumab injection,1 MG,24.863,20.000,,,,,,,
J2327,Inj risankizumab-rzaa 1 mg,1 MG,15.519,20.000,,,,,,,
J2350,"Injection, ocrelizumab, 1 mg",1 MG,61.417,20.000,,,,,,,
J2353,"Octreotide injection, depot",1 MG,208.117,20.000,,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,1.314,20.000,,,,,,,
J2356,"Inj tezepelumab-ekko, 1mg",1 MG,18.729,19.899,,,,,,Inflation-adjusted coinsurance,
J2357,Omalizumab injection,5 MG,39.383,20.000,,,,,,,
J2358,Olanzapine long-acting inj,1 MG,2.917,20.000,,,,,,,
J2360,Orphenadrine injection,60 MG,16.536,20.000,,,,,,,
