Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,
,,,,,,,,,,
"Effective July 1, 2018 through September 30, 2018",,,,,,,,,,
,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q18 ASP data.,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of ",,,,,,,,,,
a payment allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local ,,,,,,,,,,
Medicare contractor processing the claim.,,,,,,,,,,
,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
A9579,"Gad-base mr contrast nos,1ml",1 ML,1.778,,,,,,,
A9581,Gadoxetate disodium inj,1 ML,14.798,,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.392,,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,,,,,,"
microCurie 100% AWP = $158.220
microCurie 100% WAC = $131.850
",
J0129,Abatacept injection,10 MG,51.628,,,,,,,
J0130,Abciximab injection,10 MG,1285.637,,,,,,,
J0132,Acetylcysteine injection,100 MG,1.228,,,,,,,
J0133,Acyclovir injection,5 MG,0.052,,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.770,,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.584,,,,,,,
J0178,Aflibercept injection,1 MG,967.673,,,,,,,
J0180,Agalsidase beta injection,1 MG,174.670,,,,,,,
J0202,"Injection, alemtuzumab",1 MG,1843.276,,,,,,,
J0207,Amifostine,500 MG,976.558,,,,,,,
J0221,Lumizyme injection,10 MG,162.816,,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.511,,,,,,,
J0257,Glassia injection,10 MG,4.717,,,,,,,
J0278,Amikacin sulfate injection,100 MG,1.119,,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,6.827,,,,,,,
J0285,Amphotericin b,50 MG,33.680,,,,,,,
J0287,Amphotericin b lipid complex,10 MG,19.336,,,,,,,
J0289,Amphotericin b liposome inj,10 MG,48.067,,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,1.116,,,,,,,
J0295,Ampicillin sodium per 1.5 gm,1.5 GM,2.391,,,,,,,
J0348,Anidulafungin injection,1 MG,0.562,,,,,,,
J0360,Hydralazine hcl injection,20 MG,2.843,,,,,,,
J0401,Inj aripiprazole ext rel 1mg,1 MG,5.237,,,,,,,
J0456,Azithromycin,500 MG,3.049,,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.066,,,,,,,
J0470,Dimecaprol injection,100 MG,50.444,,,,,,,
J0475,Baclofen 10 mg injection,10 MG,173.310,,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,59.392,,,,,,,
J0480,Basiliximab,20 MG,3656.007,,,,,,,
J0485,Belatacept injection,1 MG,3.829,,,,,,,
J0490,Belimumab injection,10 MG,43.619,,,,,,,
J0500,Dicyclomine injection,20 MG,77.120,,,,,,,
J0515,Inj benztropine mesylate,1 MG,16.677,,,,,,,
J0558,Peng benzathine/procaine inj,"100,000 UNITS",10.925,,,,,,,
J0561,Penicillin g benzathine inj,"100,000 UNITS",13.937,,,,,,,
J0570,Buprenorphine implant 74.2mg,74.2 MG,1250.924,,,,,,,
J0583,Bivalirudin,1 MG,0.962,,,,,,,
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.158,,,,,,,
J0586,Abobotulinumtoxina,5 Unit,8.425,,,,,,,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,12.015,,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.082,,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,3.915,,,,,,,
J0594,Busulfan injection,1 MG,20.271,,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,2.394,,,,,,,
J0596,"Injection, ruconest",10 UNITS,27.716,,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,48.935,,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,55.941,,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,5594.422,,,,,,,
J0610,Calcium gluconate injection,10 ML,4.161,,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,2606.132,,,,,,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.555,,,,,,,
J0637,Caspofungin acetate,5 MG,13.601,,,,,,,
J0638,Canakinumab injection,1 MG,110.520,,,,,,,
J0640,Leucovorin calcium injection,50 MG,3.133,,,,,,,
J0641,Levoleucovorin injection,0.5 MG,0.233,,,,,,,
J0670,Inj mepivacaine hcl/10 ml,10 ML,2.543,,,,,,AMP-based payment limit,
J0690,Cefazolin sodium injection,500 MG,0.776,,,,,,,
J0692,Cefepime hcl for injection,500 MG,2.495,,,,,,,
J0694,Cefoxitin sodium injection,1 GM,3.826,,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.591,,,,,,,
J0697,Sterile cefuroxime injection,750 MG,1.990,,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,6.990,,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,2.898,,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,2.319,,,,,,,
J0717,Certolizumab pegol inj 1mg,1 MG,8.023,,,,,,,
J0720,Chloramphenicol sodium injec,1 GM,39.729,,,,,,,
J0725,Chorionic gonadotropin/1000u,1000 UNITS,24.113,,,,,,,
J0735,Clonidine hydrochloride,1 MG,12.205,,,,,,,
J0740,Cidofovir injection,375 MG,466.608,,,,,,,
J0743,Cilastatin sodium injection,250 MG,6.960,,,,,,,
J0744,Ciprofloxacin iv,200 MG,3.217,,,,,,,
J0770,Colistimethate sodium inj,150 MG,16.119,,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,43.502,,,,,,,
J0780,Prochlorperazine injection,10 MG,10.052,,,,,,,
J0795,Corticorelin ovine triflutal,1 MCG,8.604,,,,,,,
J0800,Corticotropin injection,40 UNITS,3990.168,,,,,,,
J0834,Cosyntropin cortrosyn inj,0.25 MG,33.152,,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,3231.938,,,,,,,
J0850,Cytomegalovirus imm iv /vial,PER VIAL,1129.120,,,,,,,
J0875,"Injection, dalbavancin",5 MG,14.658,,,,,,,
J0878,Daptomycin injection,1 MG,0.356,,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,3.838,,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,3.838,,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,13.090,,,,,,,
J0887,Epoetin beta esrd use,1 MCG,1.787,,,,,,,
J0888,Epoetin beta non esrd,1 MCG,1.787,,,,,,,
J0894,Decitabine injection,1 MG,14.495,,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,20.161,,,,,,,
J0897,Denosumab injection,1 MG,18.378,,,,,,,
J1000,Depo-estradiol cypionate inj,5 MG,21.968,,,,,,,
J1020,Methylprednisolone 20 mg inj,20 MG,4.177,,,,,,,
J1030,Methylprednisolone 40 mg inj,40 MG,7.001,,,,,,,
J1040,Methylprednisolone 80 mg inj,80 MG,13.510,,,,,,,
J1050,Medroxyprogesterone acetate,1 MG,0.563,,,,,,,
J1071,Inj testosterone cypionate,1 MG,0.025,,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.121,,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,92.188,,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,15.174,,,,,,,
J1160,Digoxin injection,0.5 MG,6.992,,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,3512.183,,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.597,,,,,,,
J1170,Hydromorphone injection,4 MG,1.374,,,,,,,
J1190,Dexrazoxane hcl injection,250 MG,236.493,,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.587,,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,75.313,,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ml,50 ML,531.553,,,,,,,
J1230,Methadone injection,10 MG,17.988,,,,,,,
J1240,Dimenhydrinate injection,50 MG,7.050,,,,,,,
J1245,Dipyridamole injection,10 MG,0.803,,,,,,,
J1250,Inj dobutamine hcl/250 mg,250 MG,5.056,,,,,,,
J1265,Dopamine injection,40 MG,0.603,,,,,,,
J1267,Doripenem injection,10 MG,0.885,,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,0.470,,,,,,,
J1290,Ecallantide injection,1 MG,476.867,,,,,,,
J1300,Eculizumab injection,10 MG,230.480,,,,,,,
J1325,Epoprostenol injection,0.5 MG,16.078,,,,,,,
J1335,Ertapenem injection,500 MG,62.784,,,,,,,
J1364,Erythro lactobionate /500 mg,500 MG,78.867,,,,,,,
J1380,Estradiol valerate 10 mg inj,10 MG,15.744,,,,,,,
J1410,Inj estrogen conjugate 25 mg,25 MG,310.393,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,444.099,,,,,,,
J1439,Inj ferric carboxymaltos 1mg,1 MG,1.069,,,,,,,
J1442,Inj filgrastim excl biosimil,1 MCG,1.023,,,,,,,
J1447,Inj tbo filgrastim 1 microg,1 MCG,0.592,,,,,,,
J1450,Fluconazole,200 MG,4.489,,,,,,,
J1453,Fosaprepitant injection,1 MG,2.078,,,,,,,
J1458,Galsulfase injection,1 MG,383.213,,,,,,,
J1459,Inj ivig privigen 500 mg,500 MG,39.670,,,,,,,
J1460,Gamma globulin 1 cc inj,1 CC,38.481,,,,,,,
J1555,"Inj cuvitru, 100 mg",100 MG,13.397,,,,,,,
J1556,"Inj, imm glob bivigam, 500mg",500 MG,70.516,,,,,,,
J1557,Gammaplex injection,500 MG,55.772,,,,,,,
J1559,Hizentra injection,100 MG,9.850,,,,,,,
J1560,Gamma globulin > 10 cc inj,10 CC,384.810,,,,,,,
J1561,Gamunex-c/gammaked,500 MG,40.249,,,,,,updated April 2019,
J1566,"Immune globulin, powder",500 MG,40.008,,,,,,,
J1568,Octagam injection,500 MG,33.159,,,,,,,
J1569,Gammagard liquid injection,500 MG,46.328,,,,,,,
J1570,Ganciclovir sodium injection,500 MG,68.529,,,,,,,
J1571,Hepagam b im injection,0.5 ML,67.888,,,,,,,
J1572,Flebogamma injection,500 MG,35.161,,,,,,updated October 2018,
J1575,Hyqvia 100mg immuneglobulin,100 MG,14.343,,,,,,,
J1580,Garamycin gentamicin inj,80 MG,1.359,,,,,,AMP-based payment limit,
J1602,Golimumab for iv use 1mg,1 MG,24.301,,,,,,,
J1610,Glucagon hydrochloride/1 mg,1 MG,197.320,,,,,,,
J1626,Granisetron hcl injection,100 MCG,0.319,,,,,,,
J1627,"Inj, granisetron, xr, 0.1 mg",0.1 MG,3.885,,,,,,,
J1630,Haloperidol injection,5 MG,0.988,,,,,,,
J1631,Haloperidol decanoate inj,50 MG,17.984,,,,,,,
J1640,"Hemin, 1 mg",1 MG,23.044,,,,,,,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.180,,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.199,,,,,,,
J1645,Dalteparin sodium,2500 IU,14.982,,,,,,,
J1650,Inj enoxaparin sodium,10 MG,0.872,,,,,,,
J1652,Fondaparinux sodium,0.5 MG,2.283,,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,277.588,,,,,,updated October 2018,
J1720,Hydrocortisone sodium succ i,100 MG,13.177,,,,,,,
J1740,Ibandronate sodium injection,1 MG,78.109,,,,,,,
J1742,Ibutilide fumarate injection,1 MG,298.651,,,,,,,
J1743,Idursulfase injection,1 MG,542.917,,,,,,,
J1745,Infliximab not biosimil 10mg,10 MG,83.899,,,,,,,
J1750,Inj iron dextran,50 MG,13.669,,,,,,,
J1756,Iron sucrose injection,1 MG,0.234,,,,,,,
J1786,Imuglucerase injection,10 UNITS,41.333,,,,,,,
J1800,Propranolol injection,1 MG,4.534,,,,,,,
J1815,Insulin injection,5 UNITS,0.938,,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,11.197,,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.566,,,,,,,
J1930,Lanreotide injection,1 MG,58.920,,,,,,updated October 2018,
J1931,Laronidase injection,0.1 MG,30.615,,,,,,,
J1940,Furosemide injection,20 MG,0.875,,,,,,,
J1942,Aripiprazole lauroxil 1mg,1 MG,2.458,,,,,,,
J1950,Leuprolide acetate /3.75 mg,3.75 MG,1196.911,,,,,,,
J1953,Levetiracetam injection,10 MG,0.119,,,,,,,
J1955,Inj levocarnitine per 1 gm,1 GM,32.076,,,,,,,
J1956,Levofloxacin injection,250 MG,1.254,,,,,,,
J1980,Hyoscyamine sulfate inj,0.25 MG,30.337,,,,,,,
J2001,Lidocaine injection,10 MG,0.022,,,,,,,
J2010,Lincomycin injection,300 MG,13.026,,,,,,,
J2020,Linezolid injection,200 MG,11.917,,,,,,,
J2060,Lorazepam injection,2 MG,0.764,,,,,,,
J2150,Mannitol injection,50 ML,2.323,,,,,,,
J2175,Meperidine hydrochl /100 mg,100 MG,3.768,,,,,,,
J2185,Meropenem,100 MG,0.814,,,,,,,
J2210,Methylergonovin maleate inj,0.2 MG,14.806,,,,,,,
J2248,Micafungin sodium injection,1 MG,0.864,,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.124,,,,,,,
J2260,Inj milrinone lactate / 5 mg,5 MG,1.657,,,,,,,
J2270,Morphine sulfate injection,10 MG,2.433,,,,,,,
J2274,Inj morphine pf epid ithc,10 MG,11.425,,,,,,,
J2278,Ziconotide injection,1 MCG,7.579,,,,,,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,9.730,,,,,,,
J2300,Inj nalbuphine hydrochloride,10 MG,2.903,,,,,,,
J2310,Inj naloxone hydrochloride,1 MG,23.867,,,,,,,
J2315,"Naltrexone, depot form",1 MG,3.263,,,,,,,
J2323,Natalizumab injection,1 MG,19.901,,,,,,,
J2350,"Injection, ocrelizumab, 1 mg",1 MG,57.174,,,,,,,
J2353,"Octreotide injection, depot",1 MG,199.031,,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,0.929,,,,,,,
J2355,Oprelvekin injection,5 MG,426.915,,,,,,,
J2357,Omalizumab injection,5 MG,36.334,,,,,,,
J2358,Olanzapine long-acting inj,1 MG,2.917,,,,,,,
J2360,Orphenadrine injection,60 MG,6.388,,,,,,,
J2400,Chloroprocaine hcl injection,30 ML,18.788,,,,,,AMP-based payment limit,
J2405,Ondansetron hcl injection,1 MG,0.079,,,,,,,
J2407,"Injection, oritavancin",10 MG,23.386,,,,,,updated January 2019,
J2425,Palifermin injection,50 MCG,20.338,,,,,,,
J2426,Paliperidone palmitate inj,1 MG,10.877,,,,,,,
J2430,Pamidronate disodium /30 mg,30 MG,10.049,,,,,,,
J2469,Palonosetron hcl,25 MCG,22.604,,,,,,,
J2501,Paricalcitol,1 MCG,0.745,,,,,,AMP-based payment limit,
J2503,Pegaptanib sodium injection,0.3 MG,717.865,,,,,,,
J2504,"Pegademase bovine, 25 iu",25 IU,367.961,,,,,,,
J2505,"Injection, pegfilgrastim 6mg",6 MG,4720.843,,,,,,,
J2507,Pegloticase injection,1 MG,2322.063,,,,,,,
J2510,Penicillin g procaine inj,600000 UNITS,29.295,,,,,,,
J2515,Pentobarbital sodium inj,50 MG,49.201,,,,,,,
J2540,Penicillin g potassium inj,600000 UNITS,1.085,,,,,,,
J2543,Piperacillin/tazobactam,1.125 GM,2.726,,,,,,,
J2545,Pentamidine non-comp unit,300 MG,115.476,,,,,,,
J2550,Promethazine hcl injection,50 MG,1.925,,,,,,,
J2560,Phenobarbital sodium inj,120 MG,38.167,,,,,,,
J2562,Plerixafor injection,1 MG,329.813,,,,,,,
J2597,Inj desmopressin acetate,1 MCG,12.903,,,,,,,
J2675,Inj progesterone per 50 mg,50 MG,1.102,,,,,,,
J2680,Fluphenazine decanoate 25 mg,25 MG,13.938,,,,,,,
J2690,Procainamide hcl injection,1 GM,69.234,,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,2.266,,,,,,,
J2704,"Inj, propofol, 10 mg",10 MG,0.118,,,,,,,
J2720,Inj protamine sulfate/10 mg,10 MG,1.145,,,,,,,
J2724,Protein c concentrate,10 UNITS,15.336,,,,,,,
J2765,Metoclopramide hcl injection,10 MG,0.853,,,,,,,
J2770,Quinupristin/dalfopristin,500 MG,418.591,,,,,,,
J2778,Ranibizumab injection,0.1 mg,373.500,,,,,,,
J2780,Ranitidine hydrochloride inj,25 MG,5.451,,,,,,updated October 2018,
J2783,Rasburicase,0.5 MG,271.645,,,,,,,
J2785,Regadenoson injection,0.1 MG,56.498,,,,,,,
J2788,Rho d immune globulin 50 mcg,50 MCG (250 IU),25.375,,,,,,,
J2790,Rho d immune globulin inj,300 MCG (1500 IU),87.864,,,,,,updated April 2019,
J2791,Rhophylac injection,100 IU,4.848,,,,,,,
J2792,"Rho(d) immune globulin h, sd",100 IU,27.316,,,,,,,
J2794,"Risperidone, long acting",0.5 MG,9.402,,,,,,,
J2795,Ropivacaine hcl injection,1 MG,0.079,,,,,,,
J2796,Romiplostim injection,10 MCG,70.548,,,,,,,
J2800,Methocarbamol injection,10 ML,24.127,,,,,,,
J2805,Sincalide injection,5 MCG,106.649,,,,,,,
J2810,Inj theophylline per 40 mg,40 MG,0.307,,,,,,,
J2820,Sargramostim injection,50 MCG,37.153,,,,,,updated January 2019,
J2916,Na ferric gluconate complex,12.5 MG,2.179,,,,,,,
J2920,Methylprednisolone injection,40 MG,4.805,,,,,,,
J2930,Methylprednisolone injection,125 MG,6.965,,,,,,,
J2997,Alteplase recombinant,1 MG,87.620,,,,,,,
J3000,Streptomycin injection,1 GM,16.459,,,,,,,
J3010,Fentanyl citrate injection,0.1 MG,0.595,,,,,,,
J3060,"Inj, taliglucerase alfa 10 u",10 UNITS,40.390,,,,,,,
J3070,Pentazocine injection,30 MG,108.385,,,,,,,
J3090,Inj tedizolid phosphate,1 MG,1.437,,,,,,,
J3095,Telavancin injection,10 MG,5.487,,,,,,,
J3101,Tenecteplase injection,1 MG,121.025,,,,,,,
J3105,Terbutaline sulfate inj,1 MG,2.895,,,,,,,
J3121,Inj testostero enanthate 1mg,1 MG,0.038,,,,,,,
J3230,Chlorpromazine hcl injection,50 MG,29.345,,,,,,,
J3240,Thyrotropin injection,0.9 MG,1608.715,,,,,,,
J3243,Tigecycline injection,1 MG,2.256,,,,,,,
J3250,Trimethobenzamide hcl inj,200 MG,32.237,,,,,,,
J3260,Tobramycin sulfate injection,80 MG,3.003,,,,,,,
J3262,Tocilizumab injection,1 MG,4.719,,,,,,,
J3285,Treprostinil injection,1 MG,61.237,,,,,,,
J3300,Triamcinolone a inj prs-free,1 MG,3.857,,,,,,,
J3301,Triamcinolone acet inj nos,10 MG,1.766,,,,,,,
J3315,Triptorelin pamoate,3.75 MG,262.096,,,,,,AMP-based payment limit,
J3357,"Ustekinumab sub cu inj, 1 mg",1 MG,195.547,,,,,,,
J3358,"Ustekinumab, iv inject,1 mg",1 MG,12.549,,,,,,,
J3360,Diazepam injection,5 MG,6.955,,,,,,,
J3370,Vancomycin hcl injection,500 MG,3.913,,,,,,,
J3380,"Injection, vedolizumab",1 MG,19.622,,,,,,,
J3385,Velaglucerase alfa,100 UNITS,345.250,,,,,,,
J3396,Verteporfin injection,0.1 MG,10.856,,,,,,,
J3410,Hydroxyzine hcl injection,25 MG,7.265,,,,,,,
J3411,Thiamine hcl 100 mg,100 MG,2.914,,,,,,,
J3415,Pyridoxine hcl 100 mg,100 MG,9.523,,,,,,,
J3420,Vitamin b12 injection,1000 MCG,1.908,,,,,,,
J3430,Vitamin k phytonadione inj,1 MG,4.274,,,,,,,
J3465,"Injection, voriconazole",10 MG,1.940,,,,,,,
J3471,"Ovine, up to 999 usp units",1 UNIT,0.405,,,,,,,
J3473,Hyaluronidase recombinant,1 USP UNIT,0.358,,,,,,,
J3475,Inj magnesium sulfate,500 MG,0.506,,,,,,,
J3480,Inj potassium chloride,2 MEQ,0.121,,,,,,,
J3485,Zidovudine,10 MG,1.514,,,,,,,
J3486,Ziprasidone mesylate,10 MG,18.071,,,,,,AMP-based payment limit,
J3489,Zoledronic acid 1mg,1 MG,14.716,,,,,,,
J7030,Normal saline solution infus,1000 ML,2.497,,,,,,,
J7040,Normal saline solution infus,500 ML,1.256,,,,,,,
J7042,5% dextrose/normal saline,500 ML,1.006,,,,,,,
J7050,Normal saline solution infus,250 ML,0.624,,,,,,,
J7060,5% dextrose/water,500 ML,2.279,,,,,,,
J7070,D5w infusion,1000 CC,4.488,,,,,,,
J7120,Ringers lactate infusion,1000 CC,2.673,,,,,,,
J7180,Factor xiii anti-hem factor,1 IU,8.215,,,,,1,,
J7182,Factor viii recomb novoeight,1 IU,1.330,,,,,1,,
J7183,Wilate injection,1 I.U. VWF:RCO,1.028,,,,,1,,
J7185,Xyntha inj,1 IU,1.251,,,,,1,,
J7186,Antihemophilic viii/vwf comp,PER FACTOR VIII IU,0.994,,,,,1,,
J7187,"Humate-p, inj",1 IU,1.124,,,,,1,,
J7189,Factor viia,1 MCG,2.069,,,,,1,,
J7190,Factor viii,1 IU,1.107,,,,,1,,
J7192,Factor viii recombinant nos,1 IU,1.354,,,,,1,,
J7193,Factor ix non-recombinant,1 IU,1.137,,,,,1,,
J7194,Factor ix complex,1 IU,1.426,,,,,1,,
J7195,Factor ix recombinant nos,1 IU,1.511,,,,,1,,
J7197,Antithrombin iii injection,1 IU,3.684,,,,,,,
J7198,Anti-inhibitor,1 IU,2.111,,,,,1,,
J7200,Factor ix recombinan rixubis,1 IU,1.348,,,,,1,,
J7201,Factor ix alprolix recomb,1 IU,2.992,,,,,1,,
J7205,Factor viii fc fusion recomb,1 IU,2.009,,,,,1,,
J7308,Aminolevulinic acid hcl top,354 MG,404.591,,,,,,,
J7311,Fluocinolone acetonide implt,0.59 MG,20395.294,,,,,,,
J7312,Dexamethasone intra implant,0.1 MG,200.196,,,,,,,
J7313,Fluocinol acet intravit imp,0.01 MG,490.198,,,,,,,
J7316,"Inj, ocriplasmin, 0.125 mg",0.125 MG,1018.695,,,,,,,
J7320,"Genvisc 850, inj, 1mg",1 MG,6.252,,,,,,,
J7321,Hyalgan supartz visco-3 dose,per dose,83.175,,,,,,,
J7323,Euflexxa inj per dose,per dose,143.734,,,,,,,
J7324,Orthovisc inj per dose,per dose,140.341,,,,,,,
J7325,Synvisc or synvisc-one,1 MG,11.699,,,,,,,
J7326,Gel-one,per dose,509.348,,,,,,,
J7327,Monovisc inj per dose,Per Dose,796.562,,,,,,,
J7336,Capsaicin 8% patch,1 SQ CM,3.150,,,,,,,
J7500,Azathioprine oral 50mg,50 MG,0.600,,,,,,,
J7502,Cyclosporine oral 100 mg,100 MG,2.423,,,,,,,
J7503,Tacrol envarsus ex rel oral,0.25 MG,1.254,,,,,,,
J7504,Lymphocyte immune globulin,250 MG,2106.508,,,,,,,
J7507,Tacrolimus imme rel oral 1mg,1 MG,0.533,,,,,,,
J7508,Tacrol astagraf ex rel oral,0.1 MG,0.473,,,,,,,
J7509,Methylprednisolone oral,4 MG,0.266,,,,,,,
J7510,Prednisolone oral per 5 mg,5 MG,0.065,,,,,,,
J7511,Antithymocyte globuln rabbit,25 MG,725.691,,,,,,,
J7512,Prednisone ir or dr oral 1mg,1 MG,0.015,,,,,,,
J7515,Cyclosporine oral 25 mg,25 MG,0.716,,,,,,,
J7516,Cyclosporin parenteral 250mg,250 MG,44.197,,,,,,,
