Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,
,,,,,,,,,,
"Effective April 1, 2018 through June 30, 2018",,,,,,,,,,
,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 4Q17 ASP data.,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of ",,,,,,,,,,
a payment allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local ,,,,,,,,,,
Medicare contractor processing the claim.,,,,,,,,,,
,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
J1571,Hepagam b im injection,0.5 ML,62.213,,,,,,,
J1572,Flebogamma injection,500 MG,35.146,,,,,,,
J1575,Hyqvia 100mg immuneglobulin,100 MG,13.859,,,,,,,
J1580,Garamycin gentamicin inj,80 MG,1.486,,,,,,,
J1602,Golimumab for iv use 1mg,1 MG,24.037,,,,,,,
J1610,Glucagon hydrochloride/1 mg,1 MG,211.733,,,,,,,
J1626,Granisetron hcl injection,100 MCG,0.268,,,,,,,
J1627,"Inj, granisetron, xr, 0.1 mg",0.1 MG,4.344,,,,,,,
J1630,Haloperidol injection,5 MG,0.907,,,,,,,
J1631,Haloperidol decanoate inj,50 MG,17.571,,,,,,,
J1640,"Hemin, 1 mg",1 MG,22.358,,,,,,,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.203,,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.199,,,,,,,
J1645,Dalteparin sodium,2500 IU,15.374,,,,,,,
J1650,Inj enoxaparin sodium,10 MG,0.813,,,,,,,
J1652,Fondaparinux sodium,0.5 MG,2.314,,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,451.509,,,,,,,
J1720,Hydrocortisone sodium succ i,100 MG,12.050,,,,,,,
J1740,Ibandronate sodium injection,1 MG,74.238,,,,,,,
J1742,Ibutilide fumarate injection,1 MG,321.297,,,,,,,
J1743,Idursulfase injection,1 MG,542.884,,,,,,,
J1745,Infliximab not biosimil 10mg,10 MG,83.287,,,,,,,
J1750,Inj iron dextran,50 MG,13.031,,,,,,,
J1756,Iron sucrose injection,1 MG,0.235,,,,,,,
J1786,Imuglucerase injection,10 UNITS,41.578,,,,,,,
J1800,Propranolol injection,1 MG,0.980,,,,,,,
J1815,Insulin injection,5 UNITS,0.861,,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,10.203,,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.545,,,,,,,
J1930,Lanreotide injection,1 MG,56.864,,,,,,,
J1931,Laronidase injection,0.1 MG,30.611,,,,,,,
J1940,Furosemide injection,20 MG,0.964,,,,,,,
J1942,Aripiprazole lauroxil 1mg,1 MG,2.425,,,,,,,
J1950,Leuprolide acetate /3.75 mg,3.75 MG,1089.218,,,,,,,
J1953,Levetiracetam injection,10 MG,0.119,,,,,,,
J1955,Inj levocarnitine per 1 gm,1 GM,29.441,,,,,,,
J1956,Levofloxacin injection,250 MG,1.541,,,,,,,
J1980,Hyoscyamine sulfate inj,0.25 MG,27.786,,,,,,,
J2001,Lidocaine injection,10 MG,0.015,,,,,,,
J2010,Lincomycin injection,300 MG,12.623,,,,,,,
J2020,Linezolid injection,200 MG,14.154,,,,,,,
J2060,Lorazepam injection,2 MG,0.871,,,,,,,
J2150,Mannitol injection,50 ML,2.431,,,,,,,
J2175,Meperidine hydrochl /100 mg,100 MG,2.821,,,,,,,
J2185,Meropenem,100 MG,1.014,,,,,,,
J2210,Methylergonovin maleate inj,0.2 MG,13.894,,,,,,,
J2248,Micafungin sodium injection,1 MG,0.819,,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.114,,,,,,,
J2260,Inj milrinone lactate / 5 mg,5 MG,1.490,,,,,,,
J2270,Morphine sulfate injection,10 MG,1.354,,,,,,,
J2274,Inj morphine pf epid ithc,10 MG,13.976,,,,,,,
J2278,Ziconotide injection,1 MCG,7.438,,,,,,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,10.046,,,,,,,
J2300,Inj nalbuphine hydrochloride,10 MG,2.561,,,,,,,
J2310,Inj naloxone hydrochloride,1 MG,25.698,,,,,,,
J2315,"Naltrexone, depot form",1 MG,3.262,,,,,,,
J2323,Natalizumab injection,1 MG,19.358,,,,,,,
J2350,"Injection, ocrelizumab, 1 mg",1 MG,57.164,,,,,,,
J2353,"Octreotide injection, depot",1 MG,190.678,,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,0.958,,,,,,,
J2355,Oprelvekin injection,5 MG,467.216,,,,,,,
J2357,Omalizumab injection,5 MG,36.376,,,,,,,
J2358,Olanzapine long-acting inj,1 MG,2.917,,,,,,,
J2360,Orphenadrine injection,60 MG,7.778,,,,,,,
J2400,Chloroprocaine hcl injection,30 ML,19.307,,,,,,AMP-based payment limit,
J2405,Ondansetron hcl injection,1 MG,0.087,,,,,,,
J2407,"Injection, oritavancin",10 MG,23.487,,,,,,,
J2425,Palifermin injection,50 MCG,19.094,,,,,,,
J2426,Paliperidone palmitate inj,1 MG,10.382,,,,,,,
J2430,Pamidronate disodium /30 mg,30 MG,10.567,,,,,,,
J2469,Palonosetron hcl,25 MCG,20.022,,,,,,,
J2501,Paricalcitol,1 MCG,1.004,,,,,,AMP-based payment limit,
J2503,Pegaptanib sodium injection,0.3 MG,720.681,,,,,,,
J2504,"Pegademase bovine, 25 iu",25 IU,358.987,,,,,,,
J2505,"Injection, pegfilgrastim 6mg",6 MG,4500.880,,,,,,,
J2507,Pegloticase injection,1 MG,2090.024,,,,,,,
J2510,Penicillin g procaine inj,600000 UNITS,29.295,,,,,,,
J2515,Pentobarbital sodium inj,50 MG,52.018,,,,,,,
J2540,Penicillin g potassium inj,600000 UNITS,1.240,,,,,,,
J2543,Piperacillin/tazobactam,1.125 GM,2.981,,,,,,,
J2545,Pentamidine non-comp unit,300 MG,119.017,,,,,,,
J2550,Promethazine hcl injection,50 MG,1.861,,,,,,,
J2560,Phenobarbital sodium inj,120 MG,36.388,,,,,,,
J2562,Plerixafor injection,1 MG,314.438,,,,,,,
J2597,Inj desmopressin acetate,1 MCG,13.020,,,,,,,
J2675,Inj progesterone per 50 mg,50 MG,1.226,,,,,,,
J2680,Fluphenazine decanoate 25 mg,25 MG,14.811,,,,,,,
J2690,Procainamide hcl injection,1 GM,69.423,,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,1.875,,,,,,,
J2704,"Inj, propofol, 10 mg",10 MG,0.118,,,,,,,
J2720,Inj protamine sulfate/10 mg,10 MG,1.090,,,,,,AMP-based payment limit,
J2724,Protein c concentrate,10 UNITS,15.198,,,,,,,
J2765,Metoclopramide hcl injection,10 MG,0.864,,,,,,,
J2770,Quinupristin/dalfopristin,500 MG,419.199,,,,,,,
J2778,Ranibizumab injection,0.1 mg,372.926,,,,,,,
J2780,Ranitidine hydrochloride inj,25 MG,5.757,,,,,,,
J2783,Rasburicase,0.5 MG,271.291,,,,,,,
J2785,Regadenoson injection,0.1 MG,56.590,,,,,,,
J2788,Rho d immune globulin 50 mcg,50 MCG (250 IU),26.736,,,,,,,
J2790,Rho d immune globulin inj,300 MCG (1500 IU),75.390,,,,,,,
J2791,Rhophylac injection,100 IU,4.792,,,,,,,
J2792,"Rho(d) immune globulin h, sd",100 IU,24.306,,,,,,,
J2794,"Risperidone, long acting",0.5 MG,8.978,,,,,,,
J2795,Ropivacaine hcl injection,1 MG,0.070,,,,,,,
J2796,Romiplostim injection,10 MCG,68.502,,,,,,,
J2800,Methocarbamol injection,10 ML,27.396,,,,,,,
J2805,Sincalide injection,5 MCG,106.419,,,,,,,
J2810,Inj theophylline per 40 mg,40 MG,0.306,,,,,,,
J2820,Sargramostim injection,50 MCG,37.479,,,,,,,
J2916,Na ferric gluconate complex,12.5 MG,2.051,,,,,,,
J2920,Methylprednisolone injection,40 MG,4.537,,,,,,,
J2930,Methylprednisolone injection,125 MG,6.672,,,,,,,
J2997,Alteplase recombinant,1 MG,84.577,,,,,,,
J3000,Streptomycin injection,1 GM,18.333,,,,,,,
J3010,Fentanyl citrate injection,0.1 MG,0.487,,,,,,,
J3060,"Inj, taliglucerase alfa 10 u",10 UNITS,40.371,,,,,,,
J3070,Pentazocine injection,30 MG,108.385,,,,,,,
J3090,Inj tedizolid phosphate,1 MG,1.381,,,,,,,
J3095,Telavancin injection,10 MG,5.392,,,,,,,
J3101,Tenecteplase injection,1 MG,111.626,,,,,,,
J3105,Terbutaline sulfate inj,1 MG,1.358,,,,,,,
J3121,Inj testostero enanthate 1mg,1 MG,0.037,,,,,,,
J3230,Chlorpromazine hcl injection,50 MG,29.420,,,,,,,
J3240,Thyrotropin injection,0.9 MG,1598.001,,,,,,,
J3243,Tigecycline injection,1 MG,2.625,,,,,,,
J3250,Trimethobenzamide hcl inj,200 MG,29.716,,,,,,,
J3260,Tobramycin sulfate injection,80 MG,3.431,,,,,,,
J3262,Tocilizumab injection,1 MG,4.539,,,,,,,
J3285,Treprostinil injection,1 MG,61.237,,,,,,,
J3300,Triamcinolone a inj prs-free,1 MG,3.866,,,,,,,
J3301,Triamcinolone acet inj nos,10 MG,1.887,,,,,,,
J3315,Triptorelin pamoate,3.75 MG,252.734,,,,,,AMP-based payment limit,
J3357,"Ustekinumab sub cu inj, 1 mg",1 MG,184.943,,,,,,,
J3358,"Ustekinumab, iv inject,1 mg",1 MG,12.803,,,,,,,
J3360,Diazepam injection,5 MG,6.436,,,,,,,
J3370,Vancomycin hcl injection,500 MG,3.451,,,,,,,
J3380,"Injection, vedolizumab",1 MG,19.130,,,,,,,
J3385,Velaglucerase alfa,100 UNITS,345.094,,,,,,,
J3396,Verteporfin injection,0.1 MG,10.862,,,,,,,
J3410,Hydroxyzine hcl injection,25 MG,6.490,,,,,,,
J3411,Thiamine hcl 100 mg,100 MG,3.059,,,,,,,
J3415,Pyridoxine hcl 100 mg,100 MG,8.186,,,,,,,
J3420,Vitamin b12 injection,1000 MCG,1.944,,,,,,,
J3430,Vitamin k phytonadione inj,1 MG,4.088,,,,,,,
J3465,"Injection, voriconazole",10 MG,2.097,,,,,,,
J3471,"Ovine, up to 999 usp units",1 UNIT,0.389,,,,,,,
J3473,Hyaluronidase recombinant,1 USP UNIT,0.357,,,,,,,
J3475,Inj magnesium sulfate,500 MG,0.531,,,,,,,
J3480,Inj potassium chloride,2 MEQ,0.115,,,,,,,
J3485,Zidovudine,10 MG,1.514,,,,,,,
J3486,Ziprasidone mesylate,10 MG,23.098,,,,,,,
J3489,Zoledronic acid 1mg,1 MG,14.548,,,,,,,
J7030,Normal saline solution infus,1000 ML,2.192,,,,,,,
J7040,Normal saline solution infus,500 ML,1.106,,,,,,,
J7042,5% dextrose/normal saline,500 ML,1.120,,,,,,,
J7050,Normal saline solution infus,250 ML,0.547,,,,,,,
J7060,5% dextrose/water,500 ML,2.139,,,,,,,
J7070,D5w infusion,1000 CC,4.128,,,,,,,
J7120,Ringers lactate infusion,1000 CC,2.563,,,,,,,
J7180,Factor xiii anti-hem factor,1 IU,8.217,,,,,1,,
J7182,Factor viii recomb novoeight,1 IU,1.307,,,,,1,,
J7183,Wilate injection,1 I.U. VWF:RCO,1.041,,,,,1,,
J7185,Xyntha inj,1 IU,1.253,,,,,1,,
J7186,Antihemophilic viii/vwf comp,PER FACTOR VIII IU,0.991,,,,,1,,
J7187,"Humate-p, inj",1 IU,1.126,,,,,1,,
J7189,Factor viia,1 MCG,2.061,,,,,1,,
J7190,Factor viii,1 IU,1.039,,,,,1,,
J7192,Factor viii recombinant nos,1 IU,1.279,,,,,1,,
J7193,Factor ix non-recombinant,1 IU,1.128,,,,,1,,
J7194,Factor ix complex,1 IU,1.401,,,,,1,,
J7195,Factor ix recombinant nos,1 IU,1.497,,,,,1,,
J7197,Antithrombin iii injection,1 IU,3.593,,,,,,,
J7198,Anti-inhibitor,1 IU,1.988,,,,,1,,
J7200,Factor ix recombinan rixubis,1 IU,1.312,,,,,1,,
J7201,Factor ix alprolix recomb,1 IU,3.027,,,,,1,,
J7205,Factor viii fc fusion recomb,1 IU,2.049,,,,,1,,
J7308,Aminolevulinic acid hcl top,354 MG,404.591,,,,,,,
J7311,Fluocinolone acetonide implt,0.59 MG,20166.500,,,,,,,
J7312,Dexamethasone intra implant,0.1 MG,200.357,,,,,,,
J7313,Fluocinol acet intravit imp,0.01 MG,490.277,,,,,,,
J7316,"Inj, ocriplasmin, 0.125 mg",0.125 MG,1046.927,,,,,,,
J7320,"Genvisc 850, inj, 1mg",1 MG,6.442,,,,,,,
J7321,Hyalgan supartz visco-3 dose,per dose,88.646,,,,,,,
J7323,Euflexxa inj per dose,per dose,149.916,,,,,,,
J7324,Orthovisc inj per dose,per dose,149.403,,,,,,,
J7325,Synvisc or synvisc-one,1 MG,12.079,,,,,,,
J7326,Gel-one,per dose,527.870,,,,,,,
J7327,Monovisc inj per dose,Per Dose,812.553,,,,,,,
J7336,Capsaicin 8% patch,1 SQ CM,3.151,,,,,,,
J7500,Azathioprine oral 50mg,50 MG,0.340,,,,,,,
J7502,Cyclosporine oral 100 mg,100 MG,2.730,,,,,,,
J7503,Tacrol envarsus ex rel oral,0.25 MG,1.236,,,,,,,
J7504,Lymphocyte immune globulin,250 MG,1937.636,,,,,,,
J7507,Tacrolimus imme rel oral 1mg,1 MG,0.523,,,,,,,
J7508,Tacrol astagraf ex rel oral,0.1 MG,0.446,,,,,,,
J7509,Methylprednisolone oral,4 MG,0.370,,,,,,,
J7510,Prednisolone oral per 5 mg,5 MG,0.100,,,,,,,
J7511,Antithymocyte globuln rabbit,25 MG,713.842,,,,,,,
J7512,Prednisone ir or dr oral 1mg,1 MG,0.010,,,,,,,
J7515,Cyclosporine oral 25 mg,25 MG,0.762,,,,,,,
J7516,Cyclosporin parenteral 250mg,250 MG,35.682,,,,,,,
J7517,Mycophenolate mofetil oral,250 MG,0.857,,,,,,,
