Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,
,,,,,,,,,,,,
"Effective October 1, 2010 through December 31, 2010",,,,,,,,,,,,
,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q10 ASP data. ,,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,,
processing the claim.,,,,,,,,,,,,
,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
J0133,Acyclovir injection,5 MG,0.024,,,,,,,,Updated April 2011,
J0135,Adalimumab injection,20 MG,388.277,,,,,,,,,
J0150,Injection adenosine 6 MG,6 MG,9.772,,,,,,,,Updated April 2011,
J0152,Adenosine injection,30 MG,85.009,,,,,,,,,
J0170,Adrenalin epinephrin inject,1 ML,0.757,,,,,,,,,
J0180,Agalsidase beta injection,1 MG,136.184,,,,,,,,,
J0205,Alglucerase injection,10 UNITS,41.975,,,,,,,,,
J0207,Amifostine,500 MG,318.663,,,,,,,,,
J0210,Methyldopate hcl injection,250 MG,40.222,,,,,,,,,
J0215,Alefacept,0.5 MG,33.364,,,,,,,,,
J0220,Alglucosidase alfa injection,10 MG,135.195,,,,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,3.757,,,,,,,,,
J0270,Alprostadil for injection,1.25 MCG,1.728,,,,,,,,,
J0275,Alprostadil urethral suppos,125 MCG,25.421,,,,,,,,,
J0278,Amikacin sulfate injection,100 MG,0.618,,,,,,,,,
J0280,Aminophyllin 250 MG inj,250 MG,0.381,,,,,,,,,
J0282,Amiodarone HCl,30 MG,0.249,,,,,,,,Updated April 2011,
J0285,Amphotericin B,50 MG,12.360,,,95,10.280,,,,,
J0287,Amphotericin b lipid complex,10 MG,9.824,,,95,21.850,,,,,
J0288,Ampho b cholesteryl sulfate,10 MG,12.000,,,95,15.200,,,,,
J0289,Amphotericin b liposome inj,10 MG,15.673,,,95,35.800,,,,,
J0290,Ampicillin 500 MG inj,500 MG,1.525,,,,,,,,Updated April 2011,
J0295,Ampicillin sodium per 1.5 gm,1.5 GM,2.299,,,,,,,,Updated April 2011,
J0330,Succinycholine chloride inj,20 MG,0.172,,,,,,,,Updated January 2011,
J0348,Anidulafungin injection,1 MG,1.144,,,,,,,,,
J0360,Hydralazine hcl injection,20 MG,4.486,,,,,,,,Updated April 2011,
J0364,Apomorphine hydrochloride,1 MG,4.469,,,,,,,,,
J0365,"Aprotonin, 10,000 kiu",10000 KIU,2.646,,,,,,,,,
J0400,Aripiprazole injection,0.25 MG,0.354,,,,,,,,,
J0456,Azithromycin,500 MG,3.869,,,,,,,,Updated April 2011,
J0461,Atropine sulfate injection,0.01 MG,0.018,,,,,,,,Revised dosage descriptor,
J0470,Dimecaprol injection,100 MG,28.026,,,,,,,,,
J0475,Baclofen 10 MG injection,10 MG,203.925,,,95,215.180,,,,,
J0476,Baclofen intrathecal trial,50 MCG,73.151,,,95,79.800,,,,,
J0480,Basiliximab,20 MG,2036.726,,,,,,,,,
J0500,Dicyclomine injection,20 MG,21.147,,,,,,,,,
J0515,Inj benztropine mesylate,1 MG,58.797,,,,,,,,,
J0559,PenG benzathine/procaine inj, 2500 UNITS,0.081,,,,,,,,,
J0560,Penicillin g benzathine inj,600000 UNITS,27.865,,,,,,,,,
J0570,Penicillin g benzathine inj,1200000 UNITS,47.911,,,,,,,,,
J0580,Penicillin g benzathine inj,2400000 UNITS,98.761,,,,,,,,,
J0583,Bivalirudin,1 MG,2.548,,,,,,,,,
J0585,"Injection,onabotulinumtoxinA",1 UNIT,5.487,,,,,,,,,
J0586,AbobotulinumtoxinA,5 Unit,7.694,,,,,,,,,
J0587,"Inj, rimabotulinumtoxinB",100 UNITS,10.579,,,,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,1.072,,,,,,,,,
J0594,Busulfan injection,1 MG,16.603,,,,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,1.100,,,,,,,,,
J0598,C1 esterase inhibitor inj,10 IU,42.746,,,,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,196.715,,,,,,,,,
J0610,Calcium gluconate injection,10 ML,0.324,,,,,,,,Updated April 2011,
J0630,Calcitonin salmon injection,400 UNITS,51.951,,,,,,,,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.483,,,,,,,,Updated April 2011,
J0637,Caspofungin acetate,5 MG,12.103,,,,,,,,,
J0640,Leucovorin calcium injection,50 MG,1.048,,,,,,,,,
J0641,Levoleucovorin injection,0.5 MG,1.143,,,,,,,,,
J0670,Inj mepivacaine HCL/10 ml,10 ML,1.865,,,,,,,,Updated April 2011,
J0690,Cefazolin sodium injection,500 MG,0.647,,,,,,,,Updated October 2011,
J0692,Cefepime HCl for injection,500 MG,2.603,,,,,,,,Updated April 2011,
J0694,Cefoxitin sodium injection,1 GM,5.874,,,,,,,,Updated April 2011,
J0696,Ceftriaxone sodium injection,250 MG,1.035,,,,,,,,Updated April 2011,
J0697,Sterile cefuroxime injection,750 MG,3.511,,,,,,,,Updated October 2011,
J0698,Cefotaxime sodium injection,1 GM,4.436,,,,,,,,Updated April 2011,
J0702,Betamethasone acet&sod phosp,3 MG,6.235,,,,,,,,,
J0704,Betamethasone sod phosp/4 MG,4 MG,1.133,,,,,,,,,
J0706,Caffeine citrate injection,5 MG,0.461,,,,,,,,Updated April 2011,
J0713,Inj ceftazidime per 500 mg,500 MG,2.164,,,,,,,,Updated January 2011,
J0718,Certolizumab pegol inj,1 MG,3.963,,,,,,,,,
J0720,Chloramphenicol sodium injec,1 GM,16.018,,,,,,,,Updated April 2011,
J0725,Chorionic gonadotropin/1000u,1000 UNITS,8.997,,,,,,,,Updated April 2011,
J0735,Clonidine hydrochloride,1 MG,24.750,,,,,,,,,
J0740,Cidofovir injection,375 MG,761.186,,,,,,,,,
J0743,Cilastatin sodium injection,250 MG,11.744,,,,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.191,,,,,,,,Updated January 2011,
J0745,Inj codeine phosphate /30 MG,30 MG,1.102,,,,,,,,,
J0760,Colchicine injection,1 MG,6.572,,,,,,,,,
J0770,Colistimethate sodium inj,150 MG,14.372,,,,,,,,Updated April 2011,
J0780,Prochlorperazine injection,10 MG,1.869,,,,,,,,,
J0795,Corticorelin ovine triflutal,1 MCG,4.816,,,,,,,,,
J0800,Corticotropin injection,40 UNITS,2441.327,,,,,,,,,
J0833,Cosyntropin injection NOS,0.25 MG,52.303,,,,,,,,Updated January 2011,
J0834,Cosyntropin cortrosyn inj,0.25 MG,83.092,,,,,,,,,
J0850,Cytomegalovirus imm IV /vial,PER VIAL,878.825,,,,,,,,,
J0878,Daptomycin injection,1 MG,0.453,,,,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,2.899,,,,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,2.899,,,,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,9.682,,,,,,,,,
J0886,Epoetin alfa 1000 units ESRD,1000 UNITS,9.682,,,,,,,,,
J0894,Decitabine injection,1 MG,30.742,,,,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,11.914,,,95,15.630,,,,Updated April 2011,
J0970,Estradiol valerate injection,40 MG,24.606,,,,,,,,Updated January 2011,
J1000,Depo-estradiol cypionate inj,5 MG,6.829,,,,,,,,,
J1020,Methylprednisolone 20 MG inj,20 MG,2.477,,,,,,,,,
J1030,Methylprednisolone 40 MG inj,40 MG,4.718,,,,,,,,,
J1040,Methylprednisolone 80 MG inj,80 MG,8.594,,,,,,,,,
J1051,Medroxyprogesterone inj,50 MG,8.121,,,,,,,,,
J1070,Testosterone cypionat 100 MG,100 MG,3.604,,,,,,,,Updated January 2011,
J1080,Testosterone cypionat 200 MG,200 MG,5.544,,,,,,,,Updated January 2011,
J1094,Inj dexamethasone acetate,1 MG,0.230,,,,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.093,,,,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,22.645,,,,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,27.858,,,,,,,,,
J1160,Digoxin injection,0.5 MG,1.220,,,,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,505.677,,,,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.708,,,,,,,,,
J1170,Hydromorphone injection,4 MG,1.875,,,95,1.490,,,,,
J1190,Dexrazoxane HCl injection,250 MG,209.197,,,,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.723,,,,,,,,Updated April 2011,
J1205,Chlorothiazide sodium inj,500 MG,436.943,,,,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ML,50 ML,71.126,,,,,,,,,
J1230,Methadone injection,10 MG,5.947,,,95,0.750,,,,,
J1240,Dimenhydrinate injection,50 MG,3.479,,,,,,,,Updated April 2011,
J1245,Dipyridamole injection,10 MG,1.100,,,,,,,,,
J1250,Inj dobutamine HCL/250 mg,250 MG,5.919,,,95,4.740,,,,,
J1260,Dolasetron mesylate,10 MG,4.307,,,,,,,,,
J1265,Dopamine injection,40 MG,0.493,,,,,,,,,
J1267,Doripenem injection,10 MG,0.549,,,,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,3.136,,,,,,,,,
J1300,Eculizumab injection,10 MG,185.500,,,,,,,,,
J1325,Epoprostenol injection,0.5 MG,13.980,,,95,12.640,,,,,
J1327,Eptifibatide injection,5 MG,20.104,,,,,,,,,
J1335,Ertapenem injection,500 MG,27.697,,,,,,,,,
J1364,Erythro lactobionate /500 MG,500 MG,8.754,,,,,,,,,
J1380,Estradiol valerate 10 MG inj,10 MG,7.957,,,,,,,,Updated January 2011,
J1390,Estradiol valerate 20 MG inj,20 MG,15.915,,,,,,,,Updated January 2011,
J1410,Inj estrogen conjugate 25 MG,25 MG,93.089,,,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,149.969,,,,,,,,,
J1438,Etanercept injection,25 MG,200.330,,,,,,,,,
J1440,Filgrastim 300 mcg injection,300 MCG,233.427,,,,,,,,,
J1441,Filgrastim 480 mcg injection,480 MCG,366.809,,,,,,,,,
J1450,Fluconazole,200 MG,5.686,,,,,,,,,
J1451,"Fomepizole, 15 mg",15 MG,7.281,,,,,,,,Updated January 2011,
J1453,Fosaprepitant injection,1 MG,1.685,,,,,,,,,
J1455,Foscarnet sodium injection,1000 MG,10.496,,,95,13.070,,,,,
J1457,Gallium nitrate injection,1 MG,2.027,,,,,,,,,
J1458,Galsulfase injection,1 MG,336.855,,,,,,,,,
J1459,Inj IVIG privigen 500 mg,500 MG,35.089,,,,,,,,,
J1460,Gamma globulin 1 CC inj,1 CC,18.884,,,,,,,,,
J1470,Gamma globulin 2 CC inj,2 CC,37.768,,,,,,,,,
J1480,Gamma globulin 3 CC inj,3CC,56.630,,,,,,,,,
J1490,Gamma globulin 4 CC inj,4 CC,75.536,,,,,,,,,
J1500,Gamma globulin 5 CC inj,5 CC,94.420,,,,,,,,,
J1510,Gamma globulin 6 CC inj,6 CC,113.392,,,,,,,,,
J1520,Gamma globulin 7 CC inj,7 CC,132.072,,,,,,,,,
J1530,Gamma globulin 8 CC inj,8 CC,151.072,,,,,,,,,
J1540,Gamma globulin 9 CC inj,9 CC,170.098,,,,,,,,,
J1550,Gamma globulin 10 CC inj,10 CC,188.839,,,,,,,,,
J1560,Gamma globulin > 10 CC inj,10 CC,188.839,,,,,,,,,
J1561,Gamunex injection,500 MG,37.646,,,,,,,,,
J1562,"Vivaglobin, inj",100 MG,7.165,,,,,,,,,
J1566,"Immune globulin, powder",500 MG,29.401,,,,,,,,,
J1568,Octagam injection,500 MG,36.770,,,,,,,,,
J1569,Gammagard liquid injection,500 MG,38.496,,,,,,,,,
J1570,Ganciclovir sodium injection,500 MG,53.679,,,95,35.250,,,,,
J1571,Hepagam b im injection,0.5 ML,50.914,,,,,,,,,
J1572,Flebogamma injection,500 MG,36.134,,,,,,,,,
J1573,"Hepagam b intravenous, inj",0.5 ML,50.914,,,,,,,,,
J1580,Garamycin gentamicin inj,80 MG,0.951,,,,,,,,Updated April 2011,
J1600,Gold sodium thiomaleate inj,50 MG,12.480,,,,,,,,,
J1610,Glucagon hydrochloride/1 MG,1 MG,85.926,,,,,,,,,
J1626,Granisetron hcl injection,100 MCG,2.034,,,,,,,,Updated April 2011,
J1630,Haloperidol injection,5 MG,1.389,,,,,,,,Updated April 2011,
J1631,Haloperidol decanoate inj,50 MG,12.975,,,,,,,,Updated April 2011,
J1640,"Hemin, 1 mg",1 MG,8.495,,,,,,,,,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.169,,,,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.323,,,,,,,,Updated April 2011,
J1645,Dalteparin sodium,2500 IU,12.039,,,,,,,,,
J1650,Inj enoxaparin sodium,10 MG,6.731,,,,,,,,,
J1652,Fondaparinux sodium,0.5 MG,6.266,,,,,,,,,
J1655,Tinzaparin sodium injection,1000 IU,2.817,,,,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,232.288,,,,,,,,,
J1720,Hydrocortisone sodium succ i,100 MG,3.424,,,,,,,,,
J1740,Ibandronate sodium injection,1 MG,144.181,,,,,,,,,
J1742,Ibutilide fumarate injection,1 MG,190.215,,,,,,,,,
J1743,Idursulfase injection,1 MG,455.030,,,,,,,,,
J1745,Infliximab injection,10 MG,60.530,,,,,,,,,
J1750,Inj iron dextran,50 MG,11.997,,,,,,,,,
J1756,Iron sucrose injection,1 MG,0.362,,,,,,,,,
J1785,Injection imiglucerase /unit,1 UNIT,4.198,,,,,,,,,
J1790,Droperidol injection,5 MG,2.152,,,,,,,,,
J1800,Propranolol injection,1 MG,2.869,,,,,,,,Updated April 2011,
J1815,Insulin injection,5 UNITS,0.449,,,,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,2.295,,,95,2.800,,,,,
J1835,Itraconazole injection,50 MG,42.281,,,,,,,,,
J1840,Kanamycin sulfate 500 MG inj,500 MG,7.685,,,,,,,,,
J1850,Kanamycin sulfate 75 MG inj,75 MG,1.153,,,,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.301,,,,,,,,Updated April 2011,
J1930,Lanreotide injection,1 MG,30.036,,,,,,,,,
J1931,Laronidase injection,0.1 MG,25.553,,,,,,,,,
J1940,Furosemide injection,20 MG,0.971,,,,,,,,Updated April 2011,
J1945,Lepirudin,50 MG,280.310,,,,,,,,,
J1950,Leuprolide acetate /3.75 MG,3.75 MG,525.442,,,,,,,,,
J1953,Levetiracetam injection,10 MG,0.544,,,,,,,,,
J1955,Inj levocarnitine per 1 gm,1 GM,4.997,,,,,,,,,
J1956,Levofloxacin injection,250 MG,6.117,,,,,,,,,
J1980,Hyoscyamine sulfate inj,0.25 MG,9.947,,,,,,,,,
J2001,Lidocaine injection,10 MG,0.019,,,,,,,,,
J2010,Lincomycin injection,300 MG,5.206,,,,,,,,,
J2020,Linezolid injection,200 MG,33.364,,,,,,,,,
J2060,Lorazepam injection,2 MG,0.701,,,,,,,,,
J2150,Mannitol injection,50 ML,0.941,,,,,,,,Updated April 2011,
J2175,Meperidine hydrochl /100 MG,100 MG,1.667,,,95,0.560,,,,,
J2185,Meropenem,100 MG,4.086,,,,,,,,,
J2210,Methylergonovin maleate inj,0.2 MG,5.681,,,,,,,,,
J2248,Micafungin sodium injection,1 MG,1.070,,,,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.090,,,,,,,,Updated April 2011,
J2260,Inj milrinone lactate / 5 MG,5 MG,3.682,,,95,51.580,,,,Updated April 2011,
J2270,Morphine sulfate injection,10 MG,1.726,,,95,0.710,,,,,
J2271,Morphine so4 injection 100mg,100 MG,0.926,,,95,11.070,,,,,
J2275,Morphine sulfate injection,10 MG,2.504,,,95,4.390,,,,Updated April 2011,
J2278,Ziconotide injection,1 MCG,6.605,,,,,,,,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,2.845,,,,,,,,,
J2300,Inj nalbuphine hydrochloride,10 MG,0.969,,,,,,,,,
J2310,Inj naloxone hydrochloride,1 MG,6.401,,,,,,,,,
J2315,"Naltrexone, depot form",1 MG,2.383,,,,,,,,,
J2323,Natalizumab injection,1 MG,8.762,,,,,,,,,
J2325,Nesiritide injection,0.1 MG,40.275,,,,,,,,,
J2353,"Octreotide injection, depot",1 MG,112.044,,,,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,1.366,,,,,,,,Updated April 2011,
J2355,Oprelvekin injection,5 MG,244.595,,,,,,,,,
J2357,Omalizumab injection,5 MG,20.386,,,,,,,,,
J2360,Orphenadrine injection,60 MG,6.254,,,,,,,,,
J2370,Phenylephrine hcl injection,1 ML,0.790,,,,,,,,Updated January 2011,
J2400,Chloroprocaine hcl injection,30 ML,13.680,,,,,,,,Updated April 2011,
J2405,Ondansetron hcl injection,1 MG,0.167,,,,,,,,Updated January 2011,
J2410,Oxymorphone hcl injection,1 MG,2.307,,,,,,,,,
J2425,Palifermin injection,50 MCG,11.353,,,,,,,,,
J2430,Pamidronate disodium /30 MG,30 MG,12.037,,,,,,,,Updated April 2011,
J2440,Papaverin hcl injection,60 MG,0.736,,,,,,,,,
J2469,Palonosetron hcl,25 MCG,18.407,,,,,,,,,
J2501,Paricalcitol,1 MCG,3.421,,,,,,,,,
J2503,Pegaptanib sodium injection,0.3 MG,1020.769,,,,,,,,,
J2504,"Pegademase bovine, 25 iu",25 IU,247.333,,,,,,,,,
J2505,"Injection, pegfilgrastim 6mg",6 MG,2465.210,,,,,,,,,
J2510,Penicillin g procaine inj,600000 UNITS,11.696,,,,,,,,,
J2515,Pentobarbital sodium inj,50 MG,14.836,,,,,,,,,
J2540,Penicillin g potassium inj,600000 UNITS,0.680,,,,,,,,Updated January 2011,
J2543,Piperacillin/tazobactam,1.125 GM,5.582,,,,,,,,,
J2545,Pentamidine non-comp unit,300 MG,50.297,,,,,,,,Updated April 2011,
J2550,Promethazine hcl injection,50 MG,1.855,,,,,,,,,
J2560,Phenobarbital sodium inj,120 MG,3.162,,,,,,,,,
J2562,Plerixafor injection,1 MG,281.667,,,,,,,,,
J2590,Oxytocin injection,10 UNITS,0.758,,,,,,,,Updated April 2011,
J2597,Inj desmopressin acetate,1 MCG,2.158,,,,,,,,,
J2650,Prednisolone acetate inj,1 ML,0.520,,,,,,,,,
J2675,Inj progesterone per 50 MG,50 MG,1.382,,,,,,,,Updated April 2011,
J2680,Fluphenazine decanoate 25 MG,25 MG,8.094,,,,,,,,Updated April 2011,
J2690,Procainamide hcl injection,1 GM,6.187,,,,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,1.739,,,,,,,,Updated January 2011,
J2710,Neostigmine methylslfte inj,0.5 MG,0.093,,,,,,,,Updated April 2011,
J2720,Inj protamine sulfate/10 MG,10 MG,0.503,,,,,,,,Updated April 2011,
J2724,Protein c concentrate,10 UNITS,12.552,,,,,,,,,
J2730,Pralidoxime chloride inj,1 GM,90.672,,,,,,,,,
J2760,Phentolaine mesylate inj,5 MG,54.325,,,,,,,,,
J2765,Metoclopramide hcl injection,10 MG,0.346,,,,,,,,,
J2770,Quinupristin/dalfopristin,500 MG,159.869,,,,,,,,,
J2778,Ranibizumab injection,0.1 mg,405.208,,,,,,,,,
J2780,Ranitidine hydrochloride inj,25 MG,0.961,,,,,,,,,
J2783,Rasburicase,0.5 MG,179.263,,,,,,,,,
J2785,Regadenoson injection,0.1 MG,51.285,,,,,,,,,
J2788,Rho d immune globulin 50 mcg,50 MCG (250 IU),22.661,,,,,,,,,
J2790,Rho d immune globulin inj,300 MCG (1500 IU),84.331,,,,,,,,,
J2791,Rhophylac injection,100 IU,5.180,,,,,,,,,
J2792,"Rho(D) immune globulin h, sd",100 IU,17.413,,,,,,,,,
J2794,"Risperidone, long acting",0.5 MG,5.048,,,,,,,,,
J2795,Ropivacaine HCl injection,1 MG,0.068,,,,,,,,Updated April 2011,
J2796,Romiplostim injection,10 MCG,45.134,,,,,,,,,
J2800,Methocarbamol injection,10 ML,28.079,,,,,,,,,
J2805,Sincalide injection,5 MCG,72.639,,,,,,,,,
J2810,Inj theophylline per 40 MG,40 MG,0.033,,,,,,,,,
J2820,Sargramostim injection,50 MCG,23.876,,,,,,,,,
J2850,Inj secretin synthetic human,1 MCG,27.494,,,,,,,,,
J2916,Na ferric gluconate complex,12.5 MG,5.246,,,,,,,,,
J2920,Methylprednisolone injection,40 MG,1.845,,,,,,,,Updated April 2011,
J2930,Methylprednisolone injection,125 MG,2.474,,,,,,,,Updated April 2011,
J2993,Reteplase injection,18.1 MG,1312.496,,,,,,,,,
J2997,Alteplase recombinant,1 MG,38.708,,,,,,,,,
J3000,Streptomycin injection,1 GM,9.173,,,,,,,,,
J3010,Fentanyl citrate injeciton,0.1 MG,0.304,,,95,0.700,,,,,
J3030,Sumatriptan succinate / 6 MG,6 MG,46.586,,,,,,,,Updated January 2011,
J3070,Pentazocine injection,30 MG,8.677,,,,,,,,,
J3101,Tenecteplase injection,1 MG,47.631,,,,,,,,,
J3105,Terbutaline sulfate inj,1 MG,1.131,,,,,,,,Updated April 2011,
J3120,Testosterone enanthate inj,100 MG,3.739,,,,,,,,,
J3130,Testosterone enanthate inj,200 MG,9.767,,,,,,,,,
J3230,Chlorpromazine hcl injection,50 MG,9.093,,,,,,,,,
J3240,Thyrotropin injection,0.9 MG,1053.052,,,,,,,,,
J3243,Tigecycline injection,1 MG,1.245,,,,,,,,,
J3246,Tirofiban HCl,0.25 MG,8.039,,,,,,,,,
J3250,Trimethobenzamide hcl inj,200 MG,4.489,,,,,,,,,
J3260,Tobramycin sulfate injection,80 MG,2.221,,,,,,,,Updated April 2011,
J3285,Treprostinil injection,1 MG,60.491,,,,,,,,,
J3300,Triamcinolone A inj PRS-free,1 MG,3.225,,,,,,,,,
J3301,Triamcinolone acet inj NOS,10 MG,1.552,,,,,,,,,
J3302,Triamcinolone diacetate inj,5 MG,0.280,,,,,,,,,
J3303,Triamcinolone hexacetonl inj,5 MG,1.298,,,,,,,,Updated January 2011,
J3315,Triptorelin pamoate,3.75 MG,181.933,,,,,,,,,
J3355,"Urofollitropin, 75 iu",75 IU,59.843,,,,,,,,,
J3360,Diazepam injection,5 MG,1.117,,,,,,,,,
J3365,"Urokinase 250,000 IU inj",250000 IU,457.729,,,,,,,,,
J3370,Vancomycin hcl injection,500 MG,3.207,,,,,,,,Updated April 2011,
J3396,Verteporfin injection,0.1 MG,9.576,,,,,,,,,
J3410,Hydroxyzine hcl injection,25 MG,1.442,,,,,,,,,
J3411,Thiamine hcl 100 mg,100 MG,2.856,,,,,,,,Updated April 2011,
J3415,Pyridoxine hcl 100 mg,100 MG,6.092,,,,,,,,Updated April 2011,
J3420,Vitamin b12 injection,1000 MCG,0.287,,,,,,,,Updated April 2011,
J3430,Vitamin k phytonadione inj,1 MG,1.829,,,,,,,,,
J3465,"Injection, voriconazole",10 MG,5.934,,,,,,,,,
J3470,Hyaluronidase injection,150 UNITS,21.200,,,,,,,,,
J3471,"Ovine, up to 999 USP units",1 USP UNIT,0.167,,,,,,,,,
J3472,"Ovine, 1000 USP units",1000 USP UNITS,137.800,,,,,,,,,
J3473,Hyaluronidase recombinant,1 USP UNIT,0.619,,,,,,,,,
J3475,Inj magnesium sulfate,500 MG,0.055,,,,,,,,Updated April 2011,
J3480,Inj potassium chloride,2 MEQ,0.015,,,,,,,,,
J3485,Zidovudine,10 MG,1.385,,,,,,,,,
J3486,Ziprasidone mesylate,10 MG,6.481,,,,,,,,,
J3487,Zoledronic acid,1 MG,223.096,,,,,,,,,
