Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective October 1, 2009 through December 31, 2009",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q09 ASP data. ,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,
processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
90705,"Measles vaccine, sc",0.5 ML,17.427,,,,,,,,
90706,"Rubella vaccine, sc",0.5 ML,19.505,,,,,,,,
90707,"Mmr vaccine, sc",0.5 ML,47.049,,,,,,,,
90713,"Poliovirus, ipv, sc/im",0.5 ML,27.709,,,,,,,,
90714,"Td vaccine no prsrv >/= 7 yo, im",0.5 ML,20.037,,,,,,,,
90715,"Tdap => 7 yo, im",0.5 ML,33.659,,,,,,,,
90716,"Chicken pox vaccine, sc",0.5 ML,81.632,,,,,,,,
90717,"Yellow fever vaccine, sc",0.5 ML,59.486,,,,,,,,
90718,"Td vaccine >/= 7 yo, im",0.5 ML,20.375,,,,,,,,
90721,"Dtap/hib vaccine, im",1 EACH,44.88,,,,,,,,
90732,Pneumococcal vaccine,0.5 ML,37.607,95,37.607,,,,,,
90733,"Meningococcal vaccine, sc",0.5 ML,98.523,,,,,,,,
90735,"Encephalitis vaccine, sc",1 ML,102.078,,,,,,,,
90740,"Hepb vacc, ill pat 3 dose im",40 MCG,119.415,95,119.415,,,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,24.216,95,24.216,,,,,,
90744,Hepb vacc ped/adol 3 dose im,1 DOSE,24.216,95,24.216,,,,,,
90746,"Hep b vaccine, adult, im",20 MCG,59.708,95,59.708,,,,,,
90747,"Hepb vacc, ill pat 4 dose im",40 MCG,119.415,95,119.415,,,,,,
A9576,Inj Prohance Multipack,1 ML,2.353,,,,,,,,
A9577,Inj Multihance,1 ML,2.63,,,,,,,,
A9578,Inj Multihance Multipack,1 ML,2.634,,,,,,,,
A9579,Gad-base MR contrast NOS,1 ML,2.325,,,,,,,,
J0129,"Abatacept, inj",10 MG,19.347,,,,,,,,
J0130,Abciximab injection,10 MG,468.191,,,,,,,,
J0132,Acetylcysteine injection,100 MG,2.334,,,,,,,,
J0133,Acyclovir injection,5 MG,0.045,,,,,,,,
J0135,Adalimumab injection,20 MG,364.406,,,,,,,,
J0150,Injection adenosine 6 MG,6 MG,9.68,,,,,,,,
J0152,Adenosine injection,30 MG,77.888,,,,,,,,
J0170,Adrenalin epinephrin inject,1 ML,0.759,,,,,,,,
J0180,Agalsidase beta injection,1 MG,136.258,,,,,,,,
J0205,Alglucerase injection,10 UNITS,41.987,,,,,,,,
J0207,Amifostine,500 MG,356.806,,,,,,,,
J0210,Methyldopate hcl injection,250 MG,28.158,,,,,,,,
J0215,Alefacept,0.5 MG,30.602,,,,,,,,
J0220,Alglucosidase alfa inj,10 MG,127.086,,,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,3.697,,,,,,,,
J0270,Alprostadil for injection,1.25 MCG,0.221,,,,,,,,
J0275,Alprostadil urethral suppos,125 MCG,24.881,,,,,,,,
J0278,Amikacin sulfate injection,100 MG,0.564,,,,,,,,
J0280,Aminophyllin 250 MG inj,250 MG,0.403,,,,,,,,
J0282,Amiodarone HCl,30 MG,0.424,,,,,,,,
J0285,Amphotericin B,50 MG,12.434,,,95,10.28,,,,
J0287,Amphotericin b lipid complex,10 MG,9.845,,,95,21.85,,,,
J0288,Ampho b cholesteryl sulfate,10 MG,14,,,95,15.2,,,,
J0289,Amphotericin b liposome inj,10 MG,15.243,,,95,35.8,,,,
J0290,Ampicillin 500 MG inj,500 MG,2.023,,,,,,,,
J0295,Ampicillin sodium per 1.5 gm,1.5 GM,2.551,,,,,,,,
J0330,Succinycholine chloride inj,20 MG,0.128,,,,,,,,
J0348,Anidulafungin injection,1 MG,1.23,,,,,,,,
J0360,Hydralazine hcl injection,20 MG,4.973,,,,,,,,
J0364,"Apomorphine hcl, inj",1 MG,4.247,,,,,,,,
J0365,"Aprotonin, 10,000 kiu",10000 KIU,2.646,,,,,,,,
J0400,Aripiprazole IM inj,0.25 MG,0.314,,,,,,,,
J0456,Azithromycin,500 MG,6.714,,,,,,,,
J0460,Atropine sulfate injection,0.3 MG,0.514,,,,,,,,
J0470,Dimecaprol injection,100 MG,27.329,,,,,,,,
J0475,Baclofen 10 MG injection,10 MG,199.07,,,95,215.18,,,,
J0476,Baclofen intrathecal trial,50 MCG,72.61,,,95,79.8,,,,
J0480,Basiliximab,20 MG,1655.676,,,,,,,,
J0500,Dicyclomine injection,20 MG,17.289,,,,,,,,
J0515,Inj benztropine mesylate,1 MG,33.455,,,,,,,,
J0540,Penicillin g benzathine inj,1200000 UNITS,35.458,,,,,,,,
J0550,Penicillin g benzathine inj,2400000 UNITS,35.458,,,,,,,,
J0560,Penicillin g benzathine inj,600000 UNITS,25.577,,,,,,,,
J0570,Penicillin g benzathine inj,1200000 UNITS,44.517,,,,,,,,
J0580,Penicillin g benzathine inj,2400000 UNITS,91.527,,,,,,,,Updated October 2010
J0583,Bivalirudin,1 MG,2.442,,,,,,,,
J0585,Botulinum toxin a per unit,1 UNIT,5.506,,,,,,,,
J0587,Botulinum toxin type B,100 UNITS,10.579,,,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,0.719,,,,,,,,
J0594,"Busulfan, inj",1 MG,14.448,,,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,0.938,,,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,80.376,,,,,,,,
J0610,Calcium gluconate injection,10 ML,0.297,,,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,49.301,,,,,,,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.43,,,,,,,,
J0637,Caspofungin acetate,5 MG,11.743,,,,,,,,
J0640,Leucovorin calcium injection,50 MG,1.006,,,,,,,,
J0641,Levoleucovorin injection,0.5 MG,0.992,,,,,,,,
J0670,Inj mepivacaine HCL/10 ml,10 ML,1.736,,,,,,,,
J0690,Cefazolin sodium injection,500 MG,0.613,,,,,,,,
J0692,Cefepime HCl for injection,500 MG,3.782,,,,,,,,Updated January 2010
J0694,Cefoxitin sodium injection,1 GM,6.218,,,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.991,,,,,,,,Updated October 2010
J0697,Sterile cefuroxime injection,750 MG,3.129,,,,,,,,
J0698,Cefotaxime sodium injection,1 GM,4.146,,,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG and 3 MG,6.555,,,,,,,,
J0704,Betamethasone sod phosp/4 MG,4 MG,1.133,,,,,,,,
J0706,Caffeine citrate injection,5 MG,0.656,,,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,2.432,,,,,,,,
J0720,Chloramphenicol sodium injec,1 GM,15.768,,,,,,,,
J0725,Chorionic gonadotropin/1000u,1000 UNITS,4.049,,,,,,,,
J0735,Clonidine hydrochloride,1 MG,111.86,,,,,,,,
J0740,Cidofovir injection,375 MG,760.815,,,,,,,,
J0743,Cilastatin sodium injection,250 MG,12.307,,,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.264,,,,,,,,
J0745,Inj codeine phosphate /30 MG,30 MG,1.481,,,,,,,,
J0760,Colchicine injection,1 MG,6.572,,,,,,,,
J0770,Colistimethate sodium inj,150 MG,15.616,,,,,,,,
J0780,Prochlorperazine injection,10 MG,2.108,,,,,,,,
J0795,Corticorelin ovine triflutal,1 MCG,4.325,,,,,,,,
J0800,Corticotropin injection,40 UNITS,2440.982,,,,,,,,
J0835,Inj cosyntropin per 0.25 MG,0.25 MG,93.602,,,,,,,,
J0850,Cytomegalovirus imm IV /vial,PER VIAL,878.825,,,,,,,,
J0878,Daptomycin injection,1 MG,0.403,,,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,2.812,,,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,2.812,,,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,9.583,,,,,,,,
J0886,"Epoetin alfa, esrd on dialysis",1000 UNITS,9.583,,,,,,,,
J0894,"Decitabine, inj",1 MG,28.967,,,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,10.628,,,95,15.63,,,,
J0970,Estradiol valerate injection,40 MG,24.178,,,,,,,,
J1000,Depo-estradiol cypionate inj,5 MG,6.748,,,,,,,,
J1020,Methylprednisolone 20 MG inj,20 MG,1.739,,,,,,,,
J1030,Methylprednisolone 40 MG inj,40 MG,3.793,,,,,,,,
J1040,Methylprednisolone 80 MG inj,80 MG,7.273,,,,,,,,
J1051,Medroxyprogesterone inj,50 MG,7.548,,,,,,,,
J1070,Testosterone cypionat 100 MG,100 MG,3.705,,,,,,,,
J1080,Testosterone cypionat 200 MG,200 MG,4.592,,,,,,,,
J1094,Inj dexamethasone acetate,1 MG,0.23,,,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.088,,,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,21.204,,,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,35.038,,,,,,,,
J1160,Digoxin injection,0.5 MG,1.217,,,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,483.862,,,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.692,,,,,,,,
J1170,Hydromorphone injection,4 MG,1.617,,,95,1.49,,,,
J1190,Dexrazoxane HCl injection,250 MG,346.569,,,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.857,,,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,297.637,,,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ML,50 ML,68.762,,,,,,,,
J1230,Methadone injection,10 MG,5.523,,,95,0.75,,,,
J1240,Dimenhydrinate injection,50 MG,3.452,,,,,,,,
J1245,Dipyridamole injection,10 MG,0.968,,,,,,,,
J1250,Inj dobutamine HCL/250 mg,250 MG,5.748,,,95,4.74,,,,
J1260,Dolasetron mesylate,10 MG,4.408,,,,,,,,
J1265,Dopamine injection,40 MG,0.496,,,,,,,,
J1267,Doripenem injection,10 MG,0.567,,,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,3.057,,,,,,,,
J1300,Eculizumab inj,10 MG,180.977,,,,,,,,
J1325,Epoprostenol injection,0.5 MG,14.023,,,95,12.64,,,,
J1327,Eptifibatide injection,5 MG,18.931,,,,,,,,
J1335,Ertapenem injection,500 MG,26.108,,,,,,,,
J1364,Erythro lactobionate /500 MG,500 MG,7.572,,,,,,,,
J1380,Estradiol valerate 10 MG inj,10 MG,9.709,,,,,,,,
J1390,Estradiol valerate 20 MG inj,20 MG,19.419,,,,,,,,
J1410,Inj estrogen conjugate 25 MG,25 MG,84.811,,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,149.969,,,,,,,,
J1438,Etanercept injection,25 MG,187.146,,,,,,,,
J1440,Filgrastim 300 mcg injection,300 MCG,212.548,,,,,,,,
J1441,Filgrastim 480 mcg injection,480 MCG,330.684,,,,,,,,
J1450,Fluconazole,200 MG,6.404,,,,,,,,
J1451,"Fomepizole, 15 mg",15 MG,8.146,,,,,,,,
J1453,Fosaprepitant injection,1 MG,1.578,,,,,,,,
J1455,Foscarnet sodium injection,1000 MG,10.047,,,95,13.07,,,,
J1457,Gallium nitrate injection,1 MG,1.744,,,,,,,,
J1458,"Galsulfase, inj",1 MG,339.908,,,,,,,,Updated January 2010
J1459,Privigen Injection,500 MG,35.052,,,,,,,,
J1460,Gamma globulin 1 CC inj,1 CC,15.339,,,,,,,,
J1470,Gamma globulin 2 CC inj,2 CC,30.678,,,,,,,,
J1480,Gamma globulin 3 CC inj,3CC,46.004,,,,,,,,
J1490,Gamma globulin 4 CC inj,4 CC,61.356,,,,,,,,
J1500,Gamma globulin 5 CC inj,5 CC,76.695,,,,,,,,
J1510,Gamma globulin 6 CC inj,6 CC,92.086,,,,,,,,
J1520,Gamma globulin 7 CC inj,7 CC,107.292,,,,,,,,
J1530,Gamma globulin 8 CC inj,8 CC,122.712,,,,,,,,
J1540,Gamma globulin 9 CC inj,9 CC,153.389,,,,,,,,
J1550,Gamma globulin 10 CC inj,10 CC,153.389,,,,,,,,
J1560,Gamma globulin > 10 CC inj,10 CC,153.389,,,,,,,,
J1561,Gamunex injection,500 MG,37.414,,,,,,,,
J1562,"Vivaglobulin, injection",100 MG,7.185,,,,,,,,
J1566,"Immune globulin, powder",500 MG,30.405,,,,,,,,
J1568,Octagam Injection,500 MG,37.746,,,,,,,,
J1569,Gammagard Liquid injection ,500 MG,38.581,,,,,,,,
J1570,Ganciclovir sodium injection,500 MG,46.773,,,95,35.25,,,,
J1571,HepaGam B IM injection,0.5 ML,50.044,,,,,,,,
J1572,Flebogamma injection,500 MG,37.211,,,,,,,,
J1573,HepaGam B IV injection,0.5 ML,50.044,,,,,,,,
J1580,Garamycin gentamicin inj,80 MG,0.853,,,,,,,,
J1600,Gold sodium thiomaleate inj,50 MG,8.866,,,,,,,,
J1610,Glucagon hydrochloride/1 MG,1 MG,80.728,,,,,,,,
J1626,Granisetron HCl injection,100 MCG,2.004,,,,,,,,
J1630,Haloperidol injection,5 MG,1.631,,,,,,,,
J1631,Haloperidol decanoate inj,50 MG,3.014,,,,,,,,
J1640,"Hemin, 1 mg",1 MG,7.883,,,,,,,,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.156,,,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.268,,,,,,,,
J1645,Dalteparin sodium,2500 IU,11.521,,,,,,,,
J1650,Inj enoxaparin sodium,10 MG,6.452,,,,,,,,
J1652,Fondaparinux sodium,0.5 MG,6.09,,,,,,,,
J1655,Tinzaparin sodium injection,1000 IU,2.51,,,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,203.753,,,,,,,,
J1720,Hydrocortisone sodium succ i,100 MG,2.918,,,,,,,,
J1740,"Ibandronate sodium, inj",1 MG,141.902,,,,,,,,
J1742,Ibutilide fumarate injection,1 MG,411.778,,,,,,,,
J1743,Idursulfase inj,1 MG,455.03,,,,,,,,
J1745,Infliximab injection,10 MG,58.712,,,,,,,,
J1750,Iron dextran inj,50 MG,14.377,,,,,,,,
J1756,Iron sucrose injection,1 MG,0.374,,,,,,,,
J1785,Injection imiglucerase /unit,1 UNIT,4.2,,,,,,,,
J1790,Droperidol injection,5 MG,1.62,,,,,,,,
J1800,Propranolol injection,1 MG,3.981,,,,,,,,
J1815,Insulin injection,5 UNITS,0.446,,,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,3.407,,,95,2.8,,,,
J1835,Itraconazole injection,50 MG,42.281,,,,,,,,
J1840,Kanamycin sulfate 500 MG inj,500 MG,3.544,,,,,,,,
J1850,Kanamycin sulfate 75 MG inj,75 MG,0.532,,,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.228,,,,,,,,Updated October 2010
J1930,Lanreotide injection,1 MG,29.205,,,,,,,,
J1931,Laronidase injection,0.1 MG,25.565,,,,,,,,
J1940,Furosemide injection,20 MG,0.207,,,,,,,,
J1945,Lepirudin,50 MG,177.867,,,,,,,,
J1950,Leuprolide acetate /3.75 MG,3.75 MG,489.43,,,,,,,,
J1953,Levetiracetam injection,10 MG,0.745,,,,,,,,
J1955,Inj levocarnitine per 1 gm,1 GM,6.482,,,,,,,,
J1956,Levofloxacin injection,250 MG,5.546,,,,,,,,
J1980,Hyoscyamine sulfate inj,0.25 MG,9.954,,,,,,,,
J2001,Lidocaine injection,10 MG,0.021,,,,,,,,
J2010,Lincomycin injection,300 MG,5.096,,,,,,,,
J2020,Linezolid injection,200 MG,29.936,,,,,,,,
J2060,Lorazepam injection,2 MG,0.796,,,,,,,,
J2150,Mannitol injection,50 ML,0.939,,,,,,,,
J2175,Meperidine hydrochl /100 MG,100 MG,1.654,,,95,0.56,,,,
J2185,Meropenem,100 MG,4.055,,,,,,,,
J2210,Methylergonovin maleate inj,0.2 MG,6.093,,,,,,,,
J2248,"Micafungin sodium, inj",1 MG,1.105,,,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.154,,,,,,,,
J2260,Inj milrinone lactate / 5 MG,5 MG,4.376,,,95,51.58,,,,
J2270,Morphine sulfate injection,10 MG,1.924,,,95,0.71,,,,
J2271,Morphine so4 injection 100mg,100 MG,1.096,,,95,11.07,,,,
J2275,Morphine sulfate injection,10 MG,2.813,,,95,4.39,,,,
J2278,Ziconotide injection,1 MCG,6.499,,,,,,,,Updated January 2010
J2280,"Inj, moxifloxacin 100 mg",100 MG,2.825,,,,,,,,
J2300,Inj nalbuphine hydrochloride,10 MG,0.967,,,,,,,,
J2310,Inj naloxone hydrochloride,1 MG,5.219,,,,,,,,
J2315,"Naltrexone, depot form inj",1 MG,2.177,,,,,,,,
J2323,Natalizumab injection,1 MG,8.121,,,,,,,,Updated January 2010
J2325,Nesiritide injection,0.1 MG,36.766,,,,,,,,
J2353,"Octreotide injection, depot",1 MG,107.297,,,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,1.364,,,,,,,,
J2355,Oprelvekin injection,5 MG,246.821,,,,,,,,
J2357,Omalizumab injection,5 MG,19.221,,,,,,,,
J2360,Orphenadrine injection,60 MG,7.44,,,,,,,,
J2370,Phenylephrine hcl injection,1 ML,0.987,,,,,,,,
J2400,Chloroprocaine hcl injection,30 ML,12.347,,,,,,,,
J2405,Ondansetron hcl injection,1 MG,0.183,,,,,,,,Updated October 2010
J2410,Oxymorphone hcl injection,1 MG,2.265,,,,,,,,
J2425,Palifermin injection,50 MCG,11.268,,,,,,,,
J2430,Pamidronate disodium /30 MG,30 MG,18.773,,,,,,,,
J2440,Papaverin hcl injection,60 MG,0.639,,,,,,,,
J2469,Palonosetron hcl,25 MCG,17.516,,,,,,,,
J2501,Paricalcitol,1 MCG,3.683,,,,,,,,
J2503,Pegaptanib sodium injection,0.3 MG,1033.617,,,,,,,,
J2504,"Pegademase bovine, 25 iu",25 IU,247.333,,,,,,,,
J2505,"Injection, pegfilgrastim 6mg",6 MG,2264.807,,,,,,,,
J2510,Penicillin g procaine inj,600000 UNITS,10.766,,,,,,,,
J2515,Pentobarbital sodium inj,50 MG,11.96,,,,,,,,
J2540,Penicillin g potassium inj,600000 UNITS,0.824,,,,,,,,
J2543,Piperacillin/tazobactam,1.125 GM,6.1,,,,,,,,
J2545,Pentamidine isethionte/300mg,300 MG,45.41,,,,,,,,
J2550,Promethazine hcl injection,50 MG,1.602,,,,,,,,
J2560,Phenobarbital sodium inj,120 MG,3.247,,,,,,,,
J2590,Oxytocin injection,10 UNITS,0.877,,,,,,,,
J2597,Inj desmopressin acetate,1 MCG,1.694,,,,,,,,
J2650,Prednisolone acetate inj,1 ML,0.173,,,,,,,,
J2675,Inj progesterone per 50 MG,50 MG,1.391,,,,,,,,
J2680,Fluphenazine decanoate 25 MG,25 MG,5.554,,,,,,,,
J2690,Procainamide hcl injection,1 GM,4.926,,,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,2.011,,,,,,,,
J2710,Neostigmine methylslfte inj,0.5 MG,0.085,,,,,,,,
J2720,Inj protamine sulfate/10 MG,10 MG,0.566,,,,,,,,
J2724,Protein c concentrate,10 UNITS,12.19,,,,,,,,
J2730,Pralidoxime chloride inj,1 GM,87.482,,,,,,,,
J2760,Phentolaine mesylate inj,5 MG,53.816,,,,,,,,
J2765,Metoclopramide hcl injection,10 MG,0.354,,,,,,,,
J2770,Quinupristin/dalfopristin,500 MG,146.846,,,,,,,,
J2778,Ranibizumab inj,0.1 mg,405.762,,,,,,,,
J2780,Ranitidine hydrochloride inj,25 MG,1.078,,,,,,,,
J2783,Rasburicase,0.5 MG,167.154,,,,,,,,
J2785,Regadenoson injection,0.1 MG,50.785,,,,,,,,
J2788,Rho d immune globulin 50 mcg,50 MCG (250 IU),26.254,,,,,,,,
J2790,Rho d immune globulin inj,300 MCG (1500 IU),86.014,,,,,,,,
J2791,Rhophylac injection,100 IU,5.227,,,,,,,,
J2792,"Rho(D) immune globulin h, sd",100 IU,18.742,,,,,,,,
J2794,"Risperidone, long acting",0.5 MG,5.021,,,,,,,,
J2795,Ropivacaine HCl injection,1 MG,0.07,,,,,,,,
J2800,Methocarbamol injection,10 ML,25.387,,,,,,,,
J2805,Sincalide injection,5 MCG,68.067,,,,,,,,
J2810,Inj theophylline per 40 MG,40 MG,0.031,,,,,,,,
J2820,Sargramostim injection,50 MCG,23.754,,,,,,,,
J2850,Inj secretin synthetic human,1 MCG,20.313,,,,,,,,
J2916,Na ferric gluconate complex,12.5 MG,4.674,,,,,,,,
J2920,Methylprednisolone injection,40 MG,2.56,,,,,,,,
J2930,Methylprednisolone injection,125 MG,3.446,,,,,,,,
J2993,Reteplase injection,18.1 MG,1254.466,,,,,,,,
J2997,Alteplase recombinant,1 MG,35.7,,,,,,,,
J3000,Streptomycin injection,1 GM,6.818,,,,,,,,
J3010,Fentanyl citrate injeciton,0.1 MG,0.342,,,95,0.7,,,,
J3030,Sumatriptan succinate / 6 MG,6 MG,56.559,,,,,,,,
J3070,Pentazocine injection,30 MG,7.38,,,,,,,,
J3101,Tenecteplase injection,1 MG,40.87,,,,,,,,
J3105,Terbutaline sulfate inj,1 MG,2.866,,,,,,,,
J3120,Testosterone enanthate inj,100 MG,3.226,,,,,,,,
J3130,Testosterone enanthate inj,200 MG,6.778,,,,,,,,
J3230,Chlorpromazine hcl injection,50 MG,9.292,,,,,,,,
J3240,Thyrotropin injection,0.9 MG,966.614,,,,,,,,
J3243,"Tigecycline, inj",1 MG,1.169,,,,,,,,
J3246,Tirofiban HCl,0.25 MG,7.977,,,,,,,,
J3250,Trimethobenzamide hcl inj,200 MG,4.697,,,,,,,,
J3260,Tobramycin sulfate injection,80 MG,1.937,,,,,,,,
J3285,Treprostinil injection,1 MG,55.887,,,,,,,,
J3300,Triamcinolone A inj PRS-free,1 MG,3.266,,,,,,,,
J3301,Triamcinolone acetonide inj NOS,10 MG,1.539,,,,,,,,
J3302,Triamcinolone diacetate inj,5 MG,0.28,,,,,,,,
J3303,Triamcinolone hexacetonl inj,5 MG,0.828,,,,,,,,
J3315,Triptorelin pamoate,3.75 MG,163.921,,,,,,,,
J3355,"Urofollitropin, 75 iu",75 IU,60.399,,,,,,,,
J3360,Diazepam injection,5 MG,1.034,,,,,,,,
J3364,Urokinase 5000 IU injection,5000 IU,9.155,,,,,,,,
J3365,"Urokinase 250,000 IU inj",250000 IU,457.729,,,,,,,,
J3370,Vancomycin hcl injection,500 MG,3.008,,,,,,,,
J3396,Verteporfin injection,0.1 MG,9.487,,,,,,,,
J3410,Hydroxyzine hcl injection,25 MG,0.429,,,,,,,,
J3411,Thiamine hcl 100 mg,100 MG,2.436,,,,,,,,
J3415,Pyridoxine hcl 100 mg,100 MG,4.867,,,,,,,,
J3420,Vitamin b12 injection,1000 MCG,0.248,,,,,,,,
J3430,Vitamin k phytonadione inj,1 MG,1.215,,,,,,,,
J3465,"Injection, voriconazole",10 MG,5.362,,,,,,,,
J3470,Hyaluronidase injection,150 UNITS,15.288,,,,,,,,
J3471,"Ovine, up to 999 USP units",1 USP UNIT,0.138,,,,,,,,
J3472,"Ovine, 1000 USP units",1000 USP UNITS,130.315,,,,,,,,
J3473,"Hyaluronidase, recombinant, inj",1 USP UNIT,0.591,,,,,,,,
J3475,Inj magnesium sulfate,500 MG,0.05,,,,,,,,
J3480,Inj potassium chloride,2 MEQ,0.015,,,,,,,,
J3485,Zidovudine,10 MG,1.252,,,,,,,,
J3486,Ziprasidone mesylate,10 MG,5.513,,,,,,,,
J3487,Zoledronic acid,1 MG,219.07,,,,,,,,
J3488,Reclast injection,1 MG,222.789,,,,,,,,
J7030,Normal saline solution infus,1000 CC,0.449,,,,,,,,
J7040,Normal saline solution infus,500 ML,0.543,,,,,,,,
J7042,5% dextrose/normal saline,500 ML,0.321,,,,,,,,
J7050,Normal saline solution infus,250 CC,0.272,,,,,,,,
J7060,5% dextrose/water,500 ML,1.128,,,,,,,,
J7070,D5W infusion,1000 CC,2.256,,,,,,,,
J7100,Dextran 40 infusion,500 ML,10.313,,,,,,,,
J7110,Dextran 75 infusion,500 ML,12.72,,,,,,,,
J7120,Ringers lactate infusion,1000 CC,0.987,,,,,,,,
J7186,Antihemophilic viii/vwf comp,PER FACTOR VIII I.U.,0.914,,,,,,,1,Updated July 2010
J7187,Inj Vonwillebrand factor IU,1 IU,0.88,,,,,,,1,
J7189,Factor viia,1 MCG,1.308,,,,,,,1,
J7190,Factor viii,1 IU,0.857,,,,,,,1,
J7192,Factor viii recombinant,1 IU,1.096,,,,,,,1,
J7193,Factor IX non-recombinant,1 IU,0.896,,,,,,,1,
J7194,Factor ix complex,1 IU,0.863,,,,,,,1,
J7195,Factor IX recombinant,1 IU,1.073,,,,,,,1,
