Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Effective October 1, 2012 through December 31, 2012",,,,,,,,,,,,,
,,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q12 ASP data. ,,,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,,,
processing the claim.,,,,,,,,,,,,,
,,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
A9577,Inj multihance,1 ML,2.33,,,,,,,,,,
A9578,Inj multihance multipack,1 ML,1.956,,,,,,,,,,
A9579,"Gad-base MR contrast NOS,1ml",1 ML,2.091,,,,,,,,Updated Apr 13,,
A9581,Gadoxetate disodium inj,1 ML,13.447,,,,,,,,,,
A9583,Gadofosveset trisodium inj,1 ML,11.903,,,,,,,,Updated Apr 13,,
A9585,Gadobutrol injection,0.1 ML,0.514,,,,,,,,,,
J0129,Abatacept injection,10 MG,22.194,,,,,,,,,,
J0130,Abciximab injection,10 MG,575.029,,,,,,,,,,
J0132,Acetylcysteine injection,100 MG,3.038,,,,,,,,,,
J0133,Acyclovir injection,5 MG,0.046,,,,,,,,,,
J0135,Adalimumab injection,20 MG,456.375,,,,,,,,,,
J0150,Injection adenosine 6 MG,6 MG,5.949,,,,,,,,,,
J0152,Adenosine injection,30 MG,109.401,,,,,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.051,,,,,,,,,,
J0180,Agalsidase beta injection,1 MG,140.303,,,,,,,,,,
J0205,Alglucerase injection,10 UNITS,41.99,,,,,,,,,,
J0207,Amifostine,500 MG,310.176,,,,,,,,,,
J0210,Methyldopate hcl injection,250 MG,42.4,,,,,,,,,,
J0215,Alefacept,0.5 MG,41.644,,,,,,,,,,
J0220,Alglucosidase alfa injection,10 MG,204.424,,,,,,,,,,
J0221,Lumizyme injection,10 MG,153.608,,,,,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,3.966,,,,,,,,,,
J0257,Glassia injection,10 MG,3.922,,,,,,,,,,
J0278,Amikacin sulfate injection,100 MG,0.802,,,,,,,,,,
J0280,Aminophyllin 250 MG inj,250 MG,0.603,,,,,,,,,,
J0285,Amphotericin B,50 MG,12.246,,,95,10.280,,,,,,
J0287,Amphotericin b lipid complex,10 MG,10.986,,,95,21.850,,,,,,
J0288,Ampho b cholesteryl sulfate,10 MG,14,,,95,15.200,,,,,,
J0289,Amphotericin b liposome inj,10 MG,14.831,,,95,35.800,,,,,,
J0290,Ampicillin 500 MG inj,500 MG,1.618,,,,,,,,,,
J0295,Ampicillin sodium per 1.5 gm,1.5 GM,2.242,,,,,,,,,,
J0348,Anidulafungin injection,1 MG,1.25,,,,,,,,,,
J0360,Hydralazine hcl injection,20 MG,4.038,,,,,,,,,,
J0364,Apomorphine hydrochloride,1 MG,32.761,,,,,,,,,,
J0365,"Aprotonin, 10,000 kiu",10000 KIU,2.646,,,,,,,,,,
J0400,Aripiprazole injection,0.25 MG,0.468,,,,,,,,,,
J0456,Azithromycin,500 MG,4.655,,,,,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.029,,,,,,,,,,
J0470,Dimecaprol injection,100 MG,28.339,,,,,,,,,,
J0475,Baclofen 10 MG injection,10 MG,179.988,,,95,215.180,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,76.465,,,95,79.800,,,,,,
J0480,Basiliximab,20 MG,2324.184,,,,,,,,,,
J0490,Belimumab injection,10 MG,38.318,,,,,,,,,,
J0500,Dicyclomine injection,20 MG,32.004,,,,,,,,,,
J0515,Inj benztropine mesylate,1 MG,26.176,,,,,,,,,,
J0558,PenG benzathine/procaine inj,"100,000 UNITS",3.475,,,,,,,,,,
J0561,Penicillin g benzathine inj,"100,000 UNITS",4.394,,,,,,,,,,
J0583,Bivalirudin,1 MG,2.98,,,,,,,,,,
J0585,"Injection,onabotulinumtoxinA",1 UNIT,5.471,,,,,,,,,,
J0586,AbobotulinumtoxinA,5 Unit,6.951,,,,,,,,,,
J0587,"Inj, rimabotulinumtoxinB",100 UNITS,10.89,,,,,,,,,,
J0588,Incobotulinumtoxin A,1 UNIT,4.461,,,,,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,0.989,,,,,,,,Updated July 2013,,
J0594,Busulfan injection,1 MG,21.902,,,,,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,0.954,,,,,,,,Updated July 2013,,
J0597,"C-1 esterase, berinert",10 UNITS,30.229,,,,,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,45.702,,,,,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,201.4,,,,,,,,,,
J0610,Calcium gluconate injection,10 ML,0.64,,,,,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,62.741,,,,,,,,,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.398,,,,,,,,,,
J0637,Caspofungin acetate,5 MG,12.845,,,,,,,,,,
J0638,Canakinumab injection,1 MG,89.412,,,,,,,,,,
J0640,Leucovorin calcium injection,50 MG,2.741,,,,,,,,Updated July 2013,,
J0641,Levoleucovorin injection,0.5 MG,1.907,,,,,,,,,,
J0670,Inj mepivacaine HCL/10 ml,10 ML,1.207,,,,,,,,,,
J0690,Cefazolin sodium injection,500 MG,0.739,,,,,,,,,,
J0692,Cefepime HCl for injection,500 MG,2.322,,,,,,,,,,
J0694,Cefoxitin sodium injection,1 GM,5.645,,,,,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.719,,,,,,,,,,
J0697,Sterile cefuroxime injection,750 MG,3.801,,,,,,,,,,
J0698,Cefotaxime sodium injection,1 GM,2.062,,,,,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,5.584,,,,,,,,,,
J0706,Caffeine citrate injection,5 MG,0.477,,,,,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,0.776,,,,,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,2.621,,,,,,,,,,
J0718,Certolizumab pegol inj,1 MG,4.909,,,,,,,,,,
J0720,Chloramphenicol sodium injec,1 GM,20.611,,,,,,,,,,
J0725,Chorionic gonadotropin/1000u,1000 UNITS,12.758,,,,,,,,,,
J0735,Clonidine hydrochloride,1 MG,22.865,,,,,,,,,,
J0740,Cidofovir injection,375 MG,757.018,,,,,,,,,,
J0743,Cilastatin sodium injection,250 MG,8.109,,,,,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.002,,,,,,,,,,
J0745,Inj codeine phosphate /30 MG,30 MG,1.346,,,,,,,,,,
J0760,Colchicine injection,1 MG,6.572,,,,,,,,,,
J0770,Colistimethate sodium inj,150 MG,11.579,,,,,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,37.512,,,,,,,,,,
J0780,Prochlorperazine injection,10 MG,3.636,,,,,,,,Updated July 2013,,
J0795,Corticorelin ovine triflutal,1 MCG,5.821,,,,,,,,,,
J0800,Corticotropin injection,40 UNITS,2948.924,,,,,,,,,,
J0834,Cosyntropin cortrosyn inj,0.25 MG,67.365,,,,,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,2216.799,,,,,,,,,,
J0850,Cytomegalovirus imm IV /vial,PER VIAL,1013.869,,,,,,,,,,
J0878,Daptomycin injection,1 MG,0.539,,,,,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,3.322,,,,,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,3.322,,,,,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,9.87,,,,,,,,,,
J0886,Epoetin alfa 1000 units ESRD,1000 UNITS,9.87,,,,,,,,,,
J0894,Decitabine injection,1 MG,33.401,,,,,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,8.499,,,95,15.630,,,,,,
J0897,Denosumab injection,1 MG,14.321,,,,,,,,,,
J1000,Depo-estradiol cypionate inj,5 MG,6.829,,,,,,,,,,
J1020,Methylprednisolone 20 MG inj,20 MG,3.063,,,,,,,,,,
J1030,Methylprednisolone 40 MG inj,40 MG,4.026,,,,,,,,,,
J1040,Methylprednisolone 80 MG inj,80 MG,7.04,,,,,,,,,,
J1051,Medroxyprogesterone inj,50 MG,9.305,,,,,,,,,,
J1070,Testosterone cypionat 100 MG,100 MG,5.294,,,,,,,,,,
J1080,Testosterone cypionat 200 MG,200 MG,5.662,,,,,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.112,,,,,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,33.413,,,,,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,28.824,,,,,,,,,,
J1160,Digoxin injection,0.5 MG,4.633,,,,,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,899.634,,,,,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.356,,,,,,,,,,
J1170,Hydromorphone injection,4 MG,1.656,,,95,1.490,,,,,,
J1190,Dexrazoxane HCl injection,250 MG,158.996,,,,,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.902,,,,,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,259.141,,,,,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ML,50 ML,87.153,,,,,,,,,,
J1230,Methadone injection,10 MG,7.021,,,95,0.750,,,,,,
J1240,Dimenhydrinate injection,50 MG,4.327,,,,,,,,,,
J1245,Dipyridamole injection,10 MG,0.809,,,,,,,,,,
J1250,Inj dobutamine HCL/250 mg,250 MG,6.278,,,95,4.740,,,,Updated July 2013,,
J1260,Dolasetron mesylate,10 MG,4.064,,,,,,,,,,
J1265,Dopamine injection,40 MG,0.403,,,,,,,,,,
J1267,Doripenem injection,10 MG,0.45,,,,,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,0.944,,,,,,,,,,
J1290,Ecallantide injection,1 MG,318.218,,,,,,,,,,
J1300,Eculizumab injection,10 MG,195.464,,,,,,,,,,
J1325,Epoprostenol injection,0.5 MG,14.228,,,95,12.640,,,,,,
J1327,Eptifibatide injection,5 MG,24.642,,,,,,,,,,
J1335,Ertapenem injection,500 MG,30.398,,,,,,,,,,
J1364,Erythro lactobionate /500 MG,500 MG,11.585,,,,,,,,,,
J1380,Estradiol valerate 10 MG inj,10 MG,9.42,,,,,,,,,,
J1410,Inj estrogen conjugate 25 MG,25 MG,125.451,,,,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,299.937,,,,,,,,,,
J1438,Etanercept injection,25 MG,231.102,,,,,,,,,,
J1440,Filgrastim 300 mcg injection,300 MCG,268.907,,,,,,,,,,
J1441,Filgrastim 480 mcg injection,480 MCG,426.873,,,,,,,,,,
J1450,Fluconazole,200 MG,5.067,,,,,,,,,,
J1451,"Fomepizole, 15 mg",15 MG,6.511,,,,,,,,,,
J1453,Fosaprepitant injection,1 MG,1.717,,,,,,,,,,
J1455,Foscarnet sodium injection,1000 MG,3.499,,,95,13.070,,,,,,
J1457,Gallium nitrate injection,1 MG,2.078,,,,,,,,,,
J1458,Galsulfase injection,1 MG,354.354,,,,,,,,,,
J1459,Inj IVIG privigen 500 mg,500 MG,35.142,,,,,,,,,,
J1460,Gamma globulin 1 CC inj,1 CC,23.337,,,,,,,,,,
J1557,Gammaplex injection,500 MG,37.251,,,,,,,,,,
J1559,Hizentra injection,100 MG,7.286,,,,,,,,,,
J1560,Gamma globulin > 10 CC inj,10 CC,233.374,,,,,,,,,,
J1561,"Gamunex, Gamunex-C, Gammaked",500 MG,38.278,,,,,,,,,,
J1566,"Immune globulin, powder",500 MG,32.213,,,,,,,,,,
J1568,Octagam injection,500 MG,33.207,,,,,,,,,,
J1569,Gammagard liquid injection,500 MG,37.617,,,,,,,,,,
J1570,Ganciclovir sodium injection,500 MG,73.037,,,95,35.250,,,,,,
J1571,Hepagam b im injection,0.5 ML,52.14,,,,,,,,,,
J1572,Flebogamma injection,500 MG,34.429,,,,,,,,,,
J1573,"Hepagam b intravenous, inj",0.5 ML,52.14,,,,,,,,,,
J1580,Garamycin gentamicin inj,80 MG,1.289,,,,,,,,,,
J1600,Gold sodium thiomaleate inj,50 MG,25.037,,,,,,,,,,
J1610,Glucagon hydrochloride/1 MG,1 MG,111.227,,,,,,,,,,
J1626,Granisetron hcl injection,100 MCG,0.437,,,,,,,,,,
J1630,Haloperidol injection,5 MG,2.217,,,,,,,,Updated July 2013,,
J1631,Haloperidol decanoate inj,50 MG,19.514,,,,,,,,,,
J1640,"Hemin, 1 mg",1 MG,13.264,,,,,,,,,,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.167,,,,,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.213,,,,,,,,,,
J1645,Dalteparin sodium,2500 IU,11.035,,,,,,,,,,
J1650,Inj enoxaparin sodium,10 MG,4.202,,,,,,,,,,
J1652,Fondaparinux sodium,0.5 MG,4.666,,,,,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,276.268,,,,,,,,,,
J1720,Hydrocortisone sodium succ i,100 MG,4.278,,,,,,,,,,
J1740,Ibandronate sodium injection,1 MG,151.638,,,,,,,,,,
J1742,Ibutilide fumarate injection,1 MG,139.24,,,,,,,,,,
J1743,Idursulfase injection,1 MG,455.029,,,,,,,,,,
J1745,Infliximab injection,10 MG,65.179,,,,,,,,,,
J1750,Inj iron dextran,50 MG,12.002,,,,,,,,,,
J1756,Iron sucrose injection,1 MG,0.285,,,,,,,,,,
J1786,Imuglucerase injection,10 UNITS,41.735,,,,,,,,,,
J1790,Droperidol injection,5 MG,3.316,,,,,,,,,,
J1800,Propranolol injection,1 MG,3.434,,,,,,,,,,
J1815,Insulin injection,5 UNITS,0.51,,,,,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,3.092,,,95,2.800,,,,,,
J1840,Kanamycin sulfate 500 MG inj,500 MG,7.685,,,,,,,,,,
J1850,Kanamycin sulfate 75 MG inj,75 MG,1.153,,,,,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.226,,,,,,,,,,
J1930,Lanreotide injection,1 MG,33.823,,,,,,,,,,
J1931,Laronidase injection,0.1 MG,26.674,,,,,,,,,,
J1940,Furosemide injection,20 MG,0.665,,,,,,,,,,
J1945,Lepirudin,50 MG,551.757,,,,,,,,,,
J1950,Leuprolide acetate /3.75 MG,3.75 MG,663.945,,,,,,,,,,
J1953,Levetiracetam injection,10 MG,0.247,,,,,,,,,,
J1955,Inj levocarnitine per 1 gm,1 GM,6.236,,,,,,,,,,
J1956,Levofloxacin injection,250 MG,3.786,,,,,,,,,,
J1980,Hyoscyamine sulfate inj,0.25 MG,14.739,,,,,,,,,,
J2001,Lidocaine injection,10 MG,0.019,,,,,,,,,,
J2010,Lincomycin injection,300 MG,7.048,,,,,,,,,,
J2020,Linezolid injection,200 MG,39.318,,,,,,,,,,
J2060,Lorazepam injection,2 MG,1.338,,,,,,,,,,
J2150,Mannitol injection,50 ML,1.471,,,,,,,,,,
J2175,Meperidine hydrochl /100 MG,100 MG,2.159,,,95,0.560,,,,,,
J2185,Meropenem,100 MG,1.424,,,,,,,,,,
J2210,Methylergonovin maleate inj,0.2 MG,3.798,,,,,,,,,,
J2248,Micafungin sodium injection,1 MG,0.943,,,,,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.156,,,,,,,,,,
J2260,Inj milrinone lactate / 5 MG,5 MG,3.938,,,95,51.580,,,,Updated July 2013,,
J2270,Morphine sulfate injection,10 MG,3.388,,,95,0.710,,,,,,
J2271,Morphine so4 injection 100mg,100 MG,1.196,,,95,11.070,,,,,,
J2275,Morphine sulfate injection,10 MG,2.707,,,95,4.390,,,,,,
J2278,Ziconotide injection,1 MCG,6.607,,,,,,,,,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,4.081,,,,,,,,,,
J2300,Inj nalbuphine hydrochloride,10 MG,0.889,,,,,,,,,,
J2310,Inj naloxone hydrochloride,1 MG,10.179,,,,,,,,,,
J2315,"Naltrexone, depot form",1 MG,2.85,,,,,,,,,,
J2323,Natalizumab injection,1 MG,11.587,,,,,,,,,,
J2325,Nesiritide injection,0.1 MG,51.813,,,,,,,,,,
J2353,"Octreotide injection, depot",1 MG,127.002,,,,,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,1.508,,,,,,,,,,
J2355,Oprelvekin injection,5 MG,244.001,,,,,,,,,,
J2357,Omalizumab injection,5 MG,23.529,,,,,,,,,,
J2358,Olanzapine long-acting inj,1 MG,2.753,,,,,,,,,,
J2360,Orphenadrine injection,60 MG,6.934,,,,,,,,Updated July 2013,,
J2370,Phenylephrine hcl injection,1 ML,0.423,,,,,,,,,,
J2400,Chloroprocaine hcl injection,30 ML,24.326,,,,,,,,,,
J2405,Ondansetron hcl injection,1 MG,0.219,,,,,,,,,,
J2410,Oxymorphone hcl injection,1 MG,2.284,,,,,,,,,,
J2425,Palifermin injection,50 MCG,12.123,,,,,,,,,,
J2426,Paliperidone palmitate inj,1 MG,7.023,,,,,,,,,,
J2430,Pamidronate disodium /30 MG,30 MG,10.503,,,,,,,,,,
J2440,Papaverin hcl injection,60 MG,1.08,,,,,,,,,,
J2469,Palonosetron hcl,25 MCG,19.016,,,,,,,,,,
J2501,Paricalcitol,1 MCG,1.743,,,,,,,,,,
J2503,Pegaptanib sodium injection,0.3 MG,1029.949,,,,,,,,,,
J2504,"Pegademase bovine, 25 iu",25 IU,265.483,,,,,,,,,,
J2505,"Injection, pegfilgrastim 6mg",6 MG,2838.892,,,,,,,,,,
J2507,Pegloticase injection,1 MG,320.767,,,,,,,,,,
J2510,Penicillin g procaine inj,600000 UNITS,12.615,,,,,,,,,,
J2515,Pentobarbital sodium inj,50 MG,26.358,,,,,,,,,,
J2540,Penicillin g potassium inj,600000 UNITS,0.602,,,,,,,,,,
J2543,Piperacillin/tazobactam,1.125 GM,2.541,,,,,,,,,,
J2545,Pentamidine non-comp unit,300 MG,60.78,,,,,,,,,,
J2550,Promethazine hcl injection,50 MG,1.895,,,,,,,,,,
J2560,Phenobarbital sodium inj,120 MG,16.125,,,,,,,,,,
J2562,Plerixafor injection,1 MG,287.45,,,,,,,,,,
J2590,Oxytocin injection,10 UNITS,0.685,,,,,,,,,,
J2597,Inj desmopressin acetate,1 MCG,6.117,,,,,,,,,,
J2675,Inj progesterone per 50 MG,50 MG,1.577,,,,,,,,,,
J2680,Fluphenazine decanoate 25 MG,25 MG,15.512,,,,,,,,,,
J2690,Procainamide hcl injection,1 GM,12.61,,,,,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,2.38,,,,,,,,,,
J2720,Inj protamine sulfate/10 MG,10 MG,0.59,,,,,,,,,,
J2724,Protein c concentrate,10 UNITS,13.586,,,,,,,,,,
J2730,Pralidoxime chloride inj,1 GM,88.595,,,,,,,,,,
J2760,Phentolaine mesylate inj,5 MG,111.035,,,,,,,,Updated July 2013,,
J2765,Metoclopramide hcl injection,10 MG,0.357,,,,,,,,,,
J2770,Quinupristin/dalfopristin,500 MG,175.051,,,,,,,,,,
J2778,Ranibizumab injection,0.1 mg,398.309,,,,,,,,,,
J2780,Ranitidine hydrochloride inj,25 MG,1.338,,,,,,,,,,
J2783,Rasburicase,0.5 MG,204.732,,,,,,,,,,
J2785,Regadenoson injection,0.1 MG,53.674,,,,,,,,,,
J2788,Rho d immune globulin 50 mcg,50 MCG (250 IU),25.86,,,,,,,,,,
J2790,Rho d immune globulin inj,300 MCG (1500 IU),83.769,,,,,,,,,,
J2791,Rhophylac injection,100 IU,5.188,,,,,,,,,,
J2792,"Rho(D) immune globulin h, sd",100 IU,18.432,,,,,,,,,,
J2794,"Risperidone, long acting",0.5 MG,5.452,,,,,,,,,,
J2795,Ropivacaine HCl injection,1 MG,0.082,,,,,,,,,,
J2796,Romiplostim injection,10 MCG,48.183,,,,,,,,,,
J2800,Methocarbamol injection,10 ML,37.1,,,,,,,,,,
J2805,Sincalide injection,5 MCG,67.009,,,,,,,,,,
J2810,Inj theophylline per 40 MG,40 MG,0.256,,,,,,,,,,
J2820,Sargramostim injection,50 MCG,31.586,,,,,,,,,,
J2850,Inj secretin synthetic human,1 MCG,27.494,,,,,,,,,,
J2916,Na ferric gluconate complex,12.5 MG,3.315,,,,,,,,,,
J2920,Methylprednisolone injection,40 MG,2.065,,,,,,,,,,
J2930,Methylprednisolone injection,125 MG,2.858,,,,,,,,,,
J2993,Reteplase injection,18.1 MG,2301.896,,,,,,,,,,
J2997,Alteplase recombinant,1 MG,49.219,,,,,,,,,,
J3000,Streptomycin injection,1 GM,11.349,,,,,,,,,,
J3010,Fentanyl citrate injeciton,0.1 MG,0.799,,,95,0.700,,,,,,
J3030,Sumatriptan succinate / 6 MG,6 MG,51.887,,,,,,,,,,
J3070,Pentazocine injection,30 MG,19.609,,,,,,,,,,
J3095,Telavancin injection,10 MG,2.646,,,,,,,,,,
J3101,Tenecteplase injection,1 MG,66.503,,,,,,,,,,
J3105,Terbutaline sulfate inj,1 MG,5.519,,,,,,,,,,
J3120,Testosterone enanthate inj,100 MG,4.639,,,,,,,,,,
J3130,Testosterone enanthate inj,200 MG,9.277,,,,,,,,,,
J3230,Chlorpromazine hcl injection,50 MG,25.076,,,,,,,,,,
J3240,Thyrotropin injection,0.9 MG,1053.789,,,,,,,,,,
J3243,Tigecycline injection,1 MG,1.459,,,,,,,,,,
J3246,Tirofiban HCl,0.25 MG,8.689,,,,,,,,,,
J3250,Trimethobenzamide hcl inj,200 MG,10.439,,,,,,,,,,
J3260,Tobramycin sulfate injection,80 MG,2.754,,,,,,,,,,
J3262,Tocilizumab injection,1 MG,3.572,,,,,,,,,,
J3285,Treprostinil injection,1 MG,61.237,,,,,,,,,,
J3300,Triamcinolone A inj PRS-free,1 MG,3.567,,,,,,,,,,
J3301,Triamcinolone acet inj NOS,10 MG,1.671,,,,,,,,,,
J3302,Triamcinolone diacetate inj,5 MG,0.28,,,,,,,,,,
J3303,Triamcinolone hexacetonl inj,5 MG,1.509,,,,,,,,,,
J3315,Triptorelin pamoate,3.75 MG,160.3,,,,,,,,,,
J3355,"Urofollitropin, 75 iu",75 IU,66.693,,,,,,,,,,
J3357,Ustekinumab injection,1 MG,130.529,,,,,,,,,,
J3360,Diazepam injection,5 MG,1.42,,,,,,,,,,
J3365,"Urokinase 250,000 IU inj",250000 IU,457.729,,,,,,,,,,
J3370,Vancomycin hcl injection,500 MG,2.398,,,,,,,,,,
J3385,Velaglucerase alfa,100 UNITS,349.313,,,,,,,,,,
J3396,Verteporfin injection,0.1 MG,10.16,,,,,,,,,,
J3410,Hydroxyzine hcl injection,25 MG,1.439,,,,,,,,,,
J3411,Thiamine hcl 100 mg,100 MG,3.513,,,,,,,,,,
J3415,Pyridoxine hcl 100 mg,100 MG,6.94,,,,,,,,,,
J3420,Vitamin b12 injection,1000 MCG,0.539,,,,,,,,,,
J3430,Vitamin k phytonadione inj,1 MG,1.43,,,,,,,,,,
J3465,"Injection, voriconazole",10 MG,6.631,,,,,,,,,,
J3470,Hyaluronidase injection,150 UNITS,21.2,,,,,,,,,,
J3471,"Ovine, up to 999 USP units",1 USP UNIT,0.24,,,,,,,,,,
J3473,Hyaluronidase recombinant,1 USP UNIT,0.344,,,,,,,,,,
J3475,Inj magnesium sulfate,500 MG,0.124,,,,,,,,,,
J3480,Inj potassium chloride,2 MEQ,0.012,,,,,,,,,,
J3485,Zidovudine,10 MG,1.505,,,,,,,,,,
J3486,Ziprasidone mesylate,10 MG,8.762,,,,,,,,,,
J3487,Zoledronic acid,1 MG,224.104,,,,,,,,,,
J3488,Reclast injection,1 MG,224.745,,,,,,,,,,
J7030,Normal saline solution infus,1000 ML,1.096,,,,,,,,,,
J7040,Normal saline solution infus,500 ML,0.548,,,,,,,,,,
J7042,5% dextrose/normal saline,500 ML,0.358,,,,,,,,,,
J7050,Normal saline solution infus,250 ML,0.274,,,,,,,,,,
J7060,5% dextrose/water,500 ML,1.05,,,,,,,,,,
J7070,D5w infusion,1000 CC,2.1,,,,,,,,,,
J7100,Dextran 40 infusion,500 ML,21.015,,,,,,,,,,
