Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective October 1, 2014 through December 31, 2014",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q14 ASP data. ,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,
processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
A9581,Gadoxetate disodium inj,1 ML,14.040,,,,,,,,
A9583,Gadofosveset trisodium inj,1 ML,12.143,,,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.410,,,,,,,,
J0129,Abatacept injection,10 MG,32.248,,,,,,,,
J0130,Abciximab injection,10 MG,739.170,,,,,,,,
J0132,Acetylcysteine injection,100 MG,2.191,,,,,,,,
J0133,Acyclovir injection,5 MG,0.059,,,,,,,,
J0135,Adalimumab injection,20 MG,570.940,,,,,,,,
J0150,Injection adenosine 6 MG,6 MG,5.721,,,,,,,,
J0151,Inj Adenosine Diag 1mg,1 MG,2.134,,,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.132,,,,,,,,
J0178,Aflibercept injection (ophthalmic),1 MG,980.500,,,,,,,,
J0180,Agalsidase beta injection,1 MG,152.350,,,,,,,,
J0207,Amifostine,500 MG,310.717,,,,,,,,
J0210,Methyldopate hcl injection,250 MG,42.400,,,,,,,,
J0215,Alefacept,0.5 MG,41.644,,,,,,,,
J0220,Alglucosidase alfa injection,10 MG,206.633,,,,,,,,
J0221,Lumizyme injection,10 MG,153.640,,,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.109,,,,,,,,
J0257,Glassia injection,10 MG,3.975,,,,,,,,
J0278,Amikacin sulfate injection,100 MG,1.268,,,,,,,,
J0280,Aminophyllin 250 MG inj,250 MG,3.978,,,,,,,,
J0285,Amphotericin B,50 MG,16.218,,,95,10.280,,,,
J0287,Amphotericin b lipid complex,10 MG,10.405,,,95,21.850,,,,
J0289,Amphotericin b liposome inj,10 MG,16.829,,,95,35.800,,,,
J0290,Ampicillin 500 MG inj,500 MG,1.250,,,,,,,,
J0295,Ampicillin sodium per 1.5 gm,1.5 GM,1.819,,,,,,,,
J0348,Anidulafungin injection,1 MG,0.688,,,,,,,,
J0360,Hydralazine hcl injection,20 MG,2.980,,,,,,,,
J0400,Aripiprazole injection,0.25 MG,0.645,,,,,,,,
J0401,Inj aripriprazole ext rel 1mg,1 MG,3.873,,,,,,,,
J0456,Azithromycin,500 MG,2.341,,,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.050,,,,,,,,
J0470,Dimecaprol injection,100 MG,29.375,,,,,,,,
J0475,Baclofen 10 MG injection,10 MG,162.796,,,95,215.180,,,,
J0476,Baclofen intrathecal trial,50 MCG,76.288,,,95,79.800,,,,
J0480,Basiliximab,20 MG,2716.177,,,,,,,,
J0485,Belatacept injection,1 MG,3.809,,,,,,,,
J0490,Belimumab injection,10 MG,39.484,,,,,,,,
J0500,Dicyclomine injection,20 MG,41.281,,,,,,,,
J0515,Inj benztropine mesylate,1 MG,20.379,,,,,,,,
J0558,PenG benzathine/procaine inj,"100,000 UNITS",4.923,,,,,,,,
J0561,Penicillin g benzathine inj,"100,000 UNITS",6.287,,,,,,,,
J0583,Bivalirudin,1 MG,3.421,,,,,,,,
J0585,"Injection,onabotulinumtoxinA",1 UNIT,5.560,,,,,,,,
J0586,AbobotulinumtoxinA,5 Unit,7.434,,,,,,,,
J0587,"Inj, rimabotulinumtoxinB",100 UNITS,11.302,,,,,,,,
J0588,Incobotulinumtoxin A,1 UNIT,4.480,,,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,3.063,,,,,,,,
J0594,Busulfan injection,1 MG,28.937,,,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,1.756,,,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,37.635,,,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,51.863,,,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,3477.508,,,,,,,,
J0610,Calcium gluconate injection,10 ML,1.272,,,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,69.292,,,,,,,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.385,,,,,,,,
J0637,Caspofungin acetate,5 MG,11.836,,,,,,,,
J0638,Canakinumab injection,1 MG,90.960,,,,,,,,
J0640,Leucovorin calcium injection,50 MG,3.736,,,,,,,,
J0641,Levoleucovorin injection,0.5 MG,1.770,,,,,,,,
J0670,Inj mepivacaine HCL/10 ml,10 ML,2.196,,,,,,,,
J0690,Cefazolin sodium injection,500 MG,1.186,,,,,,,,
J0692,Cefepime HCl for injection,500 MG,2.396,,,,,,,,
J0694,Cefoxitin sodium injection,1 GM,4.990,,,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.697,,,,,,,,
J0697,Sterile cefuroxime injection,750 MG,2.790,,,,,,,,
J0698,Cefotaxime sodium injection,1 GM,1.813,,,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,5.710,,,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,1.129,,,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,2.098,,,,,,,,
J0717,Certolizumab Pegol Inj 1mg,1 MG,6.170,,,,,,,,updated October 2015
J0720,Chloramphenicol sodium injec,1 GM,31.736,,,,,,,,
J0725,Chorionic gonadotropin/1000u,1000 UNITS,18.069,,,,,,,,
J0735,Clonidine hydrochloride,1 MG,19.165,,,,,,,,
J0740,Cidofovir injection,375 MG,588.097,,,,,,,,
J0743,Cilastatin sodium injection,250 MG,4.826,,,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.097,,,,,,,,
J0770,Colistimethate sodium inj,150 MG,11.501,,,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,38.481,,,,,,,,updated January 2015
J0780,Prochlorperazine injection,10 MG,9.357,,,,,,,,
J0795,Corticorelin ovine triflutal,1 MCG,7.724,,,,,,,,
J0800,Corticotropin injection,40 UNITS,3324.923,,,,,,,,
J0834,Cosyntropin cortrosyn inj,0.25 MG,51.358,,,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,2493.120,,,,,,,,
J0850,Cytomegalovirus imm IV /vial,PER VIAL,1013.869,,,,,,,,
J0878,Daptomycin injection,1 MG,0.670,,,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,3.761,,,,,,,,updated April 2015
J0882,"Darbepoetin alfa, esrd use",1 MCG,3.761,,,,,,,,updated April 2015
J0885,"Epoetin alfa, non-esrd",1000 UNITS,11.653,,,,,,,,
J0886,Epoetin alfa 1000 units ESRD,1000 UNITS,11.653,,,,,,,,
J0894,Decitabine injection,1 MG,28.250,,,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,8.663,,,95,15.630,,,,
J0897,Denosumab injection,1 MG,14.446,,,,,,,,
J1000,Depo-estradiol cypionate inj,5 MG,10.348,,,,,,,,
J1020,Methylprednisolone 20 MG inj,20 MG,3.484,,,,,,,,
J1030,Methylprednisolone 40 MG inj,40 MG,3.249,,,,,,,,
J1040,Methylprednisolone 80 MG inj,80 MG,6.241,,,,,,,,
J1050,Medroxyprogesterone acetate,1 MG,0.280,,,,,,,,
J1070,Testosterone cypionat 100 MG,100 MG,4.941,,,,,,,,
J1080,Testosterone cypionat 200 MG,200 MG,4.972,,,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.142,,,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,65.268,,,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,22.388,,,,,,,,
J1160,Digoxin injection,0.5 MG,5.536,,,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,2051.630,,,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.530,,,,,,,,
J1170,Hydromorphone injection,4 MG,1.834,,,95,1.490,,,,
J1190,Dexrazoxane HCl injection,250 MG,144.864,,,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.534,,,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,122.652,,,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ML,50 ML,83.539,,,,,,,,
J1230,Methadone injection,10 MG,8.495,,,95,0.750,,,,
J1240,Dimenhydrinate injection,50 MG,5.320,,,,,,,,
J1245,Dipyridamole injection,10 MG,0.819,,,,,,,,
J1250,Inj dobutamine HCL/250 mg,250 MG,5.301,,,95,4.740,,,,
J1260,Dolasetron mesylate,10 MG,6.187,,,,,,,,
J1265,Dopamine injection,40 MG,0.573,,,,,,,,
J1267,Doripenem injection,10 MG,0.627,,,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,1.463,,,,,,,,
J1290,Ecallantide injection,1 MG,375.642,,,,,,,,
J1300,Eculizumab injection,10 MG,206.135,,,,,,,,
J1325,Epoprostenol injection,0.5 MG,15.459,,,95,12.640,,,,
J1335,Ertapenem injection,500 MG,35.275,,,,,,,,
J1364,Erythro lactobionate /500 MG,500 MG,45.007,,,,,,,,
J1380,Estradiol valerate 10 MG inj,10 MG,9.550,,,,,,,,
J1410,Inj estrogen conjugate 25 MG,25 MG,180.139,,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,311.058,,,,,,,,
J1438,Etanercept injection,25 MG,285.273,,,,,,,,
J1442,"Inj, Filgrastim G-CSF 1mcg",1 MCG,0.991,,,,,,,,
J1446,"Inj., tbo-Filgrastim, 5 mcg",5 MCG,3.994,,,,,,,,
J1450,Fluconazole,200 MG,4.223,,,,,,,,
J1453,Fosaprepitant injection,1 MG,1.727,,,,,,,,
J1458,Galsulfase injection,1 MG,359.120,,,,,,,,
J1459,Inj IVIG privigen 500 mg,500 MG,37.026,,,,,,,,
J1460,Gamma globulin 1 CC inj,1 CC,28.767,,,,,,,,
J1556,"Inj, Imm Glob Bivigam, 500mg",500 MG,36.206,,,,,,,,
J1557,Gammaplex injection,500 MG,35.836,,,,,,,,
J1559,Hizentra injection,100 MG,7.940,,,,,,,,
J1560,Gamma globulin > 10 CC inj,10 CC,287.671,,,,,,,,
J1561,Gamunex-C/Gammaked,500 MG,40.021,,,,,,,,
J1566,"Immune globulin, powder",500 MG,26.753,,,,,,,,
J1568,Octagam injection,500 MG,36.923,,,,,,,,
J1569,Gammagard liquid injection,500 MG,39.360,,,,,,,,
J1570,Ganciclovir sodium injection,500 MG,72.113,,,95,35.250,,,,
J1571,Hepagam b im injection,0.5 ML,53.698,,,,,,,,
J1572,Flebogamma injection,500 MG,37.755,,,,,,,,
J1580,Garamycin gentamicin inj,80 MG,1.233,,,,,,,,
J1602,Golimumab for iv use 1mg,1 MG,24.156,,,,,,,,
J1610,Glucagon hydrochloride/1 MG,1 MG,146.069,,,,,,,,
J1626,Granisetron hcl injection,100 MCG,0.247,,,,,,,,
J1630,Haloperidol injection,5 MG,1.982,,,,,,,,
J1631,Haloperidol decanoate inj,50 MG,18.979,,,,,,,,
J1640,"Hemin, 1 mg",1 MG,20.732,,,,,,,,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.173,,,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.206,,,,,,,,
J1645,Dalteparin sodium,2500 IU,14.223,,,,,,,,
J1650,Inj enoxaparin sodium,10 MG,1.465,,,,,,,,AMP-based payment limit
J1652,Fondaparinux sodium,0.5 MG,3.926,,,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,326.321,,,,,,,,
J1720,Hydrocortisone sodium succ i,100 MG,6.081,,,,,,,,
J1740,Ibandronate sodium injection,1 MG,151.800,,,,,,,,
J1742,Ibutilide fumarate injection,1 MG,112.297,,,,,,,,
J1743,Idursulfase injection,1 MG,483.047,,,,,,,,
J1745,Infliximab injection,10 MG,74.341,,,,,,,,
J1750,Inj iron dextran,50 MG,12.161,,,,,,,,
J1756,Iron sucrose injection,1 MG,0.276,,,,,,,,
J1786,Imuglucerase injection,10 UNITS,42.007,,,,,,,,
J1790,Droperidol injection,5 MG,2.141,,,,,,,,
J1800,Propranolol injection,1 MG,2.417,,,,,,,,
J1815,Insulin injection,5 UNITS,0.427,,,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,5.306,,,95,2.800,,,,
J1840,Kanamycin sulfate 500 MG inj,500 MG,7.685,,,,,,,,
J1850,Kanamycin sulfate 75 MG inj,75 MG,1.153,,,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.286,,,,,,,,
J1930,Lanreotide injection,1 MG,41.395,,,,,,,,
J1931,Laronidase injection,0.1 MG,29.447,,,,,,,,
J1940,Furosemide injection,20 MG,5.329,,,,,,,,
J1950,Leuprolide acetate /3.75 MG,3.75 MG,829.724,,,,,,,,
J1953,Levetiracetam injection,10 MG,0.124,,,,,,,,
J1955,Inj levocarnitine per 1 gm,1 GM,7.995,,,,,,,,
J1956,Levofloxacin injection,250 MG,2.340,,,,,,,,
J1980,Hyoscyamine sulfate inj,0.25 MG,18.526,,,,,,,,
J2001,Lidocaine injection,10 MG,0.020,,,,,,,,
J2010,Lincomycin injection,300 MG,9.051,,,,,,,,
J2020,Linezolid injection,200 MG,45.664,,,,,,,,
J2060,Lorazepam injection,2 MG,0.710,,,,,,,,
J2150,Mannitol injection,50 ML,2.100,,,,,,,,
J2175,Meperidine hydrochl /100 MG,100 MG,4.984,,,95,0.560,,,,
J2185,Meropenem,100 MG,1.142,,,,,,,,
J2210,Methylergonovin maleate inj,0.2 MG,5.031,,,,,,,,
J2248,Micafungin sodium injection,1 MG,0.977,,,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.135,,,,,,,,
J2260,Inj milrinone lactate / 5 MG,5 MG,3.780,,,95,51.580,,,,
J2270,Morphine sulfate injection,10 MG,1.315,,,95,0.710,,,,
J2278,Ziconotide injection,1 MCG,6.871,,,,,,,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,5.328,,,,,,,,
J2300,Inj nalbuphine hydrochloride,10 MG,2.492,,,,,,,,
J2310,Inj naloxone hydrochloride,1 MG,42.751,,,,,,,,
J2315,"Naltrexone, depot form",1 MG,2.875,,,,,,,,
J2323,Natalizumab injection,1 MG,14.909,,,,,,,,
J2353,"Octreotide injection, depot",1 MG,141.871,,,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,1.141,,,,,,,,
J2355,Oprelvekin injection,5 MG,321.879,,,,,,,,
J2357,Omalizumab injection,5 MG,27.850,,,,,,,,
J2358,Olanzapine long-acting inj,1 MG,2.753,,,,,,,,
J2360,Orphenadrine injection,60 MG,6.488,,,,,,,,
J2370,Phenylephrine hcl injection,1 ML,3.241,,,,,,,,
J2400,Chloroprocaine hcl injection,30 ML,19.347,,,,,,,,
J2405,Ondansetron hcl injection,1 MG,0.080,,,,,,,,
J2410,Oxymorphone hcl injection,1 MG,2.903,,,,,,,,
J2425,Palifermin injection,50 MCG,14.848,,,,,,,,
J2426,Paliperidone palmitate inj,1 MG,7.909,,,,,,,,
J2430,Pamidronate disodium /30 MG,30 MG,11.362,,,,,,,,
J2469,Palonosetron hcl,25 MCG,20.005,,,,,,,,
J2501,Paricalcitol,1 MCG,1.788,,,,,,,,
J2503,Pegaptanib sodium injection,0.3 MG,1034.024,,,,,,,,
J2504,"Pegademase bovine, 25 iu",25 IU,281.400,,,,,,,,
J2505,"Injection, pegfilgrastim 6mg",6 MG,3387.927,,,,,,,,updated April 2015
J2507,Pegloticase injection,1 MG,856.636,,,,,,,,
J2510,Penicillin g procaine inj,600000 UNITS,17.063,,,,,,,,
J2515,Pentobarbital sodium inj,50 MG,35.820,,,,,,,,
J2540,Penicillin g potassium inj,600000 UNITS,0.737,,,,,,,,
J2543,Piperacillin/tazobactam,1.125 GM,1.477,,,,,,,,
J2545,Pentamidine non-comp unit,300 MG,93.248,,,,,,,,
J2550,Promethazine hcl injection,50 MG,1.572,,,,,,,,
J2560,Phenobarbital sodium inj,120 MG,21.135,,,,,,,,
J2562,Plerixafor injection,1 MG,301.196,,,,,,,,
J2597,Inj desmopressin acetate,1 MCG,5.076,,,,,,,,
J2675,Inj progesterone per 50 MG,50 MG,0.915,,,,,,,,AMP-based payment limit
J2680,Fluphenazine decanoate 25 MG,25 MG,23.998,,,,,,,,
J2690,Procainamide hcl injection,1 GM,49.936,,,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,1.762,,,,,,,,
J2720,Inj protamine sulfate/10 MG,10 MG,1.041,,,,,,,,
J2724,Protein c concentrate,10 UNITS,14.515,,,,,,,,
J2730,Pralidoxime chloride inj,1 GM,89.163,,,,,,,,
J2760,Phentolaine mesylate inj,5 MG,113.401,,,,,,,,
J2765,Metoclopramide hcl injection,10 MG,0.698,,,,,,,,
J2770,Quinupristin/dalfopristin,500 MG,245.219,,,,,,,,
J2778,Ranibizumab injection,0.1 mg,396.427,,,,,,,,
J2780,Ranitidine hydrochloride inj,25 MG,1.211,,,,,,,,
J2783,Rasburicase,0.5 MG,218.751,,,,,,,,
J2785,Regadenoson injection,0.1 MG,52.747,,,,,,,,
J2788,Rho d immune globulin 50 mcg,50 MCG (250 IU),25.455,,,,,,,,
J2790,Rho d immune globulin inj,300 MCG (1500 IU),84.269,,,,,,,,
J2791,Rhophylac injection,100 IU,4.796,,,,,,,,
J2792,"Rho(D) immune globulin h, sd",100 IU,18.851,,,,,,,,
J2794,"Risperidone, long acting",0.5 MG,6.161,,,,,,,,
J2795,Ropivacaine HCl injection,1 MG,0.120,,,,,,,,
J2796,Romiplostim injection,10 MCG,53.628,,,,,,,,
J2800,Methocarbamol injection,10 ML,42.099,,,,,,,,
J2805,Sincalide injection,5 MCG,87.025,,,,,,,,
J2810,Inj theophylline per 40 MG,40 MG,0.313,,,,,,,,
J2820,Sargramostim injection,50 MCG,30.127,,,,,,,,AMP-based payment limit
J2850,Inj secretin synthetic human,1 MCG,34.781,,,,,,,,
J2916,Na ferric gluconate complex,12.5 MG,2.561,,,,,,,,
J2920,Methylprednisolone injection,40 MG,1.943,,,,,,,,
J2930,Methylprednisolone injection,125 MG,2.865,,,,,,,,
J2993,Reteplase injection,18.1 MG,2301.907,,,,,,,,
J2997,Alteplase recombinant,1 MG,64.296,,,,,,,,
J3000,Streptomycin injection,1 GM,12.900,,,,,,,,
J3010,Fentanyl citrate injeciton,0.1 MG,0.521,,,95,0.700,,,,
J3060,"Inj, Taliglucerace Alfa 10 u",10 UNITS,31.941,,,,,,,,
J3070,Pentazocine injection,30 MG,140.116,,,,,,,,AMP-based payment limit
J3095,Telavancin injection,10 MG,4.515,,,,,,,,
J3101,Tenecteplase injection,1 MG,86.210,,,,,,,,
J3105,Terbutaline sulfate inj,1 MG,4.086,,,,,,,,
J3120,Testosterone enanthate inj,100 MG,7.204,,,,,,,,
J3130,Testosterone enanthate inj,200 MG,8.909,,,,,,,,
J3230,Chlorpromazine hcl injection,50 MG,23.016,,,,,,,,
J3240,Thyrotropin injection,0.9 MG,1430.434,,,,,,,,
J3243,Tigecycline injection,1 MG,1.998,,,,,,,,
J3250,Trimethobenzamide hcl inj,200 MG,19.702,,,,,,,,
J3260,Tobramycin sulfate injection,80 MG,2.458,,,,,,,,
J3262,Tocilizumab injection,1 MG,3.683,,,,,,,,
J3285,Treprostinil injection,1 MG,61.237,,,,,,,,
J3300,Triamcinolone A inj PRS-free,1 MG,3.727,,,,,,,,
J3301,Triamcinolone acet inj NOS,10 MG,1.765,,,,,,,,
J3303,Triamcinolone hexacetonl inj,5 MG,2.390,,,,,,,,updated April 2015
J3315,Triptorelin pamoate,3.75 MG,170.770,,,,,,,,
J3357,Ustekinumab injection,1 MG,162.285,,,,,,,,
J3360,Diazepam injection,5 MG,4.794,,,,,,,,
J3370,Vancomycin hcl injection,500 MG,2.175,,,,,,,,
J3385,Velaglucerase alfa,100 UNITS,353.350,,,,,,,,
J3396,Verteporfin injection,0.1 MG,10.788,,,,,,,,
J3410,Hydroxyzine hcl injection,25 MG,0.451,,,,,,,,
J3411,Thiamine hcl 100 mg,100 MG,3.454,,,,,,,,
J3415,Pyridoxine hcl 100 mg,100 MG,6.986,,,,,,,,AMP-based payment limit
J3420,Vitamin b12 injection,1000 MCG,1.820,,,,,,,,
J3430,Vitamin k phytonadione inj,1 MG,1.226,,,,,,,,
J3465,"Injection, voriconazole",10 MG,3.972,,,,,,,,
J3473,Hyaluronidase recombinant,1 USP UNIT,0.333,,,,,,,,
J3475,Inj magnesium sulfate,500 MG,0.186,,,,,,,,
J3480,Inj potassium chloride,2 MEQ,0.122,,,,,,,,
J3485,Zidovudine,10 MG,1.498,,,,,,,,
J3486,Ziprasidone mesylate,10 MG,11.732,,,,,,,,
J3489,Zoledronic Acid 1mg,1 MG,47.477,,,,,,,,
J7030,Normal saline solution infus,1000 ML,1.351,,,,,,,,
J7040,Normal saline solution infus,500 ML,0.675,,,,,,,,
J7042,5% dextrose/normal saline,500 ML,0.596,,,,,,,,
J7050,Normal saline solution infus,250 ML,0.338,,,,,,,,
J7060,5% dextrose/water,500 ML,1.183,,,,,,,,
J7070,D5w infusion,1000 CC,2.324,,,,,,,,
J7100,Dextran 40 infusion,500 ML,21.588,,,,,,,,
J7120,Ringers lactate infusion,1000 CC,1.164,,,,,,,,
J7180,Factor xiii anti-hem factor,1 IU,6.736,,,,,,,1,added October 2014
J7183,Wilate injection,1 I.U. VWF:RCO,0.951,,,,,,,1,
J7185,Xyntha inj,1 IU,1.169,,,,,,,1,
J7186,Antihemophilic viii/vwf comp,PER FACTOR VIII IU,0.935,,,,,,,1,
J7187,"Humate-P, inj",1 IU,0.953,,,,,,,1,
J7189,Factor viia,1 MCG,1.731,,,,,,,1,
J7190,Factor viii,1 IU,0.932,,,,,,,1,
J7192,Factor viii recombinant NOS,1 IU,1.135,,,,,,,1,
J7193,Factor IX non-recombinant,1 IU,1.014,,,,,,,1,
J7194,Factor ix complex,1 IU,1.123,,,,,,,1,
J7195,Factor IX recombinant,1 IU,1.351,,,,,,,1,
J7197,Antithrombin iii injection,1 IU,3.265,,,,,,,,
J7198,Anti-inhibitor,1 IU,1.701,,,,,,,1,
J7308,Aminolevulinic acid hcl top,354 MG,242.295,,,,,,,,
J7310,Ganciclovir long act implant,4.5 MG,16960.000,,,,,,,,
J7311,Fluocinolone acetonide implt,0.59 MG,19641.051,,,,,,,,
J7312,Dexamethasone intra implant,0.1 MG,201.306,,,,,,,,
J7316,"Inj, Ocriplasmin, 0.125 mg",0.125 MG,1046.750,,,,,,,,
J7321,Hyalgan/supartz inj per dose,per dose,90.813,,,,,,,,
J7323,Euflexxa inj per dose,per dose,161.120,,,,,,,,updated January 2015
J7324,Orthovisc inj per dose,per dose,186.888,,,,,,,,
J7325,Synvisc or Synvisc-One,1 MG,12.502,,,,,,,,
J7326,Gel-One,per dose,562.076,,,,,,,,
J7335,Capsaicin 8% patch,10 SQ CM,26.497,,,,,,,,
J7500,Azathioprine oral 50mg,50 MG,0.190,,,,,,,,
J7501,Azathioprine parenteral,100 MG,217.300,,,,,,,,
J7502,Cyclosporine oral 100 mg,100 MG,3.376,,,,,,,,
J7504,Lymphocyte immune globulin,250 MG,852.686,,,,,,,,
