,,,,,,,,,,
Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,
,,,,,,,,,,
"Effective October 1, 2006 through December 31, 2006",,,,,,,,,,
,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q06 ASP data. ,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,
processing the claim.,,,,,,,,,,
,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood Limit,Notes
J1270,"Injection, doxercalciferol",1 MCG,$2.875,,,,,,,
J1325,Epoprostenol injection,0.5 MG,$14.389,,,95%,$12.640,,,
J1327,Eptifibatide injection,5 MG,$15.367,,,,,,,Revised 01/01/2008
J1335,Ertapenem injection,500 MG,$23.071,,,,,,,Revised 01/01/07
J1364,Erythro lactobionate /500 MG,500 MG,$5.901,,,,,,,
J1380,Estradiol valerate 10 MG inj,10 MG,$12.603,,,,,,,
J1390,Estradiol valerate 20 MG inj,20 MG,$17.534,,,,,,,
J1410,Inj estrogen conjugate 25 MG,25 MG,$58.046,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,$69.596,,,,,,,
J1435,Injection estrone per 1 MG,1 MG,$0.239,,,,,,,
J1436,Etidronate disodium inj,300 MG,$71.407,,,,,,,
J1438,Etanercept injection,25 MG,$159.931,,,,,,,Revised 01/01/2008
J1440,Filgrastim 300 mcg injection,300 MCG,$189.657,,,,,,,Revised 01/01/2008
J1441,Filgrastim 480 mcg injection,480 MCG,$293.933,,,,,,,Revised 01/01/2008
J1450,Fluconazole,200 MG,$11.053,,,,,,,
J1451,"Fomepizole, 15 mg",15 MG,$12.328,,,,,,,
J1455,Foscarnet sodium injection,1000 MG,$10.490,,,95%,$13.070,,,
J1457,Gallium nitrate injection,1 MG,$1.247,,,,,,,
J1460,Gamma globulin 1 CC inj,1 CC,$10.338,,,,,,,
J1470,Gamma globulin 2 CC inj,2 CC,$20.677,,,,,,,
J1480,Gamma globulin 3 CC inj,3CC,$31.014,,,,,,,
J1490,Gamma globulin 4 CC inj,4 CC,$41.354,,,,,,,
J1500,Gamma globulin 5 CC inj,5 CC,$51.692,,,,,,,
J1510,Gamma globulin 6 CC inj,6 CC,$62.034,,,,,,,
J1520,Gamma globulin 7 CC inj,7 CC,$72.336,,,,,,,
J1530,Gamma globulin 8 CC inj,8 CC,$82.707,,,,,,,
J1540,Gamma globulin 9 CC inj,9 CC,$93.073,,,,,,,
J1550,Gamma globulin 10 CC inj,10 CC,$103.384,,,,,,,
J1560,Gamma globulin > 10 CC inj,10 CC,$103.380,,,,,,,
J1565,RSV-ivig,50 MG,$16.176,,,,,,,
J1566,"Immune globulin, powder",500 MG,$25.266,,,,,,,
J1567,"Immune globulin, liquid",500 MG,$30.327,,,,,,,
J1570,Ganciclovir sodium injection,500 MG,$39.167,,,95%,$35.250,,,
J1580,Garamycin gentamicin inj,80 MG,$0.931,,,,,,,
J1590,Gatifloxacin injection,10 MG,$0.502,,,,,,,
J1595,Injection glatiramer acetate,20 MG,$46.198,,,,,,,
J1600,Gold sodium thiomaleate inj,50 MG,$6.335,,,,,,,
J1610,Glucagon hydrochloride/1 MG,1 MG,$70.227,,,,,,,
J1620,Gonadorelin hydroch/ 100 mcg,100 MCG,$189.835,,,,,,,
J1626,Granisetron HCl injection,100 MCG,$7.206,,,,,,,
J1630,Haloperidol injection,5 MG,$2.237,,,,,,,
J1631,Haloperidol decanoate inj,50 MG,$5.297,,,,,,,
J1640,"Hemin, 1 mg",1 MG,$6.799,,,,,,,
J1642,Inj heparin sodium per 10 u,10 UNITS,$0.046,,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,$0.114,,,,,,,
J1645,Dalteparin sodium,2500 IU,$10.855,,,,,,,
J1650,Inj enoxaparin sodium,10 MG,$5.645,,,,,,,
J1652,Fondaparinux sodium,0.5 MG,$5.921,,,,,,,
J1655,Tinzaparin sodium injection,1000 IU,$2.483,,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,$87.768,,,,,,,
J1720,Hydrocortisone sodium succ i,100 MG,$1.982,,,,,,,
J1730,Diazoxide injection,300 MG,$111.883,,,,,,,Revised 01/01/2008
J1742,Ibutilide fumarate injection,1 MG,$265.753,,,,,,,
J1745,Infliximab injection,10 MG,$53.743,,,,,,,
J1751,Iron dextran 165 injection,50 MG,$11.778,,,,,,,
J1752,Iron dextran 267 injection,50 MG,$10.378,,,,,,,
J1756,Iron sucrose injection,1 MG,$0.363,,,,,,,
J1785,Injection imiglucerase /unit,1 UNIT,$3.908,,,,,,,
J1790,Droperidol injection,5 MG,$1.402,,,,,,,
J1800,Propranolol injection,1 MG,$4.225,,,,,,,
J1815,Insulin injection,5 UNITS,$0.242,,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,$2.466,,,95%,$2.800,,,
J1830,Interferon beta-1b / .25 MG,0.25 MG,$90.002,,,,,,,
J1835,Itraconazole injection,50 MG,$36.451,,,,,,,
J1840,Kanamycin sulfate 500 MG inj,500 MG,$4.285,,,,,,,
J1850,Kanamycin sulfate 75 MG inj,75 MG,$0.643,,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,$0.498,,,,,,,
J1931,Laronidase injection,0.1 MG,$23.868,,,,,,,
J1940,Furosemide injection,20 MG,$0.292,,,,,,,
J1945,Lepirudin,50 MG,$153.544,,,,,,,
J1950,Leuprolide acetate /3.75 MG,3.75 MG,$437.582,,,,,,,
J1955,Inj levocarnitine per 1 gm,1 GM,$10.458,,,,,,,
J1956,Levofloxacin injection,250 MG,$7.471,,,,,,,
J1980,Hyoscyamine sulfate inj,0.25 MG,$8.693,,,,,,,
J1990,Chlordiazepoxide injection,100 MG,$21.050,,,,,,,
J2001,Lidocaine injection,10 MG,$0.019,,,,,,,
J2010,Lincomycin injection,300 MG,$3.765,,,,,,,
J2020,Linezolid injection,200 MG,$24.160,,,,,,,
J2060,Lorazepam injection,2 MG,$0.997,,,,,,,
J2150,Mannitol injection,50 ML,$0.723,,,,,,,
J2175,Meperidine hydrochl /100 MG,100 MG,$1.690,,,95%,$0.560,,,
J2180,Meperidine/promethazine inj,50 MG,$3.788,,,,,,,
J2185,Meropenem,100 MG,$3.682,,,,,,,
J2210,Methylergonovin maleate inj,0.2 MG,$4.600,,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,$0.217,,,,,,,
J2260,Inj milrinone lactate / 5 MG,5 MG,$2.791,,,95%,$51.580,,,
J2270,Morphine sulfate injection,10 MG,$1.404,,,95%,$0.710,,,
J2271,Morphine so4 injection 100mg,100 MG,$3.810,,,95%,$11.070,,,
J2275,Morphine sulfate injection,10 MG,$4.769,,,95%,$4.390,,,
J2278,Ziconotide injection,1 MCG,$6.339,,,,,,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,$3.767,,,,,,,Revised 01/01/2008
J2300,Inj nalbuphine hydrochloride,10 MG,$0.588,,,,,,,
J2310,Inj naloxone hydrochloride,1 MG,$1.919,,,,,,,
J2320,Nandrolone decanoate 50 MG,50 MG,$3.235,,,,,,,
J2321,Nandrolone decanoate 100 MG,100 MG,$6.397,,,,,,,
J2322,Nandrolone decanoate 200 MG,200 MG,$13.035,,,,,,,
J2325,Nesiritide injection,0.1 MG,$30.127,,,,,,,
J2353,"Octreotide injection, depot",1 MG,$93.348,,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,$3.537,,,,,,,
J2355,Oprelvekin injection,5 MG,$245.981,,,,,,,
J2357,Omalizumab injection,5 MG,$16.605,,,,,,,
J2360,Orphenadrine injection,60 MG,$11.806,,,,,,,
J2370,Phenylephrine hcl injection,1 ML,$0.502,,,,,,,
J2400,Chloroprocaine hcl injection,30 ML,$15.503,,,,,,,
J2405,Ondansetron hcl injection,1 MG,$3.715,,,,,,,
J2410,Oxymorphone hcl injection,1 MG,$2.306,,,,,,,
J2425,Palifermin injection,50 MCG,$11.407,,,,,,,Revised 01/01/2008
J2430,Pamidronate disodium /30 MG,30 MG,$35.459,,,,,,,Revised 01/01/07
J2440,Papaverin hcl injection,60 MG,$0.704,,,,,,,
J2460,Oxytetracycline injection,50 MG,$0.936,,,,,,,
J2469,Palonosetron HCl,25 MCG,$18.078,,,,,,,
J2501,Paricalcitol,1 MCG,$3.812,,,,,,,
J2503,Pegaptanib sodium injection,0.3 MG,"$1,054.700",,,,,,,
J2504,"Pegademase bovine, 25 iu",25 IU,$177.833,,,,,,,
J2505,"Injection, pegfilgrastim 6mg",6 MG,"$2,149.934",,,,,,,Revised 01/01/2008
J2510,Penicillin g procaine inj,600000 UNITS,$9.038,,,,,,,
J2513,Pentastarch 10% solution,100 ML,$12.722,,,,,,,
J2515,Pentobarbital sodium inj,50 MG,$5.432,,,,,,,
J2540,Penicillin g potassium inj,600000 UNITS,$0.830,,,,,,,
J2543,Piperacillin/tazobactam,1.125 GM,$5.056,,,,,,,
J2545,Pentamidine isethionte/300mg,300 MG,$43.418,,,,,,,
J2550,Promethazine hcl injection,50 MG,$1.843,,,,,,,
J2560,Phenobarbital sodium inj,120 MG,$2.157,,,,,,,
J2590,Oxytocin injection,10 UNITS,$2.307,,,,,,,
J2597,Inj desmopressin acetate,1 MCG,$2.499,,,,,,,
J2650,Prednisolone acetate inj,1 ML,$0.440,,,,,,,
J2675,Inj progesterone per 50 MG,50 MG,$1.788,,,,,,,
J2680,Fluphenazine decanoate 25 MG,25 MG,$1.208,,,,,,,
J2690,Procainamide hcl injection,1 GM,$2.084,,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,$1.506,,,,,,,
J2710,Neostigmine methylslfte inj,0.5 MG,$0.137,,,,,,,
J2720,Inj protamine sulfate/10 MG,10 MG,$0.440,,,,,,,
J2725,Inj protirelin per 250 mcg,250 MCG,$21.778,,,,,,,
J2730,Pralidoxime chloride inj,1 GM,$73.997,,,,,,,
J2760,Phentolaine mesylate inj,5 MG,$23.776,,,,,,,
J2765,Metoclopramide hcl injection,10 MG,$0.461,,,,,,,
J2770,Quinupristin/dalfopristin,500 MG,$114.492,,,,,,,
J2780,Ranitidine hydrochloride inj,25 MG,$0.700,,,,,,,
J2783,Rasburicase,0.5 MG,$121.258,,,,,,,
J2788,Rho d immune globulin 50 mcg,50 MCG,$27.695,,,,,,,
J2790,Rho d immune globulin inj,300 MCG,$80.518,,,,,,,
J2792,"Rho(D) immune globulin h, sd",100 IU,$14.297,,,,,,,
J2794,"Risperidone, long acting",0.5 MG,$4.798,,,,,,,
J2795,Ropivacaine HCl injection,1 MG,$0.070,,,,,,,
J2800,Methocarbamol injection,10 ML,$11.814,,,,,,,
J2805,Sincalide injection,5 MCG,$52.079,,,,,,,
J2810,Inj theophylline per 40 MG,40 MG,$0.042,,,,,,,
J2820,Sargramostim injection,50 MCG,$25.548,,,,,,,
J2850,Inj secretin synthetic human,1 MCG,$20.313,,,,,,,
J2912,Sodium chloride injection,2 ML,$0.115,,,,,,,
J2916,Na ferric gluconate complex,12.5 MG,$4.813,,,,,,,
J2920,Methylprednisolone injection,40 MG,$1.939,,,,,,,
J2930,Methylprednisolone injection,125 MG,$2.378,,,,,,,
J2941,Somatropin injection,1 MG,$46.798,,,,,,,
J2950,Promazine hcl injection,UP TO 25 MG,$0.384,,,,,,,
J2993,Reteplase injection,18.1 MG,$902.723,,,,,,,
J2997,Alteplase recombinant,1 MG,$32.072,,,,,,,
J3000,Streptomycin injection,1 GM,$6.197,,,,,,,
J3010,Fentanyl citrate injeciton,0.1 MG,$0.320,,,95%,$0.700,,,
J3030,Sumatriptan succinate / 6 MG,6 MG,$57.401,,,,,,,
J3070,Pentazocine injection,30 MG,$5.260,,,,,,,
J3100,Tenecteplase injection,50 MG,"$2,036.663",,,,,,,
J3105,Terbutaline sulfate inj,1 MG,$4.026,,,,,,,
J3120,Testosterone enanthate inj,100 MG,$4.383,,,,,,,
J3130,Testosterone enanthate inj,200 MG,$11.256,,,,,,,
J3230,Chlorpromazine hcl injection,50 MG,$3.669,,,,,,,
J3240,Thyrotropin injection,0.9 MG,$765.760,,,,,,,
J3246,Tirofiban HCl,0.25 MG,$8.739,,,,,,,
J3250,Trimethobenzamide hcl inj,200 MG,$4.411,,,,,,,
J3260,Tobramycin sulfate injection,80 MG,$2.059,,,,,,,
J3265,Injection torsemide 10 mg/ml,10 MG,$2.344,,,,,,,
J3285,Treprostinil injection,1 MG,$54.018,,,,,,,
J3301,Triamcinolone acetonide inj,10 MG,$1.400,,,,,,,
J3302,Triamcinolone diacetate inj,5 MG,$0.280,,,,,,,
J3303,Triamcinolone hexacetonl inj,5 MG,$1.300,,,,,,,
J3305,Inj trimetrexate glucoronate,25 MG,$145.171,,,,,,,
J3315,Triptorelin pamoate,3.75 MG,$218.530,,,,,,,
J3320,Spectinomycn di-hcl inj,2 GM,$30.083,,,,,,,
J3355,"Urofollitropin, 75 iu",75 IU,$49.345,,,,,,,
J3360,Diazepam injection,5 MG,$0.708,,,,,,,
J3364,Urokinase 5000 IU injection,5000 IU,$9.155,,,,,,,
J3365,"Urokinase 250,000 IU inj",250000 IU,$457.729,,,,,,,
J3370,Vancomycin hcl injection,500 MG,$3.346,,,,,,,
J3396,Verteporfin injection,0.1 MG,$8.905,,,,,,,
J3410,Hydroxyzine hcl injection,25 MG,$0.186,,,,,,,
J3411,Thiamine hcl 100 mg,100 MG,$2.082,,,,,,,
J3415,Pyridoxine hcl 100 mg,100 MG,$3.250,,,,,,,
J3420,Vitamin b12 injection,1000 MCG,$0.281,,,,,,,
J3430,Vitamin k phytonadione inj,1 MG,$2.888,,,,,,,
J3465,"Injection, voriconazole",10 MG,$4.657,,,,,,,
J3470,Hyaluronidase injection,150 UNITS,$17.126,,,,,,,
J3471,"Ovine, up to 999 USP units",1 USP UNIT,$0.112,,,,,,,
J3472,"Ovine, 1000 USP units",1000 USP UNITS,$137.426,,,,,,,
J3475,Inj magnesium sulfate,500 MG,$0.111,,,,,,,
J3480,Inj potassium chloride,2 MEQ,$0.019,,,,,,,
J3485,Zidovudine,10 MG,$1.058,,,,,,,
J3486,Ziprasidone mesylate,10 MG,$5.045,,,,,,,
J3487,Zoledronic acid,1 MG,$204.031,,,,,,,
J7030,Normal saline solution infus,1000 CC,$1.037,,,,,,,
J7040,Normal saline solution infus,500 ML,$0.518,,,,,,,
J7042,5% dextrose/normal saline,500 ML,$0.391,,,,,,,
J7050,Normal saline solution infus,250 CC,$0.259,,,,,,,
J7060,5% dextrose/water,500 ML,$1.268,,,,,,,
J7070,D5w infusion,1000 CC,$2.534,,,,,,,
J7100,Dextran 40 infusion,500 ML,$14.807,,,,,,,
J7110,Dextran 75 infusion,500 ML,$8.310,,,,,,,
J7120,Ringers lactate infusion,1000 CC,$0.890,,,,,,,
J7188,Inj Vonwillebrand factor iu,1 IU,$0.877,,,,,,,
J7189,Factor viia,1 MCG,$1.097,,,,,,,
J7190,Factor viii,1 IU,$0.685,,,,,,,
J7192,Factor viii recombinant,1 IU,$1.057,,,,,,,
J7193,Factor IX non-recombinant,1 IU,$0.901,,,,,,,
J7194,Factor ix complex,1 IU,$0.718,,,,,,,
J7195,Factor IX recombinant,1 IU,$0.985,,,,,,,
J7197,Antithrombin iii injection,1 IU,$1.619,,,,,,,
J7198,Anti-inhibitor,1 IU,$1.360,,,,,,,
J7308,Aminolevulinic acid hcl top,354 MG,$107.721,,,,,,,
J7310,Ganciclovir long act implant,4.5 MG,"$4,766.142",,,,,,,
