Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,
,,,,,,,,,,,,
"Effective October 1, 2013 through December 31, 2013",,,,,,,,,,,,
,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q13 ASP data. ,,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,,
processing the claim.,,,,,,,,,,,,
,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,
90685,Flu vac no prsv 4 val 6-35 m,0.25 mL,23.228,95,23.228,,,,,,Added October 2013,
90686,Flu vac no prsv 4 val 3 yrs+,0.5 ml,19.409,95,19.409,,,,,,Added October 2013,
90691,"Typhoid vaccine, im",0.5 ML,62.552,,,,,,,,,
90703,"Tetanus vaccine, im",0.5 ML,39.285,,,,,,,,,
90714,"Td vaccine no prsrv >/= 7 yo, im",0.5 ML,19.474,,,,,,,,,
90715,"Tdap => 7 yo, im",0.5 ML,33.799,,,,,,,,,
90717,"Yellow fever vaccine, sc",0.5 ML,75.060,,,,,,,,,
90732,Pneumococcal vaccine,0.5 ML,72.352,95,72.352,,,,,,,
90733,"Meningococcal vaccine, sc",0.5 ML,106.492,,,,,,,,,
90735,"Encephalitis vaccine, sc",1 ML,102.078,,,,,,,,,
90740,"Hepb vacc, ill pat 3 dose im",40 MCG,119.415,95,119.415,,,,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,24.216,95,24.216,,,,,,,
90744,Hepb vacc ped/adol 3 dose im,1 DOSE,24.216,95,24.216,,,,,,,
90746,"Hep b vaccine, adult, im",20 MCG,59.708,95,59.708,,,,,,,
90747,"Hepb vacc, ill pat 4 dose im",40 MCG,119.415,95,119.415,,,,,,,
A9576,Inj prohance multipack,1 ML,1.807,,,,,,,,,
A9577,Inj multihance,1 ML,2.216,,,,,,,,,
A9578,Inj multihance multipack,1 ML,2.114,,,,,,,,,
A9579,"Gad-base MR contrast NOS,1ml",1 ML,1.948,,,,,,,,,
A9581,Gadoxetate disodium inj,1 ML,13.274,,,,,,,,,
A9583,Gadofosveset trisodium inj,1 ML,11.721,,,,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.405,,,,,,,,,
J0129,Abatacept injection,10 MG,23.060,,,,,,,,,
J0130,Abciximab injection,10 MG,651.253,,,,,,,,,
J0132,Acetylcysteine injection,100 MG,2.652,,,,,,,,,
J0133,Acyclovir injection,5 MG,0.048,,,,,,,,,
J0135,Adalimumab injection,20 MG,515.891,,,,,,,,,
J0150,Injection adenosine 6 MG,6 MG,5.831,,,,,,,,,
J0152,Adenosine injection,30 MG,109.379,,,,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.057,,,,,,,,,
J0178,Aflibercept injection (ophthalmic),1 MG,980.500,,,,,,,,,
J0180,Agalsidase beta injection,1 MG,146.193,,,,,,,,,
J0207,Amifostine,500 MG,298.541,,,,,,,,,
J0210,Methyldopate hcl injection,250 MG,42.400,,,,,,,,,
J0215,Alefacept,0.5 MG,41.644,,,,,,,,,
J0220,Alglucosidase alfa injection,10 MG,206.640,,,,,,,,,
J0221,Lumizyme injection,10 MG,153.602,,,,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.024,,,,,,,,,
J0257,Glassia injection,10 MG,3.986,,,,,,,,,
J0278,Amikacin sulfate injection,100 MG,1.075,,,,,,,,,
J0280,Aminophyllin 250 MG inj,250 MG,1.188,,,,,,,,,
J0285,Amphotericin B,50 MG,11.374,,,95,10.280,,,,,
J0287,Amphotericin b lipid complex,10 MG,11.415,,,95,21.850,,,,,
J0288,Ampho b cholesteryl sulfate,10 MG,14.000,,,95,15.200,,,,,
J0289,Amphotericin b liposome inj,10 MG,15.574,,,95,35.800,,,,,
J0290,Ampicillin 500 MG inj,500 MG,1.451,,,,,,,,updated July 2014,
J0295,Ampicillin sodium per 1.5 gm,1.5 GM,1.661,,,,,,,,,
J0348,Anidulafungin injection,1 MG,0.847,,,,,,,,,
J0360,Hydralazine hcl injection,20 MG,3.143,,,,,,,,,
J0364,Apomorphine hydrochloride,1 MG,33.064,,,,,,,,,
J0365,"Aprotonin, 10,000 kiu",10000 KIU,2.646,,,,,,,,,
J0400,Aripiprazole injection,0.25 MG,0.545,,,,,,,,,
J0456,Azithromycin,500 MG,3.314,,,,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.044,,,,,,,,,
J0470,Dimecaprol injection,100 MG,29.554,,,,,,,,,
J0475,Baclofen 10 MG injection,10 MG,160.302,,,95,215.180,,,,,
J0476,Baclofen intrathecal trial,50 MCG,74.105,,,95,79.800,,,,,
J0480,Basiliximab,20 MG,2442.922,,,,,,,,,
J0485,Belatacept injection,1 MG,3.802,,,,,,,,,
J0490,Belimumab injection,10 MG,38.252,,,,,,,,,
J0500,Dicyclomine injection,20 MG,38.609,,,,,,,,,
J0515,Inj benztropine mesylate,1 MG,21.023,,,,,,,,,
J0558,PenG benzathine/procaine inj,"100,000 UNITS",4.044,,,,,,,,,
J0561,Penicillin g benzathine inj,"100,000 UNITS",5.081,,,,,,,,,
J0583,Bivalirudin,1 MG,3.210,,,,,,,,,
J0585,"Injection,onabotulinumtoxinA",1 UNIT,5.453,,,,,,,,,
J0586,AbobotulinumtoxinA,5 Unit,7.053,,,,,,,,,
J0587,"Inj, rimabotulinumtoxinB",100 UNITS,10.889,,,,,,,,,
J0588,Incobotulinumtoxin A,1 UNIT,4.476,,,,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,0.989,,,,,,,,,
J0594,Busulfan injection,1 MG,25.184,,,,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,1.745,,,,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,32.693,,,,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,49.335,,,,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,201.400,,,,,,,,,
J0610,Calcium gluconate injection,10 ML,1.073,,,,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,69.048,,,,,,,,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.371,,,,,,,,,
J0637,Caspofungin acetate,5 MG,13.345,,,,,,,,,
J0638,Canakinumab injection,1 MG,91.021,,,,,,,,,
J0640,Leucovorin calcium injection,50 MG,4.501,,,,,,,,,
J0641,Levoleucovorin injection,0.5 MG,1.744,,,,,,,,,
J0670,Inj mepivacaine HCL/10 ml,10 ML,2.432,,,,,,,,,
J0690,Cefazolin sodium injection,500 MG,0.879,,,,,,,,,
J0692,Cefepime HCl for injection,500 MG,2.878,,,,,,,,,
J0694,Cefoxitin sodium injection,1 GM,5.191,,,,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.741,,,,,,,,,
J0697,Sterile cefuroxime injection,750 MG,3.162,,,,,,,,,
J0698,Cefotaxime sodium injection,1 GM,1.748,,,,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,5.700,,,,,,,,,
J0706,Caffeine citrate injection,5 MG,0.517,,,,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,0.878,,,,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,1.946,,,,,,,,updated July 2014,
J0718,Certolizumab pegol inj,1 MG,5.178,,,,,,,,,
J0720,Chloramphenicol sodium injec,1 GM,29.460,,,,,,,,,
J0725,Chorionic gonadotropin/1000u,1000 UNITS,15.403,,,,,,,,,
J0735,Clonidine hydrochloride,1 MG,21.885,,,,,,,,,
J0740,Cidofovir injection,375 MG,648.433,,,,,,,,,
J0743,Cilastatin sodium injection,250 MG,5.694,,,,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.157,,,,,,,,,
J0770,Colistimethate sodium inj,150 MG,12.356,,,,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,38.572,,,,,,,,,
J0780,Prochlorperazine injection,10 MG,4.073,,,,,,,,,
J0795,Corticorelin ovine triflutal,1 MCG,7.780,,,,,,,,,
J0800,Corticotropin injection,40 UNITS,3050.437,,,,,,,,,
J0834,Cosyntropin cortrosyn inj,0.25 MG,65.444,,,,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,2349.902,,,,,,,,,
J0850,Cytomegalovirus imm IV /vial,PER VIAL,1013.869,,,,,,,,,
J0878,Daptomycin injection,1 MG,0.604,,,,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,3.666,,,,,,,,updated July 2014,
J0882,"Darbepoetin alfa, esrd use",1 MCG,3.666,,,,,,,,updated July 2014,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,11.222,,,,,,,,,
J0886,Epoetin alfa 1000 units ESRD,1000 UNITS,11.222,,,,,,,,,
J0894,Decitabine injection,1 MG,34.782,,,,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,7.885,,,95,15.630,,,,,
J0897,Denosumab injection,1 MG,14.153,,,,,,,,,
J1000,Depo-estradiol cypionate inj,5 MG,8.103,,,,,,,,,
J1020,Methylprednisolone 20 MG inj,20 MG,2.996,,,,,,,,,
J1030,Methylprednisolone 40 MG inj,40 MG,2.735,,,,,,,,,
J1040,Methylprednisolone 80 MG inj,80 MG,5.302,,,,,,,,,
J1050,Medroxyprogesterone acetate,1 MG,0.217,,,,,,,,,
J1070,Testosterone cypionat 100 MG,100 MG,4.478,,,,,,,,,
J1080,Testosterone cypionat 200 MG,200 MG,5.051,,,,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.121,,,,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,33.469,,,,,,,,AMP-based payment limit,
J1120,Acetazolamid sodium injectio,500 MG,26.536,,,,,,,,,
J1160,Digoxin injection,0.5 MG,2.037,,,,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,1241.366,,,,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.542,,,,,,,,,
J1170,Hydromorphone injection,4 MG,2.209,,,95,1.490,,,,,
J1190,Dexrazoxane HCl injection,250 MG,139.651,,,,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.637,,,,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,163.981,,,,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ML,50 ML,79.320,,,,,,,,,
J1230,Methadone injection,10 MG,7.460,,,95,0.750,,,,,
J1240,Dimenhydrinate injection,50 MG,5.189,,,,,,,,,
J1245,Dipyridamole injection,10 MG,0.824,,,,,,,,,
J1250,Inj dobutamine HCL/250 mg,250 MG,8.303,,,95,4.740,,,,,
J1260,Dolasetron mesylate,10 MG,5.462,,,,,,,,,
J1265,Dopamine injection,40 MG,0.513,,,,,,,,,
J1267,Doripenem injection,10 MG,0.559,,,,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,1.670,,,,,,,,AMP-based payment limit,
J1290,Ecallantide injection,1 MG,355.641,,,,,,,,,
J1300,Eculizumab injection,10 MG,201.117,,,,,,,,,
J1325,Epoprostenol injection,0.5 MG,15.728,,,95,12.640,,,,,
J1327,Eptifibatide injection,5 MG,28.076,,,,,,,,,
J1335,Ertapenem injection,500 MG,33.702,,,,,,,,,
J1364,Erythro lactobionate /500 MG,500 MG,21.017,,,,,,,,,
J1380,Estradiol valerate 10 MG inj,10 MG,8.689,,,,,,,,,
J1410,Inj estrogen conjugate 25 MG,25 MG,149.566,,,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,299.937,,,,,,,,,
J1438,Etanercept injection,25 MG,255.101,,,,,,,,,
J1440,Filgrastim 300 mcg injection,300 MCG,288.256,,,,,,,,updated July 2014,
J1441,Filgrastim 480 mcg injection,480 MCG,457.997,,,,,,,,updated July 2014,
J1450,Fluconazole,200 MG,3.893,,,,,,,,,
J1451,"Fomepizole, 15 mg",15 MG,7.173,,,,,,,,,
J1453,Fosaprepitant injection,1 MG,1.717,,,,,,,,,
J1458,Galsulfase injection,1 MG,359.703,,,,,,,,,
J1459,Inj IVIG privigen 500 mg,500 MG,36.517,,,,,,,,,
J1460,Gamma globulin 1 CC inj,1 CC,23.977,,,,,,,,,
J1557,Gammaplex injection,500 MG,36.782,,,,,,,,,
J1559,Hizentra injection,100 MG,7.651,,,,,,,,,
J1560,Gamma globulin > 10 CC inj,10 CC,239.774,,,,,,,,,
J1561,Gamunex-C/Gammaked,500 MG,40.468,,,,,,,,,
J1566,"Immune globulin, powder",500 MG,35.748,,,,,,,,,
J1568,Octagam injection,500 MG,31.491,,,,,,,,,
J1569,Gammagard liquid injection,500 MG,39.265,,,,,,,,,
J1570,Ganciclovir sodium injection,500 MG,73.710,,,95,35.250,,,,,
J1571,Hepagam b im injection,0.5 ML,51.030,,,,,,,,,
J1572,Flebogamma injection,500 MG,36.080,,,,,,,,,
J1573,"Hepagam b intravenous, inj",0.5 ML,51.030,,,,,,,,,
J1580,Garamycin gentamicin inj,80 MG,1.448,,,,,,,,,
J1600,Gold sodium thiomaleate inj,50 MG,30.153,,,,,,,,,
J1610,Glucagon hydrochloride/1 MG,1 MG,127.978,,,,,,,,,
J1626,Granisetron hcl injection,100 MCG,0.502,,,,,,,,,
J1630,Haloperidol injection,5 MG,1.323,,,,,,,,,
J1631,Haloperidol decanoate inj,50 MG,19.620,,,,,,,,,
J1640,"Hemin, 1 mg",1 MG,16.586,,,,,,,,,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.152,,,,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.182,,,,,,,,,
J1645,Dalteparin sodium,2500 IU,12.988,,,,,,,,,
J1650,Inj enoxaparin sodium,10 MG,1.576,,,,,,,,updated July 2014,
J1652,Fondaparinux sodium,0.5 MG,3.912,,,,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,272.515,,,,,,,,,
J1720,Hydrocortisone sodium succ i,100 MG,4.825,,,,,,,,,
J1740,Ibandronate sodium injection,1 MG,155.248,,,,,,,,,
J1742,Ibutilide fumarate injection,1 MG,78.930,,,,,,,,,
J1743,Idursulfase injection,1 MG,469.120,,,,,,,,,
J1745,Infliximab injection,10 MG,69.958,,,,,,,,,
J1750,Inj iron dextran,50 MG,12.130,,,,,,,,,
J1756,Iron sucrose injection,1 MG,0.272,,,,,,,,,
J1786,Imuglucerase injection,10 UNITS,42.007,,,,,,,,,
J1790,Droperidol injection,5 MG,2.141,,,,,,,,,
J1800,Propranolol injection,1 MG,2.041,,,,,,,,,
J1815,Insulin injection,5 UNITS,0.590,,,,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,5.850,,,95,2.800,,,,,
J1840,Kanamycin sulfate 500 MG inj,500 MG,7.685,,,,,,,,,
J1850,Kanamycin sulfate 75 MG inj,75 MG,1.153,,,,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.596,,,,,,,,,
J1930,Lanreotide injection,1 MG,37.161,,,,,,,,,
J1931,Laronidase injection,0.1 MG,28.313,,,,,,,,,
J1940,Furosemide injection,20 MG,3.606,,,,,,,,,
J1945,Lepirudin,50 MG,570.540,,,,,,,,,
J1950,Leuprolide acetate /3.75 MG,3.75 MG,747.918,,,,,,,,,
J1953,Levetiracetam injection,10 MG,0.151,,,,,,,,AMP-based payment limit,
J1955,Inj levocarnitine per 1 gm,1 GM,8.734,,,,,,,,,
J1956,Levofloxacin injection,250 MG,2.559,,,,,,,,,
J1980,Hyoscyamine sulfate inj,0.25 MG,17.277,,,,,,,,,
J2001,Lidocaine injection,10 MG,0.018,,,,,,,,,
J2010,Lincomycin injection,300 MG,7.766,,,,,,,,,
J2020,Linezolid injection,200 MG,39.710,,,,,,,,,
J2060,Lorazepam injection,2 MG,0.711,,,,,,,,,
J2150,Mannitol injection,50 ML,1.420,,,,,,,,,
J2175,Meperidine hydrochl /100 MG,100 MG,2.373,,,95,0.560,,,,,
J2185,Meropenem,100 MG,0.751,,,,,,,,updated July 2014,
J2210,Methylergonovin maleate inj,0.2 MG,3.941,,,,,,,,,
J2248,Micafungin sodium injection,1 MG,0.948,,,,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.129,,,,,,,,,
J2260,Inj milrinone lactate / 5 MG,5 MG,2.582,,,95,51.580,,,,,
J2270,Morphine sulfate injection,10 MG,5.285,,,95,0.710,,,,,
J2271,Morphine so4 injection 100mg,100 MG,0.529,,,95,11.070,,,,,
J2275,Morphine sulfate injection,10 MG,3.776,,,95,4.390,,,,,
J2278,Ziconotide injection,1 MCG,6.602,,,,,,,,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,3.388,,,,,,,,,
J2300,Inj nalbuphine hydrochloride,10 MG,1.269,,,,,,,,,
J2310,Inj naloxone hydrochloride,1 MG,13.656,,,,,,,,,
J2315,"Naltrexone, depot form",1 MG,2.804,,,,,,,,,
J2323,Natalizumab injection,1 MG,12.992,,,,,,,,updated January 2014,
J2325,Nesiritide injection,0.1 MG,60.255,,,,,,,,,
J2353,"Octreotide injection, depot",1 MG,136.138,,,,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,1.423,,,,,,,,,
J2355,Oprelvekin injection,5 MG,276.596,,,,,,,,,
J2357,Omalizumab injection,5 MG,25.520,,,,,,,,,
J2358,Olanzapine long-acting inj,1 MG,2.753,,,,,,,,,
J2360,Orphenadrine injection,60 MG,5.232,,,,,,,,AMP-based payment limit,
J2370,Phenylephrine hcl injection,1 ML,4.590,,,,,,,,updated July 2014,
J2400,Chloroprocaine hcl injection,30 ML,16.529,,,,,,,,,
J2405,Ondansetron hcl injection,1 MG,0.119,,,,,,,,,
J2410,Oxymorphone hcl injection,1 MG,2.351,,,,,,,,,
J2425,Palifermin injection,50 MCG,14.365,,,,,,,,,
J2426,Paliperidone palmitate inj,1 MG,7.434,,,,,,,,,
J2430,Pamidronate disodium /30 MG,30 MG,10.717,,,,,,,,,
J2469,Palonosetron hcl,25 MCG,19.384,,,,,,,,,
J2501,Paricalcitol,1 MCG,1.619,,,,,,,,,
J2503,Pegaptanib sodium injection,0.3 MG,1026.695,,,,,,,,,
J2504,"Pegademase bovine, 25 iu",25 IU,275.883,,,,,,,,,
J2505,"Injection, pegfilgrastim 6mg",6 MG,3123.833,,,,,,,,updated July 2014,
J2507,Pegloticase injection,1 MG,508.885,,,,,,,,,
J2510,Penicillin g procaine inj,600000 UNITS,14.927,,,,,,,,,
J2515,Pentobarbital sodium inj,50 MG,32.159,,,,,,,,,
J2540,Penicillin g potassium inj,600000 UNITS,0.603,,,,,,,,,
J2543,Piperacillin/tazobactam,1.125 GM,1.701,,,,,,,,,
J2545,Pentamidine non-comp unit,300 MG,82.924,,,,,,,,,
J2550,Promethazine hcl injection,50 MG,1.570,,,,,,,,,
J2560,Phenobarbital sodium inj,120 MG,14.445,,,,,,,,,
J2562,Plerixafor injection,1 MG,297.654,,,,,,,,,
J2590,Oxytocin injection,10 UNITS,0.431,,,,,,,,,
J2597,Inj desmopressin acetate,1 MCG,5.628,,,,,,,,,
J2675,Inj progesterone per 50 MG,50 MG,1.491,,,,,,,,,
J2680,Fluphenazine decanoate 25 MG,25 MG,18.995,,,,,,,,,
J2690,Procainamide hcl injection,1 GM,18.861,,,,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,1.723,,,,,,,,updated July 2014,
J2720,Inj protamine sulfate/10 MG,10 MG,0.861,,,,,,,,,
J2724,Protein c concentrate,10 UNITS,14.258,,,,,,,,,
J2730,Pralidoxime chloride inj,1 GM,88.934,,,,,,,,,
J2760,Phentolaine mesylate inj,5 MG,114.639,,,,,,,,,
J2765,Metoclopramide hcl injection,10 MG,0.530,,,,,,,,,
J2770,Quinupristin/dalfopristin,500 MG,194.323,,,,,,,,,
J2778,Ranibizumab injection,0.1 mg,397.258,,,,,,,,,
J2780,Ranitidine hydrochloride inj,25 MG,1.062,,,,,,,,,
J2783,Rasburicase,0.5 MG,211.353,,,,,,,,,
J2785,Regadenoson injection,0.1 MG,53.427,,,,,,,,,
J2788,Rho d immune globulin 50 mcg,50 MCG (250 IU),25.145,,,,,,,,Updated April 2014,
J2790,Rho d immune globulin inj,300 MCG (1500 IU),82.685,,,,,,,,,
J2791,Rhophylac injection,100 IU,4.778,,,,,,,,,
J2792,"Rho(D) immune globulin h, sd",100 IU,18.674,,,,,,,,,
J2794,"Risperidone, long acting",0.5 MG,5.777,,,,,,,,,
J2795,Ropivacaine HCl injection,1 MG,0.099,,,,,,,,,
J2796,Romiplostim injection,10 MCG,51.117,,,,,,,,,
J2800,Methocarbamol injection,10 ML,38.132,,,,,,,,,
J2805,Sincalide injection,5 MCG,83.109,,,,,,,,,
J2810,Inj theophylline per 40 MG,40 MG,0.308,,,,,,,,,
J2820,Sargramostim injection,50 MCG,28.592,,,,,,,,,
J2850,Inj secretin synthetic human,1 MCG,27.494,,,,,,,,,
J2916,Na ferric gluconate complex,12.5 MG,2.904,,,,,,,,,
J2920,Methylprednisolone injection,40 MG,1.741,,,,,,,,,
J2930,Methylprednisolone injection,125 MG,2.576,,,,,,,,,
J2993,Reteplase injection,18.1 MG,2301.907,,,,,,,,,
J2997,Alteplase recombinant,1 MG,56.014,,,,,,,,,
J3000,Streptomycin injection,1 GM,10.280,,,,,,,,,
J3010,Fentanyl citrate injeciton,0.1 MG,0.596,,,95,0.700,,,,,
J3070,Pentazocine injection,30 MG,31.745,,,,,,,,,
J3095,Telavancin injection,10 MG,2.646,,,,,,,,,
J3101,Tenecteplase injection,1 MG,78.986,,,,,,,,,
J3105,Terbutaline sulfate inj,1 MG,1.634,,,,,,,,,
J3120,Testosterone enanthate inj,100 MG,7.204,,,,,,,,,
J3130,Testosterone enanthate inj,200 MG,10.198,,,,,,,,,
J3230,Chlorpromazine hcl injection,50 MG,19.899,,,,,,,,,
J3240,Thyrotropin injection,0.9 MG,1212.342,,,,,,,,,
J3243,Tigecycline injection,1 MG,1.770,,,,,,,,,
J3246,Tirofiban HCl,0.25 MG,8.954,,,,,,,,,
J3250,Trimethobenzamide hcl inj,200 MG,10.354,,,,,,,,,
J3260,Tobramycin sulfate injection,80 MG,2.290,,,,,,,,,
J3262,Tocilizumab injection,1 MG,3.703,,,,,,,,,
J3285,Treprostinil injection,1 MG,61.237,,,,,,,,,
J3300,Triamcinolone A inj PRS-free,1 MG,3.955,,,,,,,,,
J3301,Triamcinolone acet inj NOS,10 MG,1.740,,,,,,,,,
J3302,Triamcinolone diacetate inj,5 MG,0.280,,,,,,,,,
J3303,Triamcinolone hexacetonl inj,5 MG,2.558,,,,,,,,updated July 2014,
J3315,Triptorelin pamoate,3.75 MG,199.088,,,,,,,,,
J3355,"Urofollitropin, 75 iu",75 IU,67.368,,,,,,,,,
J3357,Ustekinumab injection,1 MG,142.166,,,,,,,,,
J3360,Diazepam injection,5 MG,3.261,,,,,,,,,
J3370,Vancomycin hcl injection,500 MG,1.940,,,,,,,,,
J3385,Velaglucerase alfa,100 UNITS,348.350,,,,,,,,,
J3396,Verteporfin injection,0.1 MG,10.445,,,,,,,,,
J3410,Hydroxyzine hcl injection,25 MG,0.392,,,,,,,,,
J3411,Thiamine hcl 100 mg,100 MG,3.573,,,,,,,,,
J3415,Pyridoxine hcl 100 mg,100 MG,8.217,,,,,,,,,
J3420,Vitamin b12 injection,1000 MCG,0.810,,,,,,,,,
J3430,Vitamin k phytonadione inj,1 MG,0.773,,,,,,,,,
J3465,"Injection, voriconazole",10 MG,4.485,,,,,,,,,
J3470,Hyaluronidase injection,150 UNITS,21.200,,,,,,,,,
J3473,Hyaluronidase recombinant,1 USP UNIT,0.310,,,,,,,,,
J3475,Inj magnesium sulfate,500 MG,0.227,,,,,,,,,
J3480,Inj potassium chloride,2 MEQ,0.013,,,,,,,,,
J3485,Zidovudine,10 MG,1.499,,,,,,,,,
J3486,Ziprasidone mesylate,10 MG,9.544,,,,,,,,,
J7030,Normal saline solution infus,1000 ML,1.146,,,,,,,,,
J7040,Normal saline solution infus,500 ML,0.573,,,,,,,,,
J7042,5% dextrose/normal saline,500 ML,0.485,,,,,,,,,
J7050,Normal saline solution infus,250 ML,0.286,,,,,,,,,
J7060,5% dextrose/water,500 ML,1.016,,,,,,,,,
J7070,D5w infusion,1000 CC,2.018,,,,,,,,,
J7100,Dextran 40 infusion,500 ML,21.760,,,,,,,,,
J7120,Ringers lactate infusion,1000 CC,1.001,,,,,,,,,
J7183,Wilate injection,1 I.U. VWF:RCO,0.912,,,,,,,1,,
J7185,Xyntha inj,1 IU,1.136,,,,,,,1,,
J7186,Antihemophilic viii/vwf comp,PER FACTOR VIII IU,0.930,,,,,,,1,,
J7187,"Humate-P, inj",1 IU,0.904,,,,,,,1,,
J7189,Factor viia,1 MCG,1.650,,,,,,,1,,
J7190,Factor viii,1 IU,0.920,,,,,,,1,,
J7192,Factor viii recombinant NOS,1 IU,1.128,,,,,,,1,,
J7193,Factor IX non-recombinant,1 IU,0.949,,,,,,,1,,
J7194,Factor ix complex,1 IU,1.098,,,,,,,1,,
J7195,Factor IX recombinant,1 IU,1.383,,,,,,,1,,
J7197,Antithrombin iii injection,1 IU,3.106,,,,,,,,,
J7198,Anti-inhibitor,1 IU,1.638,,,,,,,1,,
J7308,Aminolevulinic acid hcl top,354 MG,172.600,,,,,,,,,
J7309,"Methyl aminolevulinate, top",1 GM,83.687,,,,,,,,,
J7310,Ganciclovir long act implant,4.5 MG,16960.000,,,,,,,,,
J7311,Fluocinolone acetonide implt,0.59 MG,19345.000,,,,,,,,,
