Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Effective October 1, 2016 through December 31, 2016",,,,,,,,,,,,,
,,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q16 ASP data. ,,,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,,,
processing the claim.,,,,,,,,,,,,,
,,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.493,,,,,,,,,,
J0637,Caspofungin acetate,5 MG,12.214,,,,,,,,,,
J0638,Canakinumab injection,1 MG,92.494,,,,,,,,,,
J0640,Leucovorin calcium injection,50 MG,3.092,,,,,,,,,,
J0641,Levoleucovorin injection,0.5 MG,0.898,,,,,,,,,,
J0670,Inj mepivacaine HCL/10 ml,10 ML,2.318,,,,,,,,,,
J0690,Cefazolin sodium injection,500 MG,0.948,,,,,,,,,,
J0692,Cefepime HCl for injection,500 MG,2.456,,,,,,,,,,
J0694,Cefoxitin sodium injection,1 GM,4.624,,,,,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.496,,,,,,,,,,
J0697,Sterile cefuroxime injection,750 MG,2.873,,,,,,,,,,
J0698,Cefotaxime sodium injection,1 GM,0.460,,,,,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,6.030,,,,,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,2.480,,,,,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,2.255,,,,,,,,,,
J0717,Certolizumab Pegol Inj 1mg,1 MG,7.111,,,,,,,,updated October 2017,,
J0720,Chloramphenicol sodium injec,1 GM,40.361,,,,,,,,,,
J0725,Chorionic gonadotropin/1000u,1000 UNITS,24.619,,,,,,,,,,
J0735,Clonidine hydrochloride,1 MG,14.305,,,,,,,,,,
J0740,Cidofovir injection,375 MG,554.484,,,,,,,,,,
J0743,Cilastatin sodium injection,250 MG,7.079,,,,,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.152,,,,,,,,,,
J0770,Colistimethate sodium inj,150 MG,11.185,,,,,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,41.415,,,,,,,,,,
J0780,Prochlorperazine injection,10 MG,11.932,,,,,,,,,,
J0795,Corticorelin ovine triflutal,1 MCG,8.120,,,,,,,,,,
J0800,Corticotropin injection,40 UNITS,3555.346,,,,,,,,,,
J0834,Cosyntropin cortrosyn inj,0.25 MG,43.702,,,,,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,2670.235,,,,,,,,,,
J0850,Cytomegalovirus imm IV /vial,PER VIAL,1126.546,,,,,,,,,,
J0875,"Injection, dalbavancin",5 MG,15.216,,,,,,,,,,
J0878,Daptomycin injection,1 MG,0.904,,,,,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,3.933,,,,,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,3.933,,,,,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,12.591,,,,,,,,,,
J0887,Epoetin beta esrd use,1 MCG,1.479,,,,,,,,,,
J0888,Epoetin beta non esrd,1 MCG,1.479,,,,,,,,,,
J0894,Decitabine injection,1 MG,20.832,,,,,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,8.849,,,95,15.630,,,,,,
J0897,Denosumab injection,1 MG,16.227,,,,,,,,,,
J1000,Depo-estradiol cypionate inj,5 MG,16.798,,,,,,,,,,
J1020,Methylprednisolone 20 MG inj,20 MG,4.821,,,,,,,,,,
J1030,Methylprednisolone 40 MG inj,40 MG,5.222,,,,,,,,,,
J1040,Methylprednisolone 80 MG inj,80 MG,9.800,,,,,,,,,,
J1050,Medroxyprogesterone acetate,1 MG,0.417,,,,,,,,,,
J1071,Inj testosterone cypionate,1 MG,0.023,,,,,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.117,,,,,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,75.490,,,,,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,21.184,,,,,,,,,,
J1160,Digoxin injection,0.5 MG,4.817,,,,,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,3039.529,,,,,,,,,,
J1165,Phenytoin sodium injection,50 MG,1.414,,,,,,,,,,
J1170,Hydromorphone injection,4 MG,2.143,,,95,1.490,,,,,,
J1190,Dexrazoxane HCl injection,250 MG,184.046,,,,,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.627,,,,,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,86.677,,,,,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ML,50 ML,481.940,,,,,,,,,,
J1230,Methadone injection,10 MG,17.142,,,95,0.750,,,,,,
J1240,Dimenhydrinate injection,50 MG,6.322,,,,,,,,,,
J1245,Dipyridamole injection,10 MG,0.784,,,,,,,,,,
J1250,Inj dobutamine HCL/250 mg,250 MG,5.272,,,95,4.740,,,,,,
J1260,Dolasetron mesylate,10 MG,6.168,,,,,,,,,,
J1265,Dopamine injection,40 MG,0.649,,,,,,,,,,
J1267,Doripenem injection,10 MG,0.775,,,,,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,0.918,,,,,,,,,,
J1290,Ecallantide injection,1 MG,399.562,,,,,,,,,,
J1300,Eculizumab injection,10 MG,221.116,,,,,,,,,,
J1325,Epoprostenol injection,0.5 MG,15.483,,,95,12.640,,,,,,
J1335,Ertapenem injection,500 MG,45.170,,,,,,,,,,
J1364,Erythro lactobionate /500 MG,500 MG,59.290,,,,,,,,,,
J1380,Estradiol valerate 10 MG inj,10 MG,9.076,,,,,,,,,,
J1410,Inj estrogen conjugate 25 MG,25 MG,261.395,,,,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,404.093,,,,,,,,,,
J1439,Inj ferric carboxymaltos 1mg,1 MG,1.051,,,,,,,,,,
J1442,Inj filgrastim excl biosimil,1 MCG,1.003,,,,,,,,,,
J1447,Inj tbo filgrastim 1 microg,1 MCG,0.742,,,,,,,,,,
J1450,Fluconazole,200 MG,4.336,,,,,,,,,,
J1453,Fosaprepitant injection,1 MG,1.886,,,,,,,,,,
J1458,Galsulfase injection,1 MG,364.405,,,,,,,,,,
J1459,Inj IVIG privigen 500 mg,500 MG,37.898,,,,,,,,,,
J1460,Gamma globulin 1 CC inj,1 CC,36.412,,,,,,,,,,
J1556,"Inj, Imm Glob Bivigam, 500mg",500 MG,39.521,,,,,,,,,,
J1557,Gammaplex injection,500 MG,37.032,,,,,,,,,,
J1559,Hizentra injection,100 MG,9.829,,,,,,,,,,
J1560,Gamma globulin > 10 CC inj,10 CC,364.120,,,,,,,,,,
J1561,Gamunex-C/Gammaked,500 MG,38.582,,,,,,,,,,
J1566,"Immune globulin, powder",500 MG,33.073,,,,,,,,,,
J1568,Octagam injection,500 MG,35.980,,,,,,,,AMP-based payment limit,,
J1569,Gammagard liquid injection,500 MG,39.995,,,,,,,,,,
J1570,Ganciclovir sodium injection,500 MG,58.653,,,95,35.250,,,,AMP-based payment limit,,
J1571,Hepagam b im injection,0.5 ML,56.058,,,,,,,,,,
J1572,Flebogamma injection,500 MG,36.804,,,,,,,,,,
J1575,Hyqvia 100mg immuneglobulin,100 MG,12.744,,,,,,,,,,
J1580,Garamycin gentamicin inj,80 MG,1.405,,,,,,,,,,
J1602,Golimumab for iv use 1mg,1 MG,24.787,,,,,,,,,,
J1610,Glucagon hydrochloride/1 MG,1 MG,199.118,,,,,,,,,,
J1626,Granisetron hcl injection,100 MCG,0.295,,,,,,,,,,
J1630,Haloperidol injection,5 MG,1.520,,,,,,,,,,
J1631,Haloperidol decanoate inj,50 MG,18.040,,,,,,,,,,
J1640,"Hemin, 1 mg",1 MG,22.858,,,,,,,,,,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.180,,,,,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.212,,,,,,,,,,
J1645,Dalteparin sodium,2500 IU,15.921,,,,,,,,,,
J1650,Inj enoxaparin sodium,10 MG,0.873,,,,,,,,,,
J1652,Fondaparinux sodium,0.5 MG,2.239,,,,,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,433.063,,,,,,,,,,
J1720,Hydrocortisone sodium succ i,100 MG,8.531,,,,,,,,,,
J1740,Ibandronate sodium injection,1 MG,101.963,,,,,,,,,,
J1742,Ibutilide fumarate injection,1 MG,186.194,,,,,,,,,,
J1743,Idursulfase injection,1 MG,522.035,,,,,,,,,,
J1745,Infliximab injection,10 MG,82.872,,,,,,,,,,
J1750,Inj iron dextran,50 MG,12.405,,,,,,,,,,
J1756,Iron sucrose injection,1 MG,0.255,,,,,,,,,,
J1786,Imuglucerase injection,10 UNITS,41.932,,,,,,,,,,
J1800,Propranolol injection,1 MG,1.145,,,,,,,,,,
J1815,Insulin injection,5 UNITS,0.801,,,,,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,9.098,,,95,2.800,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.666,,,,,,,,,,
J1930,Lanreotide injection,1 MG,51.308,,,,,,,,,,
J1931,Laronidase injection,0.1 MG,30.587,,,,,,,,,,
J1940,Furosemide injection,20 MG,2.051,,,,,,,,,,
J1950,Leuprolide acetate /3.75 MG,3.75 MG,1038.696,,,,,,,,,,
J1953,Levetiracetam injection,10 MG,0.142,,,,,,,,,,
J1955,Inj levocarnitine per 1 gm,1 GM,19.888,,,,,,,,,,
J1956,Levofloxacin injection,250 MG,1.663,,,,,,,,,,
J1980,Hyoscyamine sulfate inj,0.25 MG,27.854,,,,,,,,,,
J2001,Lidocaine injection,10 MG,0.018,,,,,,,,,,
J2010,Lincomycin injection,300 MG,12.058,,,,,,,,,,
J2020,Linezolid injection,200 MG,15.779,,,,,,,,,,
J2060,Lorazepam injection,2 MG,0.803,,,,,,,,,,
J2150,Mannitol injection,50 ML,1.849,,,,,,,,,,
J2175,Meperidine hydrochl /100 MG,100 MG,5.094,,,95,0.560,,,,,,
J2185,Meropenem,100 MG,1.308,,,,,,,,,,
J2210,Methylergonovin maleate inj,0.2 MG,8.034,,,,,,,,,,
J2248,Micafungin sodium injection,1 MG,0.965,,,,,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.140,,,,,,,,,,
J2270,Morphine sulfate injection,10 MG,1.230,,,95,0.710,,,,,,
J2274,In morphine preservativ free,10MG,9.052,,,,,,,,,,
J2278,Ziconotide injection,1 MCG,7.306,,,,,,,,,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,8.487,,,,,,,,,,
J2300,Inj nalbuphine hydrochloride,10 MG,2.518,,,,,,,,,,
J2310,Inj naloxone hydrochloride,1 MG,32.405,,,,,,,,,,
J2315,"Naltrexone, depot form",1 MG,3.239,,,,,,,,,,
J2323,Natalizumab injection,1 MG,17.894,,,,,,,,,,
J2353,"Octreotide injection, depot",1 MG,168.110,,,,,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,1.190,,,,,,,,,,
J2355,Oprelvekin injection,5 MG,467.216,,,,,,,,,,
J2357,Omalizumab injection,5 MG,32.306,,,,,,,,,,
J2358,Olanzapine long-acting inj,1 MG,2.917,,,,,,,,,,
J2360,Orphenadrine injection,60 MG,3.671,,,,,,,,,,
J2400,Chloroprocaine hcl injection,30 ML,25.951,,,,,,,,,,
J2405,Ondansetron hcl injection,1 MG,0.130,,,,,,,,,,
J2407,"Injection, oritavancin",10 MG,24.642,,,,,,,,,,
J2410,Oxymorphone hcl injection,1 MG,2.888,,,,,,,,,,
J2425,Palifermin injection,50 MCG,17.679,,,,,,,,,,
J2426,Paliperidone palmitate inj,1 MG,9.117,,,,,,,,,,
J2430,Pamidronate disodium /30 MG,30 MG,10.419,,,,,,,,,,
J2469,Palonosetron hcl,25 MCG,22.882,,,,,,,,,,
J2501,Paricalcitol,1 MCG,3.170,,,,,,,,,,
J2503,Pegaptanib sodium injection,0.3 MG,1054.700,,,,,,,,,,
J2504,"Pegademase bovine, 25 iu",25 IU,319.673,,,,,,,,,,
J2505,"Injection, pegfilgrastim 6mg",6 MG,4040.693,,,,,,,,,,
J2507,Pegloticase injection,1 MG,1642.455,,,,,,,,,,
J2510,Penicillin g procaine inj,600000 UNITS,26.766,,,,,,,,,,
J2515,Pentobarbital sodium inj,50 MG,47.175,,,,,,,,,,
J2540,Penicillin g potassium inj,600000 UNITS,1.029,,,,,,,,,,
J2543,Piperacillin/tazobactam,1.125 GM,2.898,,,,,,,,,,
J2545,Pentamidine non-comp unit,300 MG,118.847,,,,,,,,,,
J2550,Promethazine hcl injection,50 MG,1.637,,,,,,,,,,
J2560,Phenobarbital sodium inj,120 MG,29.803,,,,,,,,,,
J2562,Plerixafor injection,1 MG,312.108,,,,,,,,,,
J2597,Inj desmopressin acetate,1 MCG,14.043,,,,,,,,,,
J2675,Inj progesterone per 50 MG,50 MG,1.373,,,,,,,,,,
J2680,Fluphenazine decanoate 25 MG,25 MG,22.783,,,,,,,,,,
J2690,Procainamide hcl injection,1 GM,55.602,,,,,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,1.613,,,,,,,,,,
J2704,"Inj, propofol, 10 mg",10 MG,0.123,,,,,,,,,,
J2720,Inj protamine sulfate/10 MG,10 MG,1.118,,,,,,,,,,
J2724,Protein c concentrate,10 UNITS,15.229,,,,,,,,,,
J2765,Metoclopramide hcl injection,10 MG,0.894,,,,,,,,,,
J2770,Quinupristin/dalfopristin,500 MG,413.521,,,,,,,,,,
J2778,Ranibizumab injection,0.1 mg,383.227,,,,,,,,,,
J2780,Ranitidine hydrochloride inj,25 MG,1.094,,,,,,,,,,
J2783,Rasburicase,0.5 MG,254.107,,,,,,,,,,
J2785,Regadenoson injection,0.1 MG,53.896,,,,,,,,,,
J2788,Rho d immune globulin 50 mcg,50 MCG (250 IU),27.014,,,,,,,,,,
J2790,Rho d immune globulin inj,300 MCG (1500 IU),81.446,,,,,,,,,,
J2791,Rhophylac injection,100 IU,4.743,,,,,,,,,,
J2792,"Rho(D) immune globulin h, sd",100 IU,21.329,,,,,,,,,,
J2794,"Risperidone, long acting",0.5 MG,7.819,,,,,,,,,,
J2795,Ropivacaine HCl injection,1 MG,0.074,,,,,,,,,,
J2796,Romiplostim injection,10 MCG,62.137,,,,,,,,,,
J2800,Methocarbamol injection,10 ML,38.570,,,,,,,,,,
J2805,Sincalide injection,5 MCG,97.445,,,,,,,,,,
J2810,Inj theophylline per 40 MG,40 MG,0.299,,,,,,,,,,
J2820,Sargramostim injection,50 MCG,36.228,,,,,,,,,,
J2850,Inj secretin synthetic human,1 MCG,34.781,,,,,,,,,,
J2916,Na ferric gluconate complex,12.5 MG,2.295,,,,,,,,,,
J2920,Methylprednisolone injection,40 MG,3.726,,,,,,,,,,
J2930,Methylprednisolone injection,125 MG,5.126,,,,,,,,,,
J2997,Alteplase recombinant,1 MG,80.290,,,,,,,,,,
J3000,Streptomycin injection,1 GM,13.342,,,,,,,,,,
J3010,Fentanyl citrate injeciton,0.1 MG,0.498,,,95,0.700,,,,,,
J3060,"Inj, Taliglucerace Alfa 10 u",10 UNITS,40.462,,,,,,,,,,
J3070,Pentazocine injection,30 MG,140.385,,,,,,,,,,
J3090,Inj tedizolid phosphate,1 MG,1.277,,,,,,,,,,
J3095,Telavancin injection,10 MG,5.017,,,,,,,,,,
J3101,Tenecteplase injection,1 MG,102.431,,,,,,,,,,
J3105,Terbutaline sulfate inj,1 MG,3.126,,,,,,,,,,
J3121,Inj testostero enanthate 1mg,1 MG,0.040,,,,,,,,,,
J3230,Chlorpromazine hcl injection,50 MG,23.119,,,,,,,,,,
J3240,Thyrotropin injection,0.9 MG,1571.304,,,,,,,,,,
J3243,Tigecycline injection,1 MG,3.129,,,,,,,,,,
J3250,Trimethobenzamide hcl inj,200 MG,25.919,,,,,,,,,,
J3260,Tobramycin sulfate injection,80 MG,1.390,,,,,,,,,,
J3262,Tocilizumab injection,1 MG,4.103,,,,,,,,,,
J3285,Treprostinil injection,1 MG,61.237,,,,,,,,,,
J3300,Triamcinolone A inj PRS-free,1 MG,3.703,,,,,,,,,,
J3301,Triamcinolone acet inj NOS,10 MG,1.769,,,,,,,,,,
J3303,Triamcinolone hexacetonl inj,5 MG,3.612,,,,,,,,,,
J3315,Triptorelin pamoate,3.75 MG,460.851,,,,,,,,,,
J3357,Ustekinumab injection,1 MG,174.572,,,,,,,,,,
J3360,Diazepam injection,5 MG,9.259,,,,,,,,,,
J3370,Vancomycin hcl injection,500 MG,2.979,,,,,,,,,,
J3380,"Injection, vedolizumab",1 MG,17.431,,,,,,,,,,
J3385,Velaglucerase alfa,100 UNITS,343.345,,,,,,,,,,
J3396,Verteporfin injection,0.1 MG,10.883,,,,,,,,,,
J3410,Hydroxyzine hcl injection,25 MG,2.394,,,,,,,,,,
J3411,Thiamine hcl 100 mg,100 MG,3.244,,,,,,,,,,
J3415,Pyridoxine hcl 100 mg,100 MG,9.522,,,,,,,,,,
J3420,Vitamin b12 injection,1000 MCG,4.635,,,,,,,,,,
J3430,Vitamin k phytonadione inj,1 MG,3.492,,,,,,,,,,
J3465,"Injection, voriconazole",10 MG,4.638,,,,,,,,,,
J3471,"Ovine, up to 999 usp units",1 UNIT,0.354,,,,,,,,,,
J3473,Hyaluronidase recombinant,1 USP UNIT,0.358,,,,,,,,,,
J3475,Inj magnesium sulfate,500 MG,0.258,,,,,,,,,,
J3480,Inj potassium chloride,2 MEQ,0.129,,,,,,,,,,
J3485,Zidovudine,10 MG,1.506,,,,,,,,,,
J3486,Ziprasidone mesylate,10 MG,18.876,,,,,,,,,,
J3489,Zoledronic Acid 1mg,1 MG,15.667,,,,,,,,,,
J7030,Normal saline solution infus,1000 ML,1.880,,,,,,,,,,
J7040,Normal saline solution infus,500 ML,0.941,,,,,,,,,,
J7042,5% dextrose/normal saline,500 ML,0.793,,,,,,,,,,
J7050,Normal saline solution infus,250 ML,0.469,,,,,,,,,,
J7060,5% dextrose/water,500 ML,1.853,,,,,,,,,,
J7070,D5w infusion,1000 CC,3.619,,,,,,,,,,
J7120,Ringers lactate infusion,1000 CC,2.149,,,,,,,,,,
J7180,Factor xiii anti-hem factor,1 IU,8.180,,,,,,,1,,,
J7182,Factor viii recomb novoeight,1 IU,1.310,,,,,,,1,,,
J7183,Wilate injection,1 I.U. VWF:RCO,0.973,,,,,,,1,,,
J7185,Xyntha inj,1 IU,1.204,,,,,,,1,,,
J7186,Antihemophilic viii/vwf comp,PER FACTOR VIII IU,0.969,,,,,,,1,,,
J7187,"Humate-P, inj",1 IU,1.035,,,,,,,1,,,
J7189,Factor viia,1 MCG,1.903,,,,,,,1,,,
J7190,Factor viii,1 IU,0.979,,,,,,,1,,,
J7192,Factor viii recombinant NOS,1 IU,1.197,,,,,,,1,,,
J7193,Factor IX non-recombinant,1 IU,1.105,,,,,,,1,,,
J7194,Factor ix complex,1 IU,1.287,,,,,,,1,,,
J7195,Factor IX recombinant NOS,1 IU,1.517,,,,,,,1,,,
J7197,Antithrombin iii injection,1 IU,3.434,,,,,,,,,,
J7198,Anti-inhibitor,1 IU,1.921,,,,,,,1,,,
