Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Effective October 1, 2015 through December 31, 2015",,,,,,,,,,,,,
,,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q15 ASP data. ,,,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of a payment",,,,,,,,,,,,,
allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local Medicare contractor,,,,,,,,,,,,,
processing the claim.,,,,,,,,,,,,,
,,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Infusion AWP%,DME Infusion Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
90740,"Hepb vacc, ill pat 3 dose im",40 MCG,119.415,95,119.415,,,,,,,,
90743,"Hep b vacc, adol, 2 dose, im",1 DOSE,24.216,95,24.216,,,,,,,,
90744,Hepb vacc ped/adol 3 dose im,1 DOSE,24.216,95,24.216,,,,,,,,
90746,"Hep b vaccine, adult, im",20 MCG,59.708,95,59.708,,,,,,,,
90747,"Hepb vacc, ill pat 4 dose im",40 MCG,119.415,95,119.415,,,,,,,,
A9575,Inj gadoterate meglumi,0.1 ml,0.221,,,,,,,,,,
A9576,Inj prohance multipack,1 ML,1.605,,,,,,,,,,
A9577,Inj multihance,1 ML,2.142,,,,,,,,,,
A9578,Inj multihance multipack,1 ML,2.034,,,,,,,,,,
A9579,"Gad-base MR contrast NOS,1ml",1 ML,1.893,,,,,,,,,,
A9581,Gadoxetate disodium inj,1 ML,13.998,,,,,,,,,,
A9583,Gadofosveset trisodium inj,1 ML,14.920,,,,,,,,,,
A9585,Gadobutrol injection,0.1 ML,0.389,,,,,,,,,,
A9606,Radium ra223 dichloride ther,1 microCurie,N/A,,,,,,,,"
microCurie 100% AWP = $139.73
microCurie 100% WAC = $116.44
",,
J0129,Abatacept injection,10 MG,37.331,,,,,,,,,,
J0130,Abciximab injection,10 MG,965.130,,,,,,,,,,
J0132,Acetylcysteine injection,100 MG,2.004,,,,,,,,,,
J0133,Acyclovir injection,5 MG,0.082,,,,,,,,,,
J0135,Adalimumab injection,20 MG,742.956,,,,,,,,,,
J0153,Adenosine inj 1mg,1 MG,0.980,,,,,,,,,,
J0171,Adrenalin epinephrine inject,0.1 MG,0.143,,,,,,,,,,
J0178,Aflibercept injection (ophthalmic),1 MG,980.500,,,,,,,,,,
J0180,Agalsidase beta injection,1 MG,158.041,,,,,,,,,,
J0207,Amifostine,500 MG,363.927,,,,,,,,,,
J0210,Methyldopate hcl injection,250 MG,42.400,,,,,,,,,,
J0220,Alglucosidase alfa injection,10 MG,206.644,,,,,,,,,,
J0221,Lumizyme injection,10 MG,153.598,,,,,,,,,,
J0256,Alpha 1 proteinase inhibitor,10 MG,4.447,,,,,,,,,,
J0257,Glassia injection,10 MG,4.113,,,,,,,,,,
J0278,Amikacin sulfate injection,100 MG,1.144,,,,,,,,,,
J0280,Aminophyllin 250 MG inj,250 MG,9.379,,,,,,,,,,
J0285,Amphotericin B,50 MG,18.184,,,95,10.280,,,,,,
J0287,Amphotericin b lipid complex,10 MG,12.383,,,95,21.850,,,,,,
J0289,Amphotericin b liposome inj,10 MG,18.229,,,95,35.800,,,,,,
J0290,Ampicillin 500 MG inj,500 MG,1.168,,,,,,,,,,
J0295,Ampicillin sodium per 1.5 gm,1.5 GM,2.477,,,,,,,,,,
J0348,Anidulafungin injection,1 MG,0.602,,,,,,,,,,
J0360,Hydralazine hcl injection,20 MG,17.032,,,,,,,,,,
J0400,Aripiprazole injection,0.25 MG,0.741,,,,,,,,,,
J0401,Inj aripriprazole ext rel 1mg,1 MG,4.097,,,,,,,,,,
J0456,Azithromycin,500 MG,3.554,,,,,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.051,,,,,,,,,,
J0470,Dimecaprol injection,100 MG,39.725,,,,,,,,,,
J0475,Baclofen 10 MG injection,10 MG,170.029,,,95,215.180,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,76.072,,,95,79.800,,,,,,
J0480,Basiliximab,20 MG,2851.518,,,,,,,,,,
J0485,Belatacept injection,1 MG,3.801,,,,,,,,,,
J0490,Belimumab injection,10 MG,40.540,,,,,,,,,,
J0500,Dicyclomine injection,20 MG,57.030,,,,,,,,,,
J0515,Inj benztropine mesylate,1 MG,19.212,,,,,,,,,,
J0558,PenG benzathine/procaine inj,"100,000 UNITS",6.183,,,,,,,,,,
J0561,Penicillin g benzathine inj,"100,000 UNITS",7.844,,,,,,,,,,
J0583,Bivalirudin,1 MG,3.712,,,,,,,,,,
J0585,"Injection,onabotulinumtoxinA",1 UNIT,5.717,,,,,,,,,,
J0586,AbobotulinumtoxinA,5 Unit,8.001,,,,,,,,updated January 2016,,
J0587,"Inj, rimabotulinumtoxinB",100 UNITS,11.651,,,,,,,,,,
J0588,Incobotulinumtoxin A,1 UNIT,4.670,,,,,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,3.076,,,,,,,,,,
J0594,Busulfan injection,1 MG,33.196,,,,,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,2.203,,,,,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,40.516,,,,,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,54.457,,,,,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,5594.422,,,,,,,,,,
J0610,Calcium gluconate injection,10 ML,3.479,,,,,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,2006.853,,,,,,,,,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.352,,,,,,,,,,
J0637,Caspofungin acetate,5 MG,12.749,,,,,,,,,,
J0638,Canakinumab injection,1 MG,91.781,,,,,,,,,,
J0640,Leucovorin calcium injection,50 MG,3.547,,,,,,,,,,
J0641,Levoleucovorin injection,0.5 MG,1.916,,,,,,,,,,
J0670,Inj mepivacaine HCL/10 ml,10 ML,2.087,,,,,,,,,,
J0690,Cefazolin sodium injection,500 MG,0.847,,,,,,,,,,
J0692,Cefepime HCl for injection,500 MG,2.438,,,,,,,,,,
J0694,Cefoxitin sodium injection,1 GM,4.695,,,,,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.683,,,,,,,,,,
J0697,Sterile cefuroxime injection,750 MG,2.626,,,,,,,,,,
J0698,Cefotaxime sodium injection,1 GM,2.170,,,,,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,5.913,,,,,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,2.144,,,,,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,2.332,,,,,,,,,,
J0717,Certolizumab Pegol Inj 1mg,1 MG,6.624,,,,,,,,,,
J0720,Chloramphenicol sodium injec,1 GM,31.736,,,,,,,,,,
J0725,Chorionic gonadotropin/1000u,1000 UNITS,22.587,,,,,,,,,,
J0735,Clonidine hydrochloride,1 MG,16.517,,,,,,,,,,
J0740,Cidofovir injection,375 MG,650.176,,,,,,,,,,
J0743,Cilastatin sodium injection,250 MG,4.191,,,,,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.025,,,,,,,,,,
J0770,Colistimethate sodium inj,150 MG,11.618,,,,,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,38.060,,,,,,,,,,
J0780,Prochlorperazine injection,10 MG,13.229,,,,,,,,,,
J0795,Corticorelin ovine triflutal,1 MCG,7.740,,,,,,,,,,
J0800,Corticotropin injection,40 UNITS,3468.131,,,,,,,,,,
J0834,Cosyntropin cortrosyn inj,0.25 MG,46.683,,,,,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,2542.982,,,,,,,,,,
J0850,Cytomegalovirus imm IV /vial,PER VIAL,1064.770,,,,,,,,,,
J0878,Daptomycin injection,1 MG,0.755,,,,,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,4.376,,,,,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,4.376,,,,,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,12.622,,,,,,,,,,
J0886,Epoetin alfa 1000 units ESRD,1000 UNITS,12.622,,,,,,,,,,
J0894,Decitabine injection,1 MG,22.133,,,,,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,9.619,,,95,15.630,,,,,,
J0897,Denosumab injection,1 MG,15.235,,,,,,,,,,
J1000,Depo-estradiol cypionate inj,5 MG,12.946,,,,,,,,,,
J1020,Methylprednisolone 20 MG inj,20 MG,2.079,,,,,,,,,,
J1030,Methylprednisolone 40 MG inj,40 MG,3.874,,,,,,,,,,
J1040,Methylprednisolone 80 MG inj,80 MG,7.321,,,,,,,,,,
J1050,Medroxyprogesterone acetate,1 MG,0.335,,,,,,,,,,
J1071,Inj testosterone cypionate,1 MG,0.027,,,,,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.152,,,,,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,78.947,,,,,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,20.685,,,,,,,,,,
J1160,Digoxin injection,0.5 MG,114.943,,,,,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,2639.260,,,,,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.608,,,,,,,,,,
J1170,Hydromorphone injection,4 MG,1.915,,,95,1.490,,,,,,
J1190,Dexrazoxane HCl injection,250 MG,146.378,,,,,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.654,,,,,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,119.929,,,,,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ML,50 ML,211.565,,,,,,,,,,
J1230,Methadone injection,10 MG,10.184,,,95,0.750,,,,,,
J1240,Dimenhydrinate injection,50 MG,6.166,,,,,,,,,,
J1245,Dipyridamole injection,10 MG,0.810,,,,,,,,,,
J1250,Inj dobutamine HCL/250 mg,250 MG,6.242,,,95,4.740,,,,,,
J1260,Dolasetron mesylate,10 MG,8.860,,,,,,,,,,
J1265,Dopamine injection,40 MG,0.628,,,,,,,,,,
J1267,Doripenem injection,10 MG,0.739,,,,,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,0.886,,,,,,,,,,
J1290,Ecallantide injection,1 MG,402.441,,,,,,,,,,
J1300,Eculizumab injection,10 MG,215.922,,,,,,,,,,
J1325,Epoprostenol injection,0.5 MG,15.493,,,95,12.640,,,,,,
J1335,Ertapenem injection,500 MG,39.511,,,,,,,,,,
J1364,Erythro lactobionate /500 MG,500 MG,50.754,,,,,,,,,,
J1380,Estradiol valerate 10 MG inj,10 MG,10.918,,,,,,,,,,
J1410,Inj estrogen conjugate 25 MG,25 MG,215.695,,,,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,404.093,,,,,,,,,,
J1438,Etanercept injection,25 MG,330.813,,,,,,,,,,
J1439,Inj ferric carboxymaltos 1mg,1 MG,1.063,,,,,,,,,,
J1442,"Inj, Filgrastim G-CSF 1mcg",1 MCG,0.999,,,,,,,,,,
J1446,"Inj., tbo-Filgrastim, 5 mcg",5 MCG,3.862,,,,,,,,,,
J1450,Fluconazole,200 MG,3.924,,,,,,,,,,
J1453,Fosaprepitant injection,1 MG,1.729,,,,,,,,,,
J1458,Galsulfase injection,1 MG,364.780,,,,,,,,,,
J1459,Inj IVIG privigen 500 mg,500 MG,38.050,,,,,,,,,,
J1460,Gamma globulin 1 CC inj,1 CC,32.320,,,,,,,,,,
J1556,"Inj, Imm Glob Bivigam, 500mg",500 MG,38.490,,,,,,,,,,
J1557,Gammaplex injection,500 MG,37.282,,,,,,,,,,
J1559,Hizentra injection,100 MG,8.469,,,,,,,,,,
J1560,Gamma globulin > 10 CC inj,10 CC,323.205,,,,,,,,,,
J1561,Gamunex-C/Gammaked,500 MG,40.295,,,,,,,,,,
J1566,"Immune globulin, powder",500 MG,33.106,,,,,,,,,,
J1568,Octagam injection,500 MG,42.802,,,,,,,,,,
J1569,Gammagard liquid injection,500 MG,38.564,,,,,,,,,,
J1570,Ganciclovir sodium injection,500 MG,72.170,,,95,35.250,,,,,,
J1571,Hepagam b im injection,0.5 ML,54.432,,,,,,,,,,
J1572,Flebogamma injection,500 MG,35.655,,,,,,,,,,
J1580,Garamycin gentamicin inj,80 MG,1.417,,,,,,,,,,
J1602,Golimumab for iv use 1mg,1 MG,24.333,,,,,,,,,,
J1610,Glucagon hydrochloride/1 MG,1 MG,190.597,,,,,,,,,,
J1626,Granisetron hcl injection,100 MCG,0.530,,,,,,,,,,
J1630,Haloperidol injection,5 MG,1.729,,,,,,,,,,
J1631,Haloperidol decanoate inj,50 MG,21.030,,,,,,,,,,
J1640,"Hemin, 1 mg",1 MG,21.767,,,,,,,,,,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.174,,,,,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.215,,,,,,,,,,
J1645,Dalteparin sodium,2500 IU,14.457,,,,,,,,,,
J1650,Inj enoxaparin sodium,10 MG,1.335,,,,,,,,,,
J1652,Fondaparinux sodium,0.5 MG,2.940,,,,,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,255.206,,,,,,,,,,
J1720,Hydrocortisone sodium succ i,100 MG,7.280,,,,,,,,,,
J1740,Ibandronate sodium injection,1 MG,116.668,,,,,,,,AMP-based payment limit,,
J1742,Ibutilide fumarate injection,1 MG,63.102,,,,,,,,,,
J1743,Idursulfase injection,1 MG,497.476,,,,,,,,,,
J1745,Infliximab injection,10 MG,78.758,,,,,,,,,,
J1750,Inj iron dextran,50 MG,12.082,,,,,,,,,,
J1756,Iron sucrose injection,1 MG,0.269,,,,,,,,,,
J1786,Imuglucerase injection,10 UNITS,41.998,,,,,,,,,,
J1790,Droperidol injection,5 MG,2.141,,,,,,,,,,
J1800,Propranolol injection,1 MG,3.965,,,,,,,,,,
J1815,Insulin injection,5 UNITS,0.767,,,,,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,7.585,,,95,2.800,,,,,,
J1840,Kanamycin sulfate 500 MG inj,500 MG,7.685,,,,,,,,,,
J1850,Kanamycin sulfate 75 MG inj,75 MG,1.153,,,,,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.827,,,,,,,,,,
J1930,Lanreotide injection,1 MG,47.179,,,,,,,,,,
J1931,Laronidase injection,0.1 MG,29.445,,,,,,,,,,
J1940,Furosemide injection,20 MG,1.585,,,,,,,,,,
J1950,Leuprolide acetate /3.75 MG,3.75 MG,900.874,,,,,,,,,,
J1953,Levetiracetam injection,10 MG,0.173,,,,,,,,,,
J1955,Inj levocarnitine per 1 gm,1 GM,12.072,,,,,,,,,,
J1956,Levofloxacin injection,250 MG,2.032,,,,,,,,,,
J1980,Hyoscyamine sulfate inj,0.25 MG,24.601,,,,,,,,,,
J2001,Lidocaine injection,10 MG,0.020,,,,,,,,,,
J2010,Lincomycin injection,300 MG,10.511,,,,,,,,,,
J2020,Linezolid injection,200 MG,31.621,,,,,,,,,,
J2060,Lorazepam injection,2 MG,0.692,,,,,,,,,,
J2150,Mannitol injection,50 ML,1.522,,,,,,,,,,
J2175,Meperidine hydrochl /100 MG,100 MG,4.684,,,95,0.560,,,,,,
J2185,Meropenem,100 MG,1.207,,,,,,,,,,
J2210,Methylergonovin maleate inj,0.2 MG,4.595,,,,,,,,,,
J2248,Micafungin sodium injection,1 MG,0.953,,,,,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.121,,,,,,,,,,
J2260,Inj milrinone lactate / 5 MG,5 MG,3.429,,,95,51.580,,,,,,
J2270,Morphine sulfate injection,10 MG,1.424,,,95,0.710,,,,,,
J2274,In morphine preservativ free,10MG,9.001,,,,,,,,,,
J2278,Ziconotide injection,1 MCG,7.078,,,,,,,,,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,7.850,,,,,,,,,,
J2300,Inj nalbuphine hydrochloride,10 MG,2.421,,,,,,,,,,
J2310,Inj naloxone hydrochloride,1 MG,27.179,,,,,,,,,,
J2315,"Naltrexone, depot form",1 MG,3.184,,,,,,,,,,
J2323,Natalizumab injection,1 MG,16.241,,,,,,,,,,
J2353,"Octreotide injection, depot",1 MG,156.944,,,,,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,1.114,,,,,,,,,,
J2355,Oprelvekin injection,5 MG,417.789,,,,,,,,,,
J2357,Omalizumab injection,5 MG,29.908,,,,,,,,,,
J2358,Olanzapine long-acting inj,1 MG,2.917,,,,,,,,,,
J2360,Orphenadrine injection,60 MG,3.436,,,,,,,,,,
J2400,Chloroprocaine hcl injection,30 ML,25.758,,,,,,,,,,
J2405,Ondansetron hcl injection,1 MG,0.095,,,,,,,,,,
J2410,Oxymorphone hcl injection,1 MG,2.874,,,,,,,,,,
J2425,Palifermin injection,50 MCG,15.590,,,,,,,,,,
J2426,Paliperidone palmitate inj,1 MG,8.445,,,,,,,,,,
J2430,Pamidronate disodium /30 MG,30 MG,12.321,,,,,,,,,,
J2469,Palonosetron hcl,25 MCG,20.525,,,,,,,,,,
J2501,Paricalcitol,1 MCG,1.087,,,,,,,,,,
J2503,Pegaptanib sodium injection,0.3 MG,1031.845,,,,,,,,,,
J2504,"Pegademase bovine, 25 iu",25 IU,281.120,,,,,,,,,,
J2505,"Injection, pegfilgrastim 6mg",6 MG,3772.787,,,,,,,,,,
J2507,Pegloticase injection,1 MG,1239.160,,,,,,,,,,
J2510,Penicillin g procaine inj,600000 UNITS,21.586,,,,,,,,,,
J2515,Pentobarbital sodium inj,50 MG,40.740,,,,,,,,,,
J2540,Penicillin g potassium inj,600000 UNITS,0.850,,,,,,,,,,
J2543,Piperacillin/tazobactam,1.125 GM,2.654,,,,,,,,,,
J2545,Pentamidine non-comp unit,300 MG,119.494,,,,,,,,,,
J2550,Promethazine hcl injection,50 MG,1.604,,,,,,,,,,
J2560,Phenobarbital sodium inj,120 MG,26.864,,,,,,,,,,
J2562,Plerixafor injection,1 MG,305.979,,,,,,,,,,
J2597,Inj desmopressin acetate,1 MCG,8.974,,,,,,,,,,
J2675,Inj progesterone per 50 MG,50 MG,0.771,,,,,,,,AMP-based payment limit,,
J2680,Fluphenazine decanoate 25 MG,25 MG,23.655,,,,,,,,,,
J2690,Procainamide hcl injection,1 GM,47.359,,,,,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,1.787,,,,,,,,,,
J2704,"Inj, propofol, 10 mg",10 MG,0.118,,,,,,,,,,
J2720,Inj protamine sulfate/10 MG,10 MG,1.228,,,,,,,,,,
J2724,Protein c concentrate,10 UNITS,15.124,,,,,,,,,,
J2730,Pralidoxime chloride inj,1 GM,91.902,,,,,,,,,,
J2760,Phentolaine mesylate inj,5 MG,159.000,,,,,,,,,,
J2765,Metoclopramide hcl injection,10 MG,0.724,,,,,,,,,,
J2770,Quinupristin/dalfopristin,500 MG,311.038,,,,,,,,,,
J2778,Ranibizumab injection,0.1 mg,391.405,,,,,,,,,,
J2780,Ranitidine hydrochloride inj,25 MG,1.038,,,,,,,,,,
J2783,Rasburicase,0.5 MG,227.609,,,,,,,,,,
J2785,Regadenoson injection,0.1 MG,53.769,,,,,,,,,,
J2788,Rho d immune globulin 50 mcg,50 MCG (250 IU),24.190,,,,,,,,,,
J2790,Rho d immune globulin inj,300 MCG (1500 IU),83.173,,,,,,,,,,
J2791,Rhophylac injection,100 IU,4.748,,,,,,,,,,
J2792,"Rho(D) immune globulin h, sd",100 IU,19.401,,,,,,,,,,
J2794,"Risperidone, long acting",0.5 MG,6.910,,,,,,,,,,
J2795,Ropivacaine HCl injection,1 MG,0.083,,,,,,,,,,
J2796,Romiplostim injection,10 MCG,57.474,,,,,,,,,,
J2800,Methocarbamol injection,10 ML,46.188,,,,,,,,,,
J2805,Sincalide injection,5 MCG,91.897,,,,,,,,,,
J2810,Inj theophylline per 40 MG,40 MG,0.282,,,,,,,,,,
J2820,Sargramostim injection,50 MCG,31.677,,,,,,,,,,
J2850,Inj secretin synthetic human,1 MCG,34.781,,,,,,,,,,
J2916,Na ferric gluconate complex,12.5 MG,2.518,,,,,,,,,,
J2920,Methylprednisolone injection,40 MG,2.586,,,,,,,,,,
J2930,Methylprednisolone injection,125 MG,3.728,,,,,,,,,,
J2993,Reteplase injection,18.1 MG,2301.907,,,,,,,,,,
J2997,Alteplase recombinant,1 MG,73.740,,,,,,,,,,
J3000,Streptomycin injection,1 GM,10.719,,,,,,,,,,
J3010,Fentanyl citrate injeciton,0.1 MG,0.493,,,95,0.700,,,,,,
J3060,"Inj, Taliglucerace Alfa 10 u",10 UNITS,36.475,,,,,,,,,,
J3070,Pentazocine injection,30 MG,121.831,,,,,,,,,,
J3095,Telavancin injection,10 MG,4.911,,,,,,,,,,
J3101,Tenecteplase injection,1 MG,93.956,,,,,,,,,,
J3105,Terbutaline sulfate inj,1 MG,1.820,,,,,,,,,,
J3121,Inj testostero enanthate 1mg,1 MG,0.046,,,,,,,,,,
J3230,Chlorpromazine hcl injection,50 MG,20.655,,,,,,,,,,
J3240,Thyrotropin injection,0.9 MG,1432.165,,,,,,,,,,
J3243,Tigecycline injection,1 MG,2.352,,,,,,,,,,
J3250,Trimethobenzamide hcl inj,200 MG,23.855,,,,,,,,,,
J3260,Tobramycin sulfate injection,80 MG,2.644,,,,,,,,,,
J3262,Tocilizumab injection,1 MG,3.849,,,,,,,,,,
J3285,Treprostinil injection,1 MG,61.237,,,,,,,,,,
J3300,Triamcinolone A inj PRS-free,1 MG,3.721,,,,,,,,,,
J3301,Triamcinolone acet inj NOS,10 MG,1.754,,,,,,,,,,
J3303,Triamcinolone hexacetonl inj,5 MG,1.814,,,,,,,,,,
J3315,Triptorelin pamoate,3.75 MG,144.592,,,,,,,,,,
J3357,Ustekinumab injection,1 MG,166.989,,,,,,,,,,
J3360,Diazepam injection,5 MG,6.166,,,,,,,,,,
J3370,Vancomycin hcl injection,500 MG,3.390,,,,,,,,,,
J3385,Velaglucerase alfa,100 UNITS,346.079,,,,,,,,,,
J3396,Verteporfin injection,0.1 MG,10.987,,,,,,,,,,
J3410,Hydroxyzine hcl injection,25 MG,2.170,,,,,,,,,,
J3411,Thiamine hcl 100 mg,100 MG,3.327,,,,,,,,,,
J3415,Pyridoxine hcl 100 mg,100 MG,8.623,,,,,,,,AMP-based payment limit,,
J3420,Vitamin b12 injection,1000 MCG,2.631,,,,,,,,,,
J3430,Vitamin k phytonadione inj,1 MG,2.831,,,,,,,,,,
J3465,"Injection, voriconazole",10 MG,4.194,,,,,,,,,,
J3473,Hyaluronidase recombinant,1 USP UNIT,0.350,,,,,,,,,,
J3475,Inj magnesium sulfate,500 MG,0.247,,,,,,,,,,
J3480,Inj potassium chloride,2 MEQ,0.127,,,,,,,,,,
J3485,Zidovudine,10 MG,1.499,,,,,,,,,,
J3486,Ziprasidone mesylate,10 MG,14.216,,,,,,,,,,
J3489,Zoledronic Acid 1mg,1 MG,34.967,,,,,,,,,,
J7030,Normal saline solution infus,1000 ML,1.837,,,,,,,,,,
J7040,Normal saline solution infus,500 ML,0.919,,,,,,,,,,
J7042,5% dextrose/normal saline,500 ML,0.607,,,,,,,,,,
J7050,Normal saline solution infus,250 ML,0.457,,,,,,,,,,
J7060,5% dextrose/water,500 ML,1.807,,,,,,,,,,
J7070,D5w infusion,1000 CC,3.438,,,,,,,,,,
J7120,Ringers lactate infusion,1000 CC,1.776,,,,,,,,,,
J7180,Factor xiii anti-hem factor,1 IU,7.413,,,,,,,1,,,
J7183,Wilate injection,1 I.U. VWF:RCO,1.017,,,,,,,1,,,
J7185,Xyntha inj,1 IU,1.421,,,,,,,1,,,
J7186,Antihemophilic viii/vwf comp,PER FACTOR VIII IU,0.960,,,,,,,1,,,
J7187,"Humate-P, inj",1 IU,0.990,,,,,,,1,,,
J7189,Factor viia,1 MCG,2.070,,,,,,,1,,,
J7190,Factor viii,1 IU,0.961,,,,,,,1,,,
J7192,Factor viii recombinant NOS,1 IU,1.162,,,,,,,1,,,
J7193,Factor IX non-recombinant,1 IU,1.074,,,,,,,1,,,
J7194,Factor ix complex,1 IU,1.189,,,,,,,1,,,
