Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective July 1, 2019 through September 30, 2019",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q19 ASP data.,,,,,,,,,,,
"Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate Medicare coverage of the drug. Similarly, the inclusion of ",,,,,,,,,,,
a payment allowance limit within a specific column does not indicate Medicare coverage of the drug in that specific category.  These determinations shall be made by the local ,,,,,,,,,,,
Medicare contractor processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
J0470,Dimecaprol injection,100 MG,54.277,,,,,,,,
J0475,Baclofen 10 mg injection,10 MG,173.389,,,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,50.441,,,,,,,,
J0480,Basiliximab,20 MG,3789.626,,,,,,,,
J0485,Belatacept injection,1 MG,3.784,,,,,,,,
J0490,Belimumab injection,10 MG,44.824,,,,,,,,
J0500,Dicyclomine injection,20 MG,69.974,,,,,,,,
J0515,Inj benztropine mesylate,1 MG,19.894,,,,,,,,
J0517,"Inj., benralizumab, 1 mg",1 MG,168.840,,,,,,,,
J0558,Peng benzathine/procaine inj,"100,000 UNITS",11.019,,,,,,,,
J0561,Penicillin g benzathine inj,"100,000 UNITS",13.845,,,,,,,,
J0565,"Inj, bezlotoxumab, 10 mg",10 MG,39.898,,,,,,,,
J0570,Buprenorphine implant 74.2mg,74.2 MG,1261.871,,,,,,,,
J0583,Bivalirudin,1 MG,0.532,,,,,,,,
J0584,"Injection, burosumab-twza 1m",1 MG,353.055,,,,,,Added July 2019,,
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.124,,,,,,,,
J0586,Abobotulinumtoxina,5 Unit,8.419,,,,,,,,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,12.019,,,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.051,,,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,4.359,,,,,,,,
J0594,Busulfan injection,1 MG,5.778,,,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,2.263,,,,,,,,
J0596,"Injection, ruconest",10 UNITS,27.817,,,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,51.354,,,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,57.160,,,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,5594.422,,,,,,,,
J0610,Calcium gluconate injection,10 ML,3.510,,,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,2647.262,,,,,,,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.723,,,,,,,,
J0637,Caspofungin acetate,5 MG,9.808,,,,,,,,
J0638,Canakinumab injection,1 MG,111.012,,,,,,,,
J0640,Leucovorin calcium injection,50 MG,3.019,,,,,,,,
J0641,Levoleucovorin injection,0.5 MG,0.164,,,,,,,,
J0670,Inj mepivacaine hcl/10 ml,10 ML,2.002,,,,,,AMP-based payment limit,,
J0690,Cefazolin sodium injection,500 MG,0.752,,,,,,,,
J0692,Cefepime hcl for injection,500 MG,1.876,,,,,,,,
J0694,Cefoxitin sodium injection,1 GM,4.963,,,,,,,,
J0695,Inj ceftolozane tazobactam,75mg (50mg cft/25mg taz),5.589,,,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.488,,,,,,,,
J0697,Sterile cefuroxime injection,750 MG,1.832,,,,,,,,
J0698,Cefotaxime sodium injection,1 GM,2.332,,,,,,Added July 2019,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,6.910,,,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,3.162,,,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,2.004,,,,,,,,
J0714,Ceftazidime and avibactam,.625 GM,91.134,,,,,,Added July 2019,,
J0717,Certolizumab pegol inj 1mg,1 MG,8.132,,,,,,,,
J0720,Chloramphenicol sodium injec,1 GM,38.333,,,,,,,,
J0725,Chorionic gonadotropin/1000u,1000 UNITS,22.370,,,,,,,,
J0735,Clonidine hydrochloride,1 MG,11.569,,,,,,,,
J0740,Cidofovir injection,375 MG,643.293,,,,,,,,
J0743,Cilastatin sodium injection,250 MG,5.850,,,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.309,,,,,,,,
J0770,Colistimethate sodium inj,150 MG,19.241,,,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,47.089,,,,,,,,
J0780,Prochlorperazine injection,10 MG,10.339,,,,,,,,
J0795,Corticorelin ovine triflutal,1 MCG,9.045,,,,,,,,
J0800,Corticotropin injection,40 UNITS,3962.170,,,,,,,,
J0834,"Inj., cosyntropin, 0.25 mg",0.25 MG,44.080,,,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,3237.005,,,,,,,,
J0850,Cytomegalovirus imm iv /vial,PER VIAL,1129.154,,,,,,,,
J0875,"Injection, dalbavancin",5 MG,14.615,,,,,,,,
J0878,Daptomycin injection,1 MG,0.350,,,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,3.827,,,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,3.827,,,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,11.462,,,,,,,,
J0887,Epoetin beta esrd use,1 MCG,1.650,,,,,,,,
J0888,Epoetin beta non esrd,1 MCG,1.650,,,,,,,,
J0894,Decitabine injection,1 MG,7.459,,,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,8.205,,,,,,,,
J0897,Denosumab injection,1 MG,19.104,,,,,,,,
J1000,Depo-estradiol cypionate inj,5 MG,21.958,,,,,,,,
J1020,Methylprednisolone 20 mg inj,20 MG,3.661,,,,,,,,
J1030,Methylprednisolone 40 mg inj,40 MG,6.238,,,,,,,,
J1040,Methylprednisolone 80 mg inj,80 MG,12.016,,,,,,,,
J1050,Medroxyprogesterone acetate,1 MG,0.565,,,,,,,,
J1071,Inj testosterone cypionate,1 MG,0.027,,,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.124,,,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,57.287,,,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,15.507,,,,,,,,
J1160,Digoxin injection,0.5 MG,5.214,,,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,3780.259,,,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.754,,,,,,,,
J1170,Hydromorphone injection,4 MG,4.195,,,,,,,,
J1190,Dexrazoxane hcl injection,250 MG,194.715,,,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.862,,,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,50.641,,,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ml,50 ML,558.868,,,,,,,,
J1230,Methadone injection,10 MG,18.148,,,,,,,,
J1240,Dimenhydrinate injection,50 MG,7.469,,,,,,,,
J1245,Dipyridamole injection,10 MG,1.431,,,,,,,,
J1250,Inj dobutamine hcl/250 mg,250 MG,8.525,,,,,,,,
J1265,Dopamine injection,40 MG,0.760,,,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,0.234,,,,,,,,
J1290,Ecallantide injection,1 MG,480.548,,,,,,,,
J1300,Eculizumab injection,10 MG,230.479,,,,,,,,
J1301,"Injection, edaravone, 1 mg",1 MG,19.501,,,,,,,,
J1322,"Elosulfase alfa, injection",1 MG,236.764,,,,,,,,
J1325,Epoprostenol injection,0.5 MG,16.144,,,,,,,,
J1335,Ertapenem injection,500 MG,44.626,,,,,,AMP-based payment limit,,
J1364,Erythro lactobionate /500 mg,500 MG,78.867,,,,,,,,
J1380,Estradiol valerate 10 mg inj,10 MG,9.341,,,,,,,,
J1410,Inj estrogen conjugate 25 mg,25 MG,309.331,,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,444.099,,,,,,,,
J1439,Inj ferric carboxymaltos 1mg,1 MG,1.091,,,,,,,,
J1442,Inj filgrastim excl biosimil,1 MCG,0.979,,,,,,,,
J1447,Inj tbo filgrastim 1 microg,1 MCG,0.579,,,,,,,,
J1450,Fluconazole,200 MG,5.172,,,,,,,,
J1453,Fosaprepitant injection,1 MG,2.000,,,,,,,,
J1454,"Inj fosnetupitant, palonoset",0.25 MG,460.423,,,,,,,,
J1458,Galsulfase injection,1 MG,390.067,,,,,,,,
J1459,Inj ivig privigen 500 mg,500 MG,40.603,,,,,,,,
J1460,Gamma globulin 1 cc inj,1 CC,40.536,,,,,,,,
J1555,"Inj cuvitru, 100 mg",100 MG,13.856,,,,,,,,
J1556,"Inj, imm glob bivigam, 500mg",500 MG,70.516,,,,,,,,
J1557,Gammaplex injection,500 MG,45.552,,,,,,Updated October 2019,,
J1559,Hizentra injection,100 MG,10.189,,,,,,,,
J1560,Gamma globulin > 10 cc inj,10 CC,405.358,,,,,,,,
J1561,Gamunex-c/gammaked,500 MG,38.448,,,,,,Updated April 2020,,
J1566,"Immune globulin, powder",500 MG,64.386,,,,,,Updated October 2019,,
J1568,Octagam injection,500 MG,38.675,,,,,,,,
J1569,Gammagard liquid injection,500 MG,40.834,,,,,,Updated October 2019,,
J1570,Ganciclovir sodium injection,500 MG,47.070,,,,,,AMP-based payment limit,,
J1571,Hepagam b im injection,0.5 ML,60.350,,,,,,,,
J1572,Flebogamma injection,500 MG,35.772,,,,,,Updated April 2020,,
J1575,Hyqvia 100mg immuneglobulin,100 MG,14.024,,,,,,,,
J1580,Garamycin gentamicin inj,80 MG,1.825,,,,,,,,
J1602,Golimumab for iv use 1mg,1 MG,22.068,,,,,,Updated January 2020,,
J1610,Glucagon hydrochloride/1 mg,1 MG,200.263,,,,,,,,
J1626,Granisetron hcl injection,100 MCG,0.301,,,,,,,,
J1627,"Inj, granisetron, xr, 0.1 mg",0.1 MG,3.052,,,,,,,,
J1630,Haloperidol injection,5 MG,1.132,,,,,,,,
J1631,Haloperidol decanoate inj,50 MG,16.647,,,,,,,,
J1640,"Hemin, 1 mg",1 MG,23.761,,,,,,,,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.030,,,,,,Updated April 2020,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.203,,,,,,,,
J1645,Dalteparin sodium,2500 IU,13.153,,,,,,,,
J1650,Inj enoxaparin sodium,10 MG,0.835,,,,,,,,
J1652,Fondaparinux sodium,0.5 MG,1.745,,,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,418.839,,,,,,,,
J1720,Hydrocortisone sodium succ i,100 MG,13.040,,,,,,,,
J1740,Ibandronate sodium injection,1 MG,45.727,,,,,,,,
J1742,Ibutilide fumarate injection,1 MG,152.858,,,,,,,,
J1743,Idursulfase injection,1 MG,542.890,,,,,,,,
J1745,Infliximab not biosimil 10mg,10 MG,64.873,,,,,,Updated January 2020,,
J1750,Inj iron dextran,50 MG,14.408,,,,,,,,
J1756,Iron sucrose injection,1 MG,0.232,,,,,,,,
J1786,Imuglucerase injection,10 UNITS,42.865,,,,,,,,
J1800,Propranolol injection,1 MG,1.231,,,,,,,,
J1815,Insulin injection,5 UNITS,0.903,,,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,10.988,,,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.663,,,,,,,,
J1930,Lanreotide injection,1 MG,63.212,,,,,,,,
J1931,Laronidase injection,0.1 MG,31.949,,,,,,,,
J1940,Furosemide injection,20 MG,0.773,,,,,,,,
J1942,Aripiprazole lauroxil 1mg,1 MG,2.657,,,,,,,,
J1950,Leuprolide acetate /3.75 mg,3.75 MG,1267.771,,,,,,,,
J1953,Levetiracetam injection,10 MG,0.106,,,,,,,,
J1955,Inj levocarnitine per 1 gm,1 GM,20.136,,,,,,,,
J1956,Levofloxacin injection,250 MG,1.083,,,,,,,,
J1980,Hyoscyamine sulfate inj,0.25 MG,29.549,,,,,,,,
J2001,Lidocaine injection,10 MG,0.035,,,,,,,,
J2010,Lincomycin injection,300 MG,13.158,,,,,,,,
J2020,Linezolid injection,200 MG,6.913,,,,,,,,
J2060,Lorazepam injection,2 MG,0.639,,,,,,,,
J2150,Mannitol injection,50 ML,2.111,,,,,,,,
J2175,Meperidine hydrochl /100 mg,100 MG,5.375,,,,,,,,
J2182,"Injection, mepolizumab, 1mg",1 MG,30.044,,,,,,,,
J2185,Meropenem,100 MG,0.980,,,,,,,,
J2210,Methylergonovin maleate inj,0.2 MG,17.215,,,,,,,,
J2248,Micafungin sodium injection,1 MG,1.038,,,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.113,,,,,,,,
J2260,Inj milrinone lactate / 5 mg,5 MG,2.025,,,,,,,,
J2270,Morphine sulfate injection,10 MG,4.729,,,,,,,,
J2274,Inj morphine pf epid ithc,10 MG,11.710,,,,,,,,
J2278,Ziconotide injection,1 MCG,7.913,,,,,,,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,9.466,,,,,,,,
J2300,Inj nalbuphine hydrochloride,10 MG,2.904,,,,,,,,
J2310,Inj naloxone hydrochloride,1 MG,17.459,,,,,,,,
J2315,"Naltrexone, depot form",1 MG,3.234,,,,,,,,
J2323,Natalizumab injection,1 MG,20.292,,,,,,,,
J2350,"Injection, ocrelizumab, 1 mg",1 MG,57.417,,,,,,,,
J2353,"Octreotide injection, depot",1 MG,204.688,,,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,0.815,,,,,,,,
J2357,Omalizumab injection,5 MG,37.052,,,,,,,,
J2358,Olanzapine long-acting inj,1 MG,2.917,,,,,,,,
J2360,Orphenadrine injection,60 MG,6.413,,,,,,,,
J2400,Chloroprocaine hcl injection,30 ML,27.048,,,,,,,,
J2405,Ondansetron hcl injection,1 MG,0.123,,,,,,,,
J2407,"Injection, oritavancin",10 MG,24.138,,,,,,,,
J2425,Palifermin injection,50 MCG,21.304,,,,,,,,
J2426,Paliperidone palmitate inj,1 MG,11.475,,,,,,,,
J2430,Pamidronate disodium /30 mg,30 MG,12.467,,,,,,,,
J2469,Palonosetron hcl,25 MCG,8.928,,,,,,,,
J2501,Paricalcitol,1 MCG,0.655,,,,,,AMP-based payment limit,,
J2503,Pegaptanib sodium injection,0.3 MG,720.668,,,,,,,,
J2504,"Pegademase bovine, 25 iu",25 IU,367.961,,,,,,,,
J2505,"Injection, pegfilgrastim 6mg",6 MG,4526.807,,,,,,Updated April 2020,,
J2507,Pegloticase injection,1 MG,2485.242,,,,,,,,
J2510,Penicillin g procaine inj,600000 UNITS,29.821,,,,,,,,
J2515,Pentobarbital sodium inj,50 MG,38.043,,,,,,,,
J2540,Penicillin g potassium inj,600000 UNITS,1.018,,,,,,,,
J2543,Piperacillin/tazobactam,1.125 GM,1.825,,,,,,,,
J2545,Pentamidine non-comp unit,300 MG,95.983,,,,,,,,
J2550,Promethazine hcl injection,50 MG,2.431,,,,,,,,
J2560,Phenobarbital sodium inj,120 MG,41.426,,,,,,,,
J2562,Plerixafor injection,1 MG,347.243,,,,,,,,
J2597,Inj desmopressin acetate,1 MCG,11.966,,,,,,,,
J2675,Inj progesterone per 50 mg,50 MG,2.263,,,,,,,,
J2680,Fluphenazine decanoate 25 mg,25 MG,11.455,,,,,,,,
J2690,Procainamide hcl injection,1 GM,70.145,,,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,1.482,,,,,,,,
J2704,"Inj, propofol, 10 mg",10 MG,0.103,,,,,,,,
J2720,Inj protamine sulfate/10 mg,10 MG,1.194,,,,,,,,
J2724,Protein c concentrate,10 UNITS,15.058,,,,,,,,
J2760,Phentolaine mesylate inj,5 MG,392.150,,,,,,Added July 2019,,
J2765,Metoclopramide hcl injection,10 MG,1.250,,,,,,,,
J2770,Quinupristin/dalfopristin,500 MG,418.104,,,,,,,,
J2778,Ranibizumab injection,0.1 mg,357.343,,,,,,,,
J2780,Ranitidine hydrochloride inj,25 MG,4.528,,,,,,,,
J2783,Rasburicase,0.5 MG,287.644,,,,,,,,
J2785,Regadenoson injection,0.1 MG,59.270,,,,,,,,
J2786,"Injection, reslizumab, 1mg",1 MG,9.470,,,,,,,,
J2788,Rho d immune globulin 50 mcg,50 MCG (250 IU),23.608,,,,,,,,
J2790,Rho d immune globulin inj,300 MCG (1500 IU),78.732,,,,,,,,
J2791,Rhophylac injection,100 IU,4.757,,,,,,,,
J2792,"Rho(d) immune globulin h, sd",100 IU,30.104,,,,,,,,
J2794,"Risperidone, long acting",0.5 MG,9.954,,,,,,,,
J2795,Ropivacaine hcl injection,1 MG,0.080,,,,,,,,
J2796,Romiplostim injection,10 MCG,73.505,,,,,,,,
J2800,Methocarbamol injection,10 ML,12.519,,,,,,,,
J2805,Sincalide injection,5 MCG,108.053,,,,,,,,
J2810,Inj theophylline per 40 mg,40 MG,0.416,,,,,,,,
J2820,Sargramostim injection,50 MCG,42.396,,,,,,,,
J2860,"Injection, siltuximab",10 MG,100.769,,,,,,,,
J2916,Na ferric gluconate complex,12.5 MG,1.729,,,,,,,,
J2920,Methylprednisolone injection,40 MG,4.489,,,,,,,,
J2930,Methylprednisolone injection,125 MG,6.169,,,,,,,,
J2997,Alteplase recombinant,1 MG,87.686,,,,,,,,
J3000,Streptomycin injection,1 GM,31.577,,,,,,,,
J3010,Fentanyl citrate injection,0.1 MG,0.806,,,,,,,,
J3060,"Inj, taliglucerase alfa 10 u",10 UNITS,40.338,,,,,,,,
J3070,Pentazocine injection,30 MG,108.385,,,,,,,,
J3090,Inj tedizolid phosphate,1 MG,1.483,,,,,,,,
J3095,Telavancin injection,10 MG,5.845,,,,,,,,
J3101,Tenecteplase injection,1 MG,121.786,,,,,,,,
J3105,Terbutaline sulfate inj,1 MG,2.559,,,,,,,,
J3121,Inj testostero enanthate 1mg,1 MG,0.051,,,,,,,,
J3145,Testosterone undecanoate 1mg,1 MG,1.414,,,,,,,,
J3230,Chlorpromazine hcl injection,50 MG,33.197,,,,,,,,
J3240,Thyrotropin injection,0.9 MG,1690.303,,,,,,,,
J3243,Tigecycline injection,1 MG,1.688,,,,,,,,
J3245,"Inj., tildrakizumab, 1 mg",1 MG,126.875,,,,,,,,
J3250,Trimethobenzamide hcl inj,200 MG,36.550,,,,,,,,
J3260,Tobramycin sulfate injection,80 MG,2.938,,,,,,,,
J3262,Tocilizumab injection,1 MG,4.933,,,,,,,,
J3285,Treprostinil injection,1 MG,64.915,,,,,,,,
J3300,Triamcinolone a inj prs-free,1 MG,3.852,,,,,,,,
J3301,Triamcinolone acet inj nos,10 MG,1.587,,,,,,,,
J3304,Inj triamcinolone ace xr 1mg,1 MG,18.881,,,,,,,,
J3315,Triptorelin pamoate,3.75 MG,248.391,,,,,,,,
J3357,"Ustekinumab sub cu inj, 1 mg",1 MG,190.707,,,,,,,,
J3358,"Ustekinumab, iv inject, 1 mg",1 MG,11.996,,,,,,,,
J3360,Diazepam injection,5 MG,10.112,,,,,,,,
J3370,Vancomycin hcl injection,500 MG,3.647,,,,,,,,
J3380,"Injection, vedolizumab",1 MG,20.131,,,,,,,,
J3385,Velaglucerase alfa,100 UNITS,345.139,,,,,,,,
J3396,Verteporfin injection,0.1 MG,11.050,,,,,,,,
J3410,Hydroxyzine hcl injection,25 MG,7.280,,,,,,,,
J3411,Thiamine hcl 100 mg,100 MG,2.564,,,,,,,,
J3415,Pyridoxine hcl 100 mg,100 MG,9.006,,,,,,,,
J3420,Vitamin b12 injection,1000 MCG,1.834,,,,,,,,
J3430,Vitamin k phytonadione inj,1 MG,4.189,,,,,,,,
J3465,"Injection, voriconazole",10 MG,2.314,,,,,,,,
J3471,"Ovine, up to 999 usp units",1 UNIT,0.425,,,,,,,,
J3473,Hyaluronidase recombinant,1 USP UNIT,0.358,,,,,,,,
J3475,Inj magnesium sulfate,500 MG,0.684,,,,,,,,
J3480,Inj potassium chloride,2 MEQ,0.180,,,,,,,,
J3485,Zidovudine,10 MG,1.513,,,,,,,,
J3486,Ziprasidone mesylate,10 MG,18.453,,,,,,AMP-based payment limit,,
J3489,Zoledronic acid 1mg,1 MG,11.599,,,,,,,,
J7030,Normal saline solution infus,1000 ML,2.479,,,,,,,,
J7040,Normal saline solution infus,500 ML,1.240,,,,,,,,
J7042,5% dextrose/normal saline,500 ML,0.968,,,,,,,,
J7050,Normal saline solution infus,250 ML,0.620,,,,,,,,
J7060,5% dextrose/water,500 ML,1.958,,,,,,,,
J7070,D5w infusion,1000 CC,3.894,,,,,,,,
J7120,Ringers lactate infusion,1000 CC,2.367,,,,,,,,
J7170,"Inj., emicizumab-kxwh 0.5 mg",0.5 MG,47.365,,,,,1,,,
J7175,"Inj, factor x, (human), 1iu",1 IU,7.513,,,,,1,,,
J7178,Inj human fibrinogen con nos,1 IU,1.198,,,,,1,,,
J7179,Vonvendi inj 1 iu vwf:rco,1 IU,1.875,,,,,1,,,
J7180,Factor xiii anti-hem factor,1 IU,8.470,,,,,1,,,
J7181,Factor xiii recomb a-subunit,1 IU,15.151,,,,,1,Added July 2019,,
J7182,Factor viii recomb novoeight,1 IU,1.297,,,,,1,,,
J7183,Wilate injection,1 I.U. VWF:RCO,1.008,,,,,1,,,
J7185,Xyntha inj,1 IU,1.251,,,,,1,,,
J7186,Antihemophilic viii/vwf comp,PER FACTOR VIII IU,1.046,,,,,1,,,
J7187,"Humate-p, inj",1 IU,1.162,,,,,1,,,
J7188,Factor viii recomb obizur,1 IU,3.169,,,,,1,Added July 2019,,
J7189,Factor viia,1 MCG,2.133,,,,,1,,,
J7190,Factor viii,1 IU,1.144,,,,,1,,,
J7192,Factor viii recombinant nos,1 IU,1.262,,,,,1,Updated October 2019,,
J7193,Factor ix non-recombinant,1 IU,1.120,,,,,1,,,
J7194,Factor ix complex,1 IU,1.435,,,,,1,,,
