Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,
,,,,,,,,,,,
"Effective October 1, 2020 through December 31, 2020",,,,,,,,,,,
,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 2Q20 ASP data.,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
J0698,Cefotaxime sodium injection,1 GM,2.332,,,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,6.551,,,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,3.322,,,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,1.949,,,,,,,,
J0714,Ceftazidime and avibactam,.625 GM,92.002,,,,,,,,
J0717,Certolizumab pegol inj 1mg,1 MG,8.161,,,,,,,,
J0720,Chloramphenicol sodium injec,1 GM,32.682,,,,,,AMP-based payment limit,,
J0725,Chorionic gonadotropin/1000u,1000 UNITS,21.669,,,,,,,,
J0735,Clonidine hydrochloride,1 MG,23.262,,,,,,,,
J0740,Cidofovir injection,375 MG,666.250,,,,,,,,
J0742,Inj imip 4 cilas 4 releb 2mg,4 MG-4 MG-2 MG,2.255,,,,,,Added October 2020,,
J0743,Cilastatin sodium injection,250 MG,6.329,,,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.004,,,,,,,,
J0770,Colistimethate sodium inj,150 MG,15.615,,,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,52.388,,,,,,,,
J0780,Prochlorperazine injection,10 MG,5.095,,,,,,,,
J0791,Inj crizanlizumab-tmca 5mg,5 MG,122.413,,,,,,,,
J0795,Corticorelin ovine triflutal,1 MCG,9.377,,,,,,,,
J0800,Corticotropin injection,40 UNITS,4013.242,,,,,,,,
J0834,"Inj., cosyntropin, 0.25 mg",0.25 MG,39.216,,,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,3043.750,,,,,,,,
J0841,Inj crotalidae im f(ab')2 eq,120 MG,1264.210,,,,,,,,
J0850,Cytomegalovirus imm iv /vial,PER VIAL,1496.953,,,,,,,,
J0875,"Injection, dalbavancin",5 MG,15.386,,,,,,,,
J0878,Daptomycin injection,1 MG,0.161,,,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,3.716,,,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,3.716,,,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,9.109,,,,,,,,
J0887,Epoetin beta esrd use,1 MCG,1.544,,,,,,,,
J0888,Epoetin beta non esrd,1 MCG,1.544,,,,,,,,
J0894,Decitabine injection,1 MG,4.260,,,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,8.440,,,,,,,,
J0897,Denosumab injection,1 MG,20.123,,,,,,,,
J1000,Depo-estradiol cypionate inj,5 MG,24.064,,,,,,,,
J1020,Methylprednisolone 20 mg inj,20 MG,3.462,,,,,,,,
J1030,Methylprednisolone 40 mg inj,40 MG,5.880,,,,,,,,
J1040,Methylprednisolone 80 mg inj,80 MG,11.193,,,,,,,,
J1050,Medroxyprogesterone acetate,1 MG,0.556,,,,,,,,
J1071,Inj testosterone cypionate,1 MG,0.030,,,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.128,,,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,55.966,,,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,21.894,,,,,,,,
J1160,Digoxin injection,0.5 MG,5.641,,,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,3972.138,,,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.496,,,,,,,,
J1170,Hydromorphone injection,4 MG,1.975,,,,,,,,
J1190,Dexrazoxane hcl injection,250 MG,199.929,,,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.650,,,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,54.786,,,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ml,50 ML,635.667,,,,,,,,
J1230,Methadone injection,10 MG,17.554,,,,,,,,
J1240,Dimenhydrinate injection,50 MG,6.556,,,,,,,,
J1245,Dipyridamole injection,10 MG,3.357,,,,,,,,
J1250,Inj dobutamine hcl/250 mg,250 MG,5.693,,,,,,,,
J1265,Dopamine injection,40 MG,0.560,,,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,0.329,,,,,,,,
J1290,Ecallantide injection,1 MG,494.686,,,,,,,,
J1300,Eculizumab injection,10 MG,230.479,,,,,,,,
J1301,"Injection, edaravone, 1 mg",1 MG,19.892,,,,,,,,
J1303,"Inj., ravulizumab-cwvz 10 mg",10 MG,226.275,,,,,,,,
J1322,"Elosulfase alfa, injection",1 MG,246.196,,,,,,,,
J1325,Epoprostenol injection,0.5 MG,16.314,,,,,,,,
J1335,Ertapenem injection,500 MG,32.799,,,,,,,,
J1364,Erythro lactobionate /500 mg,500 MG,76.845,,,,,,,,
J1380,Estradiol valerate 10 mg inj,10 MG,8.176,,,,,,,,
J1410,Inj estrogen conjugate 25 mg,25 MG,325.621,,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,444.099,,,,,,,,
J1439,Inj ferric carboxymaltos 1mg,1 MG,1.106,,,,,,,,
J1442,Inj filgrastim excl biosimil,1 MCG,0.925,,,,,,,,
J1447,Inj tbo filgrastim 1 microg,1 MCG,0.470,,,,,,,,
J1450,Fluconazole,200 MG,3.431,,,,,,,,
J1453,Fosaprepitant injection,1 MG,0.785,,,,,,,,
J1454,"Inj fosnetupitant, palonoset",0.25 MG,695.767,,,,,,,,
J1458,Galsulfase injection,1 MG,405.755,,,,,,,,
J1459,Inj ivig privigen 500 mg,500 MG,41.503,,,,,,,,
J1460,Gamma globulin 1 cc inj,1 CC,42.925,,,,,,,,
J1555,"Inj cuvitru, 100 mg",100 MG,14.022,,,,,,,,
J1556,"Inj, imm glob bivigam, 500mg",500 MG,70.490,,,,,,,,
J1557,Gammaplex injection,500 MG,53.662,,,,,,,,
J1558,"Inj. xembify, 100 mg",100 MG,14.223,,,,,,,,
J1559,Hizentra injection,100 MG,10.855,,,,,,,,
J1560,Gamma globulin > 10 cc inj,10 CC,429.255,,,,,,,,
J1561,Gamunex-c/gammaked,500 MG,42.186,,,,,,,,
J1566,"Immune globulin, powder",500 MG,68.303,,,,,,,,
J1568,Octagam injection,500 MG,41.229,,,,,,,,
J1569,Gammagard liquid injection,500 MG,43.201,,,,,,,,
J1570,Ganciclovir sodium injection,500 MG,12.842,,,,,,,,
J1571,Hepagam b im injection,0.5 ML,63.403,,,,,,,,
J1572,Flebogamma injection,500 MG,40.383,,,,,,,,
J1575,Hyqvia 100mg immuneglobulin,100 MG,14.486,,,,,,,,
J1580,Garamycin gentamicin inj,80 MG,1.789,,,,,,,,
J1602,Golimumab for iv use 1mg,1 MG,18.997,,,,,,,,
J1610,Glucagon hydrochloride/1 mg,1 MG,211.789,,,,,,,,
J1626,Granisetron hcl injection,100 MCG,0.314,,,,,,,,
J1627,"Inj, granisetron, xr, 0.1 mg",0.1 MG,0.191,,,,,,,,
J1630,Haloperidol injection,5 MG,0.909,,,,,,,,
J1631,Haloperidol decanoate inj,50 MG,14.943,,,,,,,,
J1640,"Hemin, 1 mg",1 MG,24.436,,,,,,,,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.014,,,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.290,,,,,,,,
J1645,Dalteparin sodium,2500 IU,10.668,,,,,,,,
J1650,Inj enoxaparin sodium,10 MG,0.688,,,,,,,,
J1652,Fondaparinux sodium,0.5 MG,1.456,,,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,476.569,,,,,,,,
J1720,Hydrocortisone sodium succ i,100 MG,14.151,,,,,,,,
J1740,Ibandronate sodium injection,1 MG,50.999,,,,,,,,
J1742,Ibutilide fumarate injection,1 MG,316.198,,,,,,,,
J1743,Idursulfase injection,1 MG,542.917,,,,,,,,
J1745,Infliximab not biosimil 10mg,10 MG,47.620,,,,,,,,
J1746,"Inj., ibalizumab-uiyk, 10 mg",10 MG,63.624,,,,,,,,
J1750,Inj iron dextran,50 MG,15.010,,,,,,,,
J1756,Iron sucrose injection,1 MG,0.218,,,,,,,,
J1786,Imuglucerase injection,10 UNITS,43.377,,,,,,,,
J1800,Propranolol injection,1 MG,3.990,,,,,,,,
J1815,Insulin injection,5 UNITS,0.872,,,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,10.228,,,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.671,,,,,,,,
J1930,Lanreotide injection,1 MG,68.475,,,,,,,,
J1931,Laronidase injection,0.1 MG,33.102,,,,,,,,
J1940,Furosemide injection,20 MG,0.787,,,,,,,,
J1943,"Inj., aristada initio, 1 mg",1 MG,2.858,,,,,,,,
J1944,Aripirazole lauroxil 1 mg,1 MG,2.847,,,,,,,,
J1950,Leuprolide acetate /3.75 mg,3.75 MG,1347.559,,,,,,,,
J1953,Levetiracetam injection,10 MG,0.122,,,,,,,,
J1955,Inj levocarnitine per 1 gm,1 GM,20.823,,,,,,,,
J1956,Levofloxacin injection,250 MG,0.403,,,,,,,,
J1980,Hyoscyamine sulfate inj,0.25 MG,31.595,,,,,,,,
J2001,Lidocaine injection,10 MG,0.022,,,,,,,,
J2010,Lincomycin injection,300 MG,11.577,,,,,,,,
J2020,Linezolid injection,200 MG,7.505,,,,,,,,
J2060,Lorazepam injection,2 MG,0.754,,,,,,,,
J2150,Mannitol injection,50 ML,2.068,,,,,,,,
J2175,Meperidine hydrochl /100 mg,100 MG,8.354,,,,,,,,
J2182,"Injection, mepolizumab, 1mg",1 MG,28.704,,,,,,,,
J2185,Meropenem,100 MG,0.855,,,,,,,,
J2210,Methylergonovin maleate inj,0.2 MG,19.565,,,,,,,,
J2248,Micafungin sodium injection,1 MG,1.180,,,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.125,,,,,,,,
J2260,Inj milrinone lactate / 5 mg,5 MG,1.511,,,,,,,,
J2270,Morphine sulfate injection,10 MG,1.872,,,,,,,,
J2274,Inj morphine pf epid ithc,10 MG,10.402,,,,,,,,
J2278,Ziconotide injection,1 MCG,8.171,,,,,,,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,9.357,,,,,,,,
J2300,Inj nalbuphine hydrochloride,10 MG,3.070,,,,,,,,
J2310,Inj naloxone hydrochloride,1 MG,11.032,,,,,,,,
J2315,"Naltrexone, depot form",1 MG,3.261,,,,,,,,
J2323,Natalizumab injection,1 MG,21.630,,,,,,,,
J2350,"Injection, ocrelizumab, 1 mg",1 MG,57.383,,,,,,,,
J2353,"Octreotide injection, depot",1 MG,205.878,,,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,0.948,,,,,,,,
J2357,Omalizumab injection,5 MG,37.699,,,,,,,,
J2358,Olanzapine long-acting inj,1 MG,2.917,,,,,,,,
J2360,Orphenadrine injection,60 MG,5.287,,,,,,,,
J2400,Chloroprocaine hcl injection,30 ML,21.601,,,,,,AMP-based payment limit,,
J2405,Ondansetron hcl injection,1 MG,0.091,,,,,,,,
J2407,"Injection, oritavancin",10 MG,23.797,,,,,,,,
J2425,Palifermin injection,50 MCG,22.812,,,,,,,,
J2426,Paliperidone palmitate inj,1 MG,12.102,,,,,,,,
J2430,Pamidronate disodium /30 mg,30 MG,11.517,,,,,,,,
J2469,Palonosetron hcl,25 MCG,3.775,,,,,,,,
J2501,Paricalcitol,1 MCG,0.605,,,,,,AMP-based payment limit,,
J2503,Pegaptanib sodium injection,0.3 MG,722.989,,,,,,,,
J2505,"Injection, pegfilgrastim 6mg",6 MG,3571.681,,,,,,,,
J2507,Pegloticase injection,1 MG,2801.076,,,,,,,,
J2510,Penicillin g procaine inj,600000 UNITS,30.530,,,,,,,,
J2515,Pentobarbital sodium inj,50 MG,33.926,,,,,,,,
J2540,Penicillin g potassium inj,600000 UNITS,1.103,,,,,,,,
J2543,Piperacillin/tazobactam,1.125 GM,1.653,,,,,,,,
J2545,Pentamidine non-comp unit,300 MG,119.589,,,,,,,,
J2550,Promethazine hcl injection,50 MG,2.313,,,,,,,,
J2560,Phenobarbital sodium inj,120 MG,47.334,,,,,,,,
J2562,Plerixafor injection,1 MG,365.294,,,,,,,,
J2597,Inj desmopressin acetate,1 MCG,10.453,,,,,,,,
J2675,Inj progesterone per 50 mg,50 MG,1.427,,,,,,,,
J2680,Fluphenazine decanoate 25 mg,25 MG,10.643,,,,,,,,
J2690,Procainamide hcl injection,1 GM,71.734,,,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,1.301,,,,,,,,
J2704,"Inj, propofol, 10 mg",10 MG,0.108,,,,,,,,
J2720,Inj protamine sulfate/10 mg,10 MG,1.079,,,,,,AMP-based payment limit,,
J2724,Protein c concentrate,10 UNITS,15.064,,,,,,,,
J2760,Phentolaine mesylate inj,5 MG,359.137,,,,,,,,
J2765,Metoclopramide hcl injection,10 MG,1.043,,,,,,,,
J2770,Quinupristin/dalfopristin,500 MG,458.041,,,,,,,,
J2778,Ranibizumab injection,0.1 mg,324.272,,,,,,,,
J2780,Ranitidine hydrochloride inj,25 MG,3.305,,,,,,,,
J2783,Rasburicase,0.5 MG,300.937,,,,,,,,
J2785,Regadenoson injection,0.1 MG,59.190,,,,,,,,
J2786,"Injection, reslizumab, 1mg",1 MG,9.758,,,,,,,,
J2788,Rho d immune globulin 50 mcg,50 MCG (250 IU),24.346,,,,,,,,
J2790,Rho d immune globulin inj,300 MCG (1500 IU),74.301,,,,,,,,
J2791,Rhophylac injection,100 IU,4.732,,,,,,,,
J2792,"Rho(d) immune globulin h, sd",100 IU,36.366,,,,,,,,
J2794,"Inj risperdal consta, 0.5 mg",0.5 MG,10.532,,,,,,,,
J2795,Ropivacaine hcl injection,1 MG,0.073,,,,,,,,
J2796,Romiplostim injection,10 MCG,78.428,,,,,,,,
J2798,"Inj., perseris, 0.5 mg",0.5 mg,10.181,,,,,,,,
J2800,Methocarbamol injection,10 ML,10.087,,,,,,,,
J2805,Sincalide injection,5 MCG,115.667,,,,,,,,
J2820,Sargramostim injection,50 MCG,47.063,,,,,,Updated July 2021,,
J2860,"Injection, siltuximab",10 MG,111.935,,,,,,,,
J2916,Na ferric gluconate complex,12.5 MG,2.085,,,,,,,,
J2920,Methylprednisolone injection,40 MG,4.171,,,,,,,,
J2930,Methylprednisolone injection,125 MG,5.636,,,,,,,,
J2997,Alteplase recombinant,1 MG,87.154,,,,,,,,
J3000,Streptomycin injection,1 GM,33.323,,,,,,,,
J3010,Fentanyl citrate injection,0.1 MG,0.776,,,,,,,,
J3060,"Inj, taliglucerase alfa 10 u",10 UNITS,40.857,,,,,,,,
J3090,Inj tedizolid phosphate,1 MG,1.590,,,,,,,,
J3095,Telavancin injection,10 MG,5.138,,,,,,,,
J3101,Tenecteplase injection,1 MG,129.255,,,,,,,,
J3105,Terbutaline sulfate inj,1 MG,3.010,,,,,,,,
J3111,Inj. romosozumab-aqqg 1 mg,1 MG,9.014,,,,,,,,
J3121,Inj testostero enanthate 1mg,1 MG,0.051,,,,,,,,
J3145,Testosterone undecanoate 1mg,1 MG,1.543,,,,,,,,
J3230,Chlorpromazine hcl injection,50 MG,34.616,,,,,,,,
J3240,Thyrotropin injection,0.9 MG,1740.225,,,,,,,,
J3241,Inj. teprotumumab-trbw 10 mg,10 MG,315.880,,,,,,Added October 2020,,
J3243,Tigecycline injection,1 MG,1.378,,,,,,,,
J3245,"Inj., tildrakizumab, 1 mg",1 MG,135.673,,,,,,,,
J3250,Trimethobenzamide hcl inj,200 MG,36.812,,,,,,,,
J3260,Tobramycin sulfate injection,80 MG,3.492,,,,,,,,
J3262,Tocilizumab injection,1 MG,5.401,,,,,,,,
J3285,Treprostinil injection,1 MG,62.806,,,,,,,,
J3300,Triamcinolone a inj prs-free,1 MG,3.849,,,,,,,,
J3301,Triamcinolone acet inj nos,10 MG,1.329,,,,,,,,
J3304,Inj triamcinolone ace xr 1mg,1 MG,18.204,,,,,,,,
J3315,Triptorelin pamoate,3.75 MG,385.610,,,,,,,,
J3357,"Ustekinumab sub cu inj, 1 mg",1 MG,184.359,,,,,,,,
J3358,"Ustekinumab, iv inject, 1 mg",1 MG,12.033,,,,,,,,
J3360,Diazepam injection,5 MG,6.051,,,,,,,,
J3370,Vancomycin hcl injection,500 MG,2.771,,,,,,,,
J3380,"Injection, vedolizumab",1 MG,20.297,,,,,,,,
J3385,Velaglucerase alfa,100 UNITS,346.147,,,,,,,,
J3396,Verteporfin injection,0.1 MG,11.227,,,,,,,,
J3410,Hydroxyzine hcl injection,25 MG,7.834,,,,,,,,
J3411,Thiamine hcl 100 mg,100 MG,2.528,,,,,,,,
J3415,Pyridoxine hcl 100 mg,100 MG,7.819,,,,,,,,
J3420,Vitamin b12 injection,1000 MCG,1.835,,,,,,,,
J3430,Vitamin k phytonadione inj,1 MG,3.806,,,,,,,,
J3465,"Injection, voriconazole",10 MG,1.182,,,,,,,,
J3471,"Ovine, up to 999 usp units",1 UNIT,0.457,,,,,,,,
J3473,Hyaluronidase recombinant,1 USP UNIT,0.359,,,,,,,,
J3475,Inj magnesium sulfate,500 MG,0.423,,,,,,,,
J3480,Inj potassium chloride,2 MEQ,0.154,,,,,,,,
J3485,Zidovudine,10 MG,1.512,,,,,,,,
J3486,Ziprasidone mesylate,10 MG,23.873,,,,,,,,
J3489,Zoledronic acid 1mg,1 MG,9.709,,,,,,,,
J7030,Normal saline solution infus,1000 ML,2.538,,,,,,,,
J7040,Normal saline solution infus,500 ML,1.269,,,,,,,,
J7042,5% dextrose/normal saline,500 ML,1.083,,,,,,,,
J7050,Normal saline solution infus,250 ML,0.634,,,,,,,,
J7060,5% dextrose/water,500 ML,2.041,,,,,,,,
J7070,D5w infusion,1000 CC,4.019,,,,,,,,
J7120,Ringers lactate infusion,1000 CC,2.340,,,,,,,,
J7170,"Inj., emicizumab-kxwh 0.5 mg",0.5 MG,47.467,,,,,1,,,
J7175,"Inj, factor x, (human), 1iu",1 IU,7.879,,,,,1,,,
J7177,"Inj., fibryga, 1 mg",1 MG,1.074,,,,,1,,,
J7178,Inj human fibrinogen con nos,1 IU,1.243,,,,,1,,,
