Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,
,,,,,,,,,
"Effective July 1, 2020 through September 30, 2020",,,,,,,,,
,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q20 ASP data.,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes
J0278,Amikacin sulfate injection,100 MG,1.386,,,,,,
J0280,Aminophyllin 250 mg inj,250 MG,7.310,,,,,,
J0285,Amphotericin b,50 MG,39.016,,,,,,
J0287,Amphotericin b lipid complex,10 MG,9.307,,,,,,
J0289,Amphotericin b liposome inj,10 MG,26.540,,,,,,
J0290,Ampicillin 500 mg inj,500 MG,0.928,,,,,,
J0291,"Inj., plazomicin, 5 mg",5 MG,3.075,,,,,,
J0295,Ampicillin sulbactam 1.5 gm,1.5 GM,2.755,,,,,,
J0348,Anidulafungin injection,1 MG,0.507,,,,,,
J0360,Hydralazine hcl injection,20 MG,2.878,,,,,,
J0401,Inj aripiprazole ext rel 1mg,1 MG,5.699,,,,,,
J0456,Azithromycin,500 MG,3.420,,,,,,
J0461,Atropine sulfate injection,0.01 MG,0.064,,,,,,
J0475,Baclofen 10 mg injection,10 MG,175.160,,,,,,
J0476,Baclofen intrathecal trial,50 MCG,55.784,,,,,,
J0480,Basiliximab,20 MG,4016.591,,,,,,
J0485,Belatacept injection,1 MG,3.766,,,,,,
J0490,Belimumab injection,10 MG,46.168,,,,,,
J0500,Dicyclomine injection,20 MG,40.652,,,,,,
J0515,Inj benztropine mesylate,1 MG,15.515,,,,,,
J0517,"Inj., benralizumab, 1 mg",1 MG,171.896,,,,,,
J0558,Peng benzathine/procaine inj,"100,000 UNITS",11.678,,,,,,
J0561,Penicillin g benzathine inj,"100,000 UNITS",15.033,,,,,,
J0565,"Inj, bezlotoxumab, 10 mg",10 MG,39.711,,,,,,
J0570,Buprenorphine implant 74.2mg,74.2 MG,1270.194,,,,,,
J0583,Bivalirudin,1 MG,0.742,,,,,,
J0584,"Injection, burosumab-twza 1m",1 MG,361.847,,,,,,
J0585,"Injection,onabotulinumtoxina",1 UNIT,6.095,,,,,,
J0586,Abobotulinumtoxina,5 Unit,8.379,,,,,,
J0587,"Inj, rimabotulinumtoxinb",100 UNITS,11.971,,,,,,
J0588,Incobotulinumtoxin a,1 UNIT,5.018,,,,,,
J0592,Buprenorphine hydrochloride,0.1 MG,4.667,,,,,,
J0594,Busulfan injection,1 MG,3.668,,,,,,
J0595,Butorphanol tartrate 1 mg,1 MG,2.912,,,,,,
J0596,"Injection, ruconest",10 UNITS,29.231,,,,,,
J0597,"C-1 esterase, berinert",10 UNITS,51.260,,,,,,
J0598,"C-1 esterase, cinryze",10 UNITS,56.125,,,,,,
J0600,Edetate calcium disodium inj,1000 MG,5594.422,,,,,,
J0610,Calcium gluconate injection,10 ML,4.192,,,,,,
J0630,Calcitonin salmon injection,400 UNITS,2831.497,,,,,,
J0636,Inj calcitriol per 0.1 mcg,0.1 MCG,0.748,,,,,,
J0637,Caspofungin acetate,5 MG,6.797,,,,,,
J0638,Canakinumab injection,1 MG,113.123,,,,,,
J0640,Leucovorin calcium injection,50 MG,3.182,,,,,,
J0641,Inj levoleucovorin nos 0.5mg,0.5 MG,0.284,,,,,,
J0642,"Injection, khapzory, 0.5 mg",0.5 MG,1.944,,,,,,
J0670,Inj mepivacaine hcl/10 ml,10 ML,3.059,,,,,,
J0690,Cefazolin sodium injection,500 MG,0.770,,,,,,
J0691,Inj lefamulin 1 mg,1 MG,0.724,,,,,,Added July 2020
J0692,Cefepime hcl for injection,500 MG,1.928,,,,,,
J0694,Cefoxitin sodium injection,1 GM,6.552,,,,,,
J0695,Inj ceftolozane tazobactam,75mg (50mg cft/25mg taz),6.515,,,,,,
J0696,Ceftriaxone sodium injection,250 MG,0.530,,,,,,
J0697,Sterile cefuroxime injection,750 MG,2.127,,,,,,
J0698,Cefotaxime sodium injection,1 GM,2.332,,,,,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,7.412,,,,,,
J0712,Ceftaroline fosamil inj,10 MG,3.332,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,1.989,,,,,,
J0714,Ceftazidime and avibactam,.625 GM,91.887,,,,,,
J0717,Certolizumab pegol inj 1mg,1 MG,8.276,,,,,,
J0720,Chloramphenicol sodium injec,1 GM,32.357,,,,,,AMP-based payment limit
J0725,Chorionic gonadotropin/1000u,1000 UNITS,22.827,,,,,,
J0735,Clonidine hydrochloride,1 MG,17.670,,,,,,
J0740,Cidofovir injection,375 MG,588.846,,,,,,
J0743,Cilastatin sodium injection,250 MG,5.767,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.130,,,,,,
J0770,Colistimethate sodium inj,150 MG,17.164,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,50.704,,,,,,
J0780,Prochlorperazine injection,10 MG,6.425,,,,,,
J0791,Inj crizanlizumab-tmca 5mg,5 MG,122.437,,,,,,Added July 2020
J0795,Corticorelin ovine triflutal,1 MCG,9.370,,,,,,
J0800,Corticotropin injection,40 UNITS,3995.820,,,,,,
J0834,"Inj., cosyntropin, 0.25 mg",0.25 MG,46.235,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,3099.370,,,,,,
J0841,Inj crotalidae im f(ab')2 eq,120 MG,1264.397,,,,,,
J0850,Cytomegalovirus imm iv /vial,PER VIAL,1479.740,,,,,,
J0875,"Injection, dalbavancin",5 MG,15.345,,,,,,
J0878,Daptomycin injection,1 MG,0.136,,,,,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,3.786,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,3.786,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,9.696,,,,,,
J0887,Epoetin beta esrd use,1 MCG,1.485,,,,,,
J0888,Epoetin beta non esrd,1 MCG,1.485,,,,,,
J0894,Decitabine injection,1 MG,4.281,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,8.034,,,,,,
J0897,Denosumab injection,1 MG,19.901,,,,,,
J1000,Depo-estradiol cypionate inj,5 MG,23.685,,,,,,
J1020,Methylprednisolone 20 mg inj,20 MG,3.614,,,,,,
J1030,Methylprednisolone 40 mg inj,40 MG,6.093,,,,,,
J1040,Methylprednisolone 80 mg inj,80 MG,11.698,,,,,,
J1050,Medroxyprogesterone acetate,1 MG,0.557,,,,,,
J1071,Inj testosterone cypionate,1 MG,0.026,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.115,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,68.564,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,18.597,,,,,,
J1160,Digoxin injection,0.5 MG,11.406,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,3965.210,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.406,,,,,,
J1170,Hydromorphone injection,4 MG,3.109,,,,,,
J1190,Dexrazoxane hcl injection,250 MG,211.457,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.716,,,,,,
J1205,Chlorothiazide sodium inj,500 MG,54.603,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ml,50 ML,632.969,,,,,,
J1230,Methadone injection,10 MG,17.512,,,,,,
J1240,Dimenhydrinate injection,50 MG,7.085,,,,,,
J1245,Dipyridamole injection,10 MG,3.348,,,,,,
J1250,Inj dobutamine hcl/250 mg,250 MG,5.963,,,,,,
J1265,Dopamine injection,40 MG,0.676,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,0.381,,,,,,
J1290,Ecallantide injection,1 MG,485.293,,,,,,
J1300,Eculizumab injection,10 MG,230.479,,,,,,
J1301,"Injection, edaravone, 1 mg",1 MG,19.886,,,,,,
J1303,"Inj., ravulizumab-cwvz 10 mg",10 MG,226.275,,,,,,
J1322,"Elosulfase alfa, injection",1 MG,246.041,,,,,,
J1325,Epoprostenol injection,0.5 MG,16.314,,,,,,
J1335,Ertapenem injection,500 MG,35.329,,,,,,
J1364,Erythro lactobionate /500 mg,500 MG,79.080,,,,,,
J1380,Estradiol valerate 10 mg inj,10 MG,7.991,,,,,,
J1410,Inj estrogen conjugate 25 mg,25 MG,322.553,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,444.099,,,,,,
J1439,Inj ferric carboxymaltos 1mg,1 MG,1.120,,,,,,
J1442,Inj filgrastim excl biosimil,1 MCG,0.918,,,,,,
J1447,Inj tbo filgrastim 1 microg,1 MCG,0.475,,,,,,
J1450,Fluconazole,200 MG,16.105,,,,,,
J1453,Fosaprepitant injection,1 MG,1.075,,,,,,
J1454,"Inj fosnetupitant, palonoset",0.25 MG,375.167,,,,,,
J1458,Galsulfase injection,1 MG,405.564,,,,,,
J1459,Inj ivig privigen 500 mg,500 MG,41.276,,,,,,
J1460,Gamma globulin 1 cc inj,1 CC,42.693,,,,,,
J1555,"Inj cuvitru, 100 mg",100 MG,13.917,,,,,,
J1556,"Inj, imm glob bivigam, 500mg",500 MG,70.490,,,,,,
J1557,Gammaplex injection,500 MG,49.161,,,,,,Updated October 2020
J1558,"Inj. xembify, 100 mg",100 MG,16.842,,,,,,Added July 2020
J1559,Hizentra injection,100 MG,10.793,,,,,,
J1560,Gamma globulin > 10 cc inj,10 CC,426.929,,,,,,
J1561,Gamunex-c/gammaked,500 MG,41.691,,,,,,
J1566,"Immune globulin, powder",500 MG,66.935,,,,,,
J1568,Octagam injection,500 MG,38.960,,,,,,
J1569,Gammagard liquid injection,500 MG,42.032,,,,,,
J1570,Ganciclovir sodium injection,500 MG,9.000,,,,,,
J1571,Hepagam b im injection,0.5 ML,63.671,,,,,,
J1572,Flebogamma injection,500 MG,37.432,,,,,,
J1575,Hyqvia 100mg immuneglobulin,100 MG,14.067,,,,,,
J1580,Garamycin gentamicin inj,80 MG,1.936,,,,,,
J1602,Golimumab for iv use 1mg,1 MG,19.995,,,,,,
J1610,Glucagon hydrochloride/1 mg,1 MG,199.134,,,,,,
J1626,Granisetron hcl injection,100 MCG,0.260,,,,,,
J1627,"Inj, granisetron, xr, 0.1 mg",0.1 MG,1.027,,,,,,
J1630,Haloperidol injection,5 MG,0.988,,,,,,
J1631,Haloperidol decanoate inj,50 MG,15.649,,,,,,
J1640,"Hemin, 1 mg",1 MG,24.314,,,,,,
J1642,Inj heparin sodium per 10 u,10 UNITS,0.014,,,,,,
J1644,Inj heparin sodium per 1000u,1000 UNITS,0.249,,,,,,
J1645,Dalteparin sodium,2500 IU,11.329,,,,,,
J1650,Inj enoxaparin sodium,10 MG,0.689,,,,,,
J1652,Fondaparinux sodium,0.5 MG,1.467,,,,,,
J1670,Tetanus immune globulin inj,250 UNITS,535.778,,,,,,
J1720,Hydrocortisone sodium succ i,100 MG,14.142,,,,,,
J1740,Ibandronate sodium injection,1 MG,47.563,,,,,,
J1742,Ibutilide fumarate injection,1 MG,237.985,,,,,,
J1743,Idursulfase injection,1 MG,542.917,,,,,,
J1745,Infliximab not biosimil 10mg,10 MG,51.200,,,,,,
J1746,"Inj., ibalizumab-uiyk, 10 mg",10 MG,60.155,,,,,,
J1750,Inj iron dextran,50 MG,15.020,,,,,,
J1756,Iron sucrose injection,1 MG,0.212,,,,,,AMP-based payment limit
J1786,Imuglucerase injection,10 UNITS,43.241,,,,,,
J1800,Propranolol injection,1 MG,2.436,,,,,,
J1815,Insulin injection,5 UNITS,0.826,,,,,,
J1817,Insulin for insulin pump use,50 UNITS,10.106,,,,,,
J1885,Ketorolac tromethamine inj,15 MG,0.575,,,,,,
J1930,Lanreotide injection,1 MG,70.417,,,,,,
J1931,Laronidase injection,0.1 MG,32.944,,,,,,
J1940,Furosemide injection,20 MG,0.598,,,,,,
J1943,"Inj., aristada initio, 1 mg",1 MG,2.758,,,,,,
J1944,Aripirazole lauroxil 1 mg,1 MG,2.695,,,,,,
J1950,Leuprolide acetate /3.75 mg,3.75 MG,1244.336,,,,,,
J1953,Levetiracetam injection,10 MG,0.137,,,,,,
J1955,Inj levocarnitine per 1 gm,1 GM,20.844,,,,,,
J1956,Levofloxacin injection,250 MG,0.396,,,,,,
J1980,Hyoscyamine sulfate inj,0.25 MG,31.595,,,,,,
J2001,Lidocaine injection,10 MG,0.020,,,,,,
J2010,Lincomycin injection,300 MG,11.473,,,,,,
J2020,Linezolid injection,200 MG,6.457,,,,,,
J2060,Lorazepam injection,2 MG,0.689,,,,,,
J2150,Mannitol injection,50 ML,1.941,,,,,,
J2175,Meperidine hydrochl /100 mg,100 MG,7.408,,,,,,
J2182,"Injection, mepolizumab, 1mg",1 MG,29.046,,,,,,
J2185,Meropenem,100 MG,0.790,,,,,,
J2210,Methylergonovin maleate inj,0.2 MG,19.414,,,,,,
J2248,Micafungin sodium injection,1 MG,1.051,,,,,,
J2250,Inj midazolam hydrochloride,1 MG,0.112,,,,,,
J2260,Inj milrinone lactate / 5 mg,5 MG,1.433,,,,,,
J2270,Morphine sulfate injection,10 MG,3.722,,,,,,
J2274,Inj morphine pf epid ithc,10 MG,10.814,,,,,,
J2278,Ziconotide injection,1 MCG,8.303,,,,,,
J2280,"Inj, moxifloxacin 100 mg",100 MG,8.739,,,,,,
J2300,Inj nalbuphine hydrochloride,10 MG,2.365,,,,,,
J2310,Inj naloxone hydrochloride,1 MG,14.220,,,,,,
J2315,"Naltrexone, depot form",1 MG,3.237,,,,,,
J2323,Natalizumab injection,1 MG,21.609,,,,,,
J2350,"Injection, ocrelizumab, 1 mg",1 MG,57.400,,,,,,
J2353,"Octreotide injection, depot",1 MG,207.218,,,,,,
J2354,"Octreotide inj, non-depot",25 MCG,0.829,,,,,,
J2357,Omalizumab injection,5 MG,37.693,,,,,,
J2358,Olanzapine long-acting inj,1 MG,2.917,,,,,,
J2360,Orphenadrine injection,60 MG,6.514,,,,,,
J2400,Chloroprocaine hcl injection,30 ML,19.247,,,,,,AMP-based payment limit
J2405,Ondansetron hcl injection,1 MG,0.096,,,,,,
J2407,"Injection, oritavancin",10 MG,23.964,,,,,,
J2425,Palifermin injection,50 MCG,22.802,,,,,,
J2426,Paliperidone palmitate inj,1 MG,12.030,,,,,,
J2430,Pamidronate disodium /30 mg,30 MG,12.634,,,,,,
J2469,Palonosetron hcl,25 MCG,3.756,,,,,,
J2501,Paricalcitol,1 MCG,0.726,,,,,,AMP-based payment limit
J2503,Pegaptanib sodium injection,0.3 MG,720.913,,,,,,
J2505,"Injection, pegfilgrastim 6mg",6 MG,3807.298,,,,,,
J2507,Pegloticase injection,1 MG,2725.601,,,,,,
J2510,Penicillin g procaine inj,600000 UNITS,30.289,,,,,,
J2515,Pentobarbital sodium inj,50 MG,35.516,,,,,,
J2540,Penicillin g potassium inj,600000 UNITS,1.107,,,,,,
J2543,Piperacillin/tazobactam,1.125 GM,1.676,,,,,,
J2545,Pentamidine non-comp unit,300 MG,107.336,,,,,,
J2550,Promethazine hcl injection,50 MG,2.228,,,,,,
J2560,Phenobarbital sodium inj,120 MG,42.589,,,,,,
J2562,Plerixafor injection,1 MG,364.240,,,,,,
J2597,Inj desmopressin acetate,1 MCG,11.057,,,,,,
J2675,Inj progesterone per 50 mg,50 MG,1.692,,,,,,
J2680,Fluphenazine decanoate 25 mg,25 MG,11.450,,,,,,
J2690,Procainamide hcl injection,1 GM,90.523,,,,,,
J2700,Oxacillin sodium injeciton,250 MG,1.128,,,,,,
J2704,"Inj, propofol, 10 mg",10 MG,0.108,,,,,,
J2720,Inj protamine sulfate/10 mg,10 MG,0.878,,,,,,AMP-based payment limit
J2724,Protein c concentrate,10 UNITS,15.064,,,,,,
J2760,Phentolaine mesylate inj,5 MG,374.741,,,,,,
J2765,Metoclopramide hcl injection,10 MG,1.232,,,,,,
J2770,Quinupristin/dalfopristin,500 MG,457.877,,,,,,
J2778,Ranibizumab injection,0.1 mg,333.371,,,,,,
J2780,Ranitidine hydrochloride inj,25 MG,3.906,,,,,,
J2783,Rasburicase,0.5 MG,301.491,,,,,,
J2785,Regadenoson injection,0.1 MG,59.175,,,,,,
J2786,"Injection, reslizumab, 1mg",1 MG,9.782,,,,,,
J2788,Rho d immune globulin 50 mcg,50 MCG (250 IU),25.927,,,,,,
J2790,Rho d immune globulin inj,300 MCG (1500 IU),84.902,,,,,,
J2791,Rhophylac injection,100 IU,4.751,,,,,,
J2792,"Rho(d) immune globulin h, sd",100 IU,29.716,,,,,,
J2794,"Inj risperdal consta, 0.5 mg",0.5 MG,10.435,,,,,,
J2795,Ropivacaine hcl injection,1 MG,0.079,,,,,,
J2796,Romiplostim injection,10 MCG,77.639,,,,,,
J2798,"Inj., perseris, 0.5 mg",0.5 mg,10.188,,,,,,
J2800,Methocarbamol injection,10 ML,6.276,,,,,,
J2805,Sincalide injection,5 MCG,115.295,,,,,,
J2820,Sargramostim injection,50 MCG,46.963,,,,,,Updated July 2021
J2860,"Injection, siltuximab",10 MG,112.931,,,,,,
J2916,Na ferric gluconate complex,12.5 MG,1.940,,,,,,
J2920,Methylprednisolone injection,40 MG,4.516,,,,,,
J2930,Methylprednisolone injection,125 MG,6.716,,,,,,
J2997,Alteplase recombinant,1 MG,87.885,,,,,,
J3000,Streptomycin injection,1 GM,38.608,,,,,,
J3010,Fentanyl citrate injection,0.1 MG,0.906,,,,,,
J3060,"Inj, taliglucerase alfa 10 u",10 UNITS,40.603,,,,,,
J3090,Inj tedizolid phosphate,1 MG,1.592,,,,,,
J3095,Telavancin injection,10 MG,5.508,,,,,,
J3101,Tenecteplase injection,1 MG,129.058,,,,,,
J3105,Terbutaline sulfate inj,1 MG,1.320,,,,,,
J3111,Inj. romosozumab-aqqg 1 mg,1 MG,9.047,,,,,,
J3121,Inj testostero enanthate 1mg,1 MG,0.050,,,,,,
J3145,Testosterone undecanoate 1mg,1 MG,1.491,,,,,,
J3230,Chlorpromazine hcl injection,50 MG,33.293,,,,,,
J3240,Thyrotropin injection,0.9 MG,1759.977,,,,,,
J3243,Tigecycline injection,1 MG,1.445,,,,,,
J3245,"Inj., tildrakizumab, 1 mg",1 MG,137.058,,,,,,
J3250,Trimethobenzamide hcl inj,200 MG,36.819,,,,,,
J3260,Tobramycin sulfate injection,80 MG,3.452,,,,,,
J3262,Tocilizumab injection,1 MG,5.297,,,,,,
J3285,Treprostinil injection,1 MG,61.408,,,,,,
J3300,Triamcinolone a inj prs-free,1 MG,3.834,,,,,,
J3301,Triamcinolone acet inj nos,10 MG,1.484,,,,,,
J3304,Inj triamcinolone ace xr 1mg,1 MG,18.313,,,,,,
J3315,Triptorelin pamoate,3.75 MG,282.635,,,,,,
J3357,"Ustekinumab sub cu inj, 1 mg",1 MG,188.241,,,,,,
J3358,"Ustekinumab, iv inject, 1 mg",1 MG,12.170,,,,,,
J3360,Diazepam injection,5 MG,6.340,,,,,,
J3370,Vancomycin hcl injection,500 MG,2.768,,,,,,
J3380,"Injection, vedolizumab",1 MG,20.658,,,,,,
J3385,Velaglucerase alfa,100 UNITS,345.777,,,,,,
J3396,Verteporfin injection,0.1 MG,11.196,,,,,,
J3410,Hydroxyzine hcl injection,25 MG,6.977,,,,,,
J3411,Thiamine hcl 100 mg,100 MG,2.756,,,,,,
J3415,Pyridoxine hcl 100 mg,100 MG,7.912,,,,,,
J3420,Vitamin b12 injection,1000 MCG,1.724,,,,,,
J3430,Vitamin k phytonadione inj,1 MG,4.055,,,,,,
J3465,"Injection, voriconazole",10 MG,1.488,,,,,,
J3471,"Ovine, up to 999 usp units",1 UNIT,0.450,,,,,,
J3473,Hyaluronidase recombinant,1 USP UNIT,0.359,,,,,,
J3475,Inj magnesium sulfate,500 MG,0.636,,,,,,
J3480,Inj potassium chloride,2 MEQ,0.179,,,,,,
J3485,Zidovudine,10 MG,1.513,,,,,,
J3486,Ziprasidone mesylate,10 MG,17.222,,,,,,AMP-based payment limit
J3489,Zoledronic acid 1mg,1 MG,11.393,,,,,,
J7030,Normal saline solution infus,1000 ML,2.552,,,,,,
J7040,Normal saline solution infus,500 ML,1.276,,,,,,
J7042,5% dextrose/normal saline,500 ML,1.024,,,,,,
J7050,Normal saline solution infus,250 ML,0.638,,,,,,
J7060,5% dextrose/water,500 ML,1.784,,,,,,
J7070,D5w infusion,1000 CC,3.509,,,,,,
J7120,Ringers lactate infusion,1000 CC,2.341,,,,,,
J7170,"Inj., emicizumab-kxwh 0.5 mg",0.5 MG,47.726,,,,,1,
J7175,"Inj, factor x, (human), 1iu",1 IU,7.879,,,,,1,
J7177,"Inj., fibryga, 1 mg",1 MG,1.190,,,,,1,
J7178,Inj human fibrinogen con nos,1 IU,1.244,,,,,1,
J7179,Vonvendi inj 1 iu vwf:rco,1 IU,1.796,,,,,1,
J7180,Factor xiii anti-hem factor,1 IU,8.782,,,,,1,
J7181,Factor xiii recomb a-subunit,1 IU,15.565,,,,,1,
J7182,Factor viii recomb novoeight,1 IU,1.299,,,,,1,
J7183,Wilate injection,1 I.U. VWF:RCO,0.973,,,,,1,
J7185,Xyntha inj,1 IU,1.253,,,,,1,
J7186,Antihemophilic viii/vwf comp,PER FACTOR VIII IU,1.107,,,,,1,
J7187,"Humate-p, inj",1 IU,1.206,,,,,1,
J7188,Factor viii recomb obizur,1 IU,3.187,,,,,1,
J7189,Factor viia,1 MCG,2.246,,,,,1,
J7190,Factor viii,1 IU,1.198,,,,,1,
J7192,Factor viii recombinant nos,1 IU,1.374,,,,,1,
J7193,Factor ix non-recombinant,1 IU,1.165,,,,,1,
J7194,Factor ix complex,1 IU,1.507,,,,,1,
J7195,Factor ix recombinant nos,1 IU,1.541,,,,,1,
J7197,Antithrombin iii injection,1 IU,3.469,,,,,,
J7198,Anti-inhibitor,1 IU,2.029,,,,,1,
J7200,Factor ix recombinan rixubis,1 IU,1.450,,,,,1,
J7201,Factor ix alprolix recomb,1 IU,3.250,,,,,1,
J7202,Factor ix idelvion inj,1 IU,4.436,,,,,1,
J7203,Factor ix recomb gly rebinyn,1 MG,4.051,,,,,1,
J7205,Factor viii fc fusion recomb,1 IU,2.159,,,,,1,
